,ALSEM FP Equity_DX_SI_QTY,ALSEM FP Equity_DX_SHORT_INTEREST_VALUE,ALSEM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSEM FP Equity_DX_SI_MV,ALSEM FP Equity_DX_DSS,ALSEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSEM FP Equity_DX_SUPPLY_SI_QTY,ALSEM FP Equity_DX_BROKER_SI_QTY,ALSEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSEM FP Equity_DX_BROKER_SI_MV_INC_x,ALSEM FP Equity_DX_BROKER_SI_QTY_ADD,ALSEM FP Equity_DX_SUPPLY_SI_MV_DEC,ALSEM FP Equity_DX_BROKER_SI_QTY_INC,ALSEM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSEM FP Equity_DX_BROKER_SI_MV_INC_y,ALSEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSEM FP Equity_DX_BROKER_SI_MV_ADD,ALSEM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSEM FP Equity_DX_BROKER_SI_QTY_DEC,ALSEM FP Equity_DX_SUPPLY_SI_MV,ALSEM FP Equity_DX_BROKER_SI_MV_DEC,ALSEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSEM FP Equity_DX_UTILIZATION_QUANTITY,ALSEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSEM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSEM FP Equity_DX_BROKER_SI_CON_RATIO,ALSEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSEM FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20708.0,486223.84,0.46,0.0,,0.0,,0.0
2025-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20728.0,456016.0,0.49,0.0,,0.0,,0.0
2025-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5625.0,124312.5,0.12,0.0,,0.0,,0.0
2025-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,143.0,3167.45,0.0,0.0,,0.0,,0.0
2025-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,243.0,5224.5,0.01,0.0,,0.0,,0.0
2025-07-17,201.0,4321.5,0.08,0.01,0.0,0.0,0.0,0.0,201.0,0.0,4321.5,,,,,,,,,,201.0,,0.0,,100.0,51.02,0.0,0.0,0.0,100.0,,1.0,100.0,0.5102
2025-07-18,201.0,4321.5,0.08,0.01,0.0,0.0,0.0,4321.5,201.0,201.0,4321.5,,,201.0,,,,,,0.0,,,0.0,,100.0,51.02,0.0,0.0,0.0,100.0,,1.0,100.0,0.5102
2025-07-21,201.0,4080.3,0.08,0.01,0.0,0.0,0.0,4080.3,201.0,201.0,4080.3,,,,,,,,,,,,0.0,,100.0,51.02,0.0,0.0,0.0,100.0,,1.0,100.0,0.5102
2025-07-22,301.0,6053.11,0.11,0.01,0.0,0.01,0.0,6053.11,301.0,301.0,6053.11,,,100.0,,,,,,0.0,100.0,,0.01,,100.0,76.4,0.0,0.0,0.0,100.0,32.15,0.5637,67.85,0.764
2025-07-23,201.0,4027.04,0.08,0.01,0.0,0.0,0.0,4027.04,201.0,201.0,4027.04,,,,0.0,,100.0,,,,,100.0,0.0,0.0,100.0,51.02,0.0,0.0,0.0,100.0,,1.0,100.0,0.5102
2025-07-24,201.0,4080.3,0.08,0.01,0.0,0.0,0.0,4080.3,201.0,201.0,4080.3,,,,,,,,,,,,0.0,,100.0,51.02,0.0,0.0,0.0,100.0,,1.0,100.0,0.5102
