,DEC FP Equity_DX_SI_QTY,DEC FP Equity_DX_SHORT_INTEREST_VALUE,DEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DEC FP Equity_DX_SI_MV,DEC FP Equity_DX_DSS,DEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DEC FP Equity_DX_SUPPLY_SI_QTY,DEC FP Equity_DX_BROKER_SI_QTY,DEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DEC FP Equity_DX_BROKER_SI_MV_NEW_x,DEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,DEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,DEC FP Equity_DX_BROKER_SI_MV_INC_x,DEC FP Equity_DX_SUPPLY_SI_MV_NEW,DEC FP Equity_DX_BROKER_SI_QTY_ADD,DEC FP Equity_DX_BROKER_SI_QTY_NEW,DEC FP Equity_DX_SUPPLY_SI_MV_DEC,DEC FP Equity_DX_BROKER_SI_QTY_INC,DEC FP Equity_DX_SUPPLY_SI_QTY_DEC,DEC FP Equity_DX_BROKER_SI_MV_NEW_y,DEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,DEC FP Equity_DX_BROKER_SI_MV_INC_y,DEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,DEC FP Equity_DX_BROKER_SI_MV_ADD,DEC FP Equity_DX_SUPPLY_SI_QTY_ADD,DEC FP Equity_DX_BROKER_SI_QTY_DEC,DEC FP Equity_DX_SUPPLY_SI_MV,DEC FP Equity_DX_BROKER_SI_MV_DEC,DEC FP Equity_DX_SUPPLY_SI_MV_RMV,DEC FP Equity_DX_BROKER_SI_MV_RMV,DEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DEC FP Equity_DX_UTILIZATION_QUANTITY,DEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,DEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DEC FP Equity_DX_ACTIVE_UTILIZATION_MV,DEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DEC FP Equity_DX_BROKER_SI_CON_RATIO,DEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,5594176.0,93178752.74,9.0,26.53,2.52,106.75,1.0,72683036.91,2171679.0,4363674.0,36172322.89,5.32,,249271.0,8.01,,,270510.0,0.0,397875.0,3066.0,5.32,,8.01,249271.0,,32858.0,52426.0,41.61,0.4,,,47.53,47.53,2396935.0,39924273.69,,46.68,47.13,16.49,0.1732,32.85,1.2245
2006-01-11,5592181.0,96015158.06,8.99,17.28,2.52,108.96,1.0,76469099.7,1960379.0,4453766.0,33658799.59,,,66395.0,4.75,,,,6.31,203893.0,343752.0,,,4.75,66395.0,,66057.0,113801.0,38.67,1.53,,,44.88,44.88,2407189.0,41330320.37,,48.04,44.6,17.75,0.1844,34.46,1.2804
2006-01-18,5273822.0,91347652.48,8.61,16.37,2.39,103.92,1.0,77698494.62,1639919.0,4485808.0,28404969.09,,,67755.0,3.6,,,,7.53,144091.0,388215.0,,,3.6,67755.0,,,112050.0,32.79,2.0,,,36.51,36.51,2851582.0,49392133.74,,57.4,36.36,16.65,0.2056,37.68,1.1742
2006-01-25,3627069.0,62946360.16,5.92,10.25,1.64,75.27,1.0,45752004.75,1838324.0,2636303.0,31903392.13,,85906.0,16724.0,4.54,1.77,,,0.21,221659.0,71490.0,,85906.0,4.54,16724.0,,257348.0,2071164.0,38.24,37.86,1.78,,41.55,41.55,2585543.0,44871084.86,90082.0,53.26,41.8,17.57,0.1527,23.17,0.8199
2006-02-01,3590748.0,61772306.33,5.87,8.93,1.63,75.01,1.0,46721858.06,1713698.0,2715884.0,29481065.73,,,15.0,3.82,,,,2.45,159659.0,124641.0,,,3.82,15.0,,,80078.0,35.71,1.63,,,38.31,38.31,2759039.0,47464261.56,,56.74,38.63,18.49,0.1481,22.94,0.8028
2006-02-08,7213317.0,126215859.81,11.78,14.61,3.27,146.64,1.0,98567454.88,2694821.0,5633193.0,47152946.35,,,255265.0,17.43,,2052128.0,,0.15,890868.0,8692.0,,,17.43,255265.0,40.13,734550.0,25688.0,55.59,0.52,,,56.6,56.6,2066329.0,36155833.91,,42.31,56.78,15.56,0.1575,26.58,1.515
2006-02-15,7079453.0,122861130.65,11.56,13.98,3.21,143.89,1.0,92219557.34,2981415.0,5313837.0,51741288.18,11.22,,43861.0,2.26,,,542782.0,0.27,102520.0,13247.0,11.22,,2.26,43861.0,,255979.0,321778.0,61.33,6.53,,13.41,62.64,62.64,1778254.0,30860900.84,,36.31,62.81,16.03,0.149,25.51,1.4874
2006-02-22,7053805.0,123899490.58,11.52,18.79,3.19,143.39,1.0,92910658.22,2965902.0,5289559.0,52095818.77,,,24063.0,1.21,,,,0.82,63336.0,39576.0,,,1.21,24063.0,,,87614.0,60.99,1.79,,,62.78,62.78,1758084.0,30880597.35,,36.03,62.86,15.21,0.1496,26.07,1.4932
2006-03-01,7201210.0,129032958.85,11.76,18.49,3.26,148.76,1.0,94635900.29,3263821.0,5281542.0,58481905.23,,125580.0,82660.0,6.28,2.63,,,0.17,253157.0,10723.0,,125580.0,6.28,82660.0,,100400.0,261174.0,68.54,5.03,,,66.38,66.38,1653402.0,29626042.32,,34.54,66.49,14.84,0.1363,22.84,1.4645
2006-03-08,7159281.0,129004378.86,11.69,19.99,3.24,148.85,1.0,94637080.02,3268534.0,5252019.0,58896305.16,,,24392.0,1.73,,,,0.88,73622.0,44678.0,,,1.73,24392.0,,25000.0,103144.0,69.35,1.86,,,65.74,65.62,1703692.0,30699134.21,,36.09,65.77,14.43,0.1352,22.75,1.4372
