,ALLEC FP Equity_DX_SI_QTY,ALLEC FP Equity_DX_SHORT_INTEREST_VALUE,ALLEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLEC FP Equity_DX_SI_MV,ALLEC FP Equity_DX_DSS,ALLEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLEC FP Equity_DX_SUPPLY_SI_QTY,ALLEC FP Equity_DX_BROKER_SI_QTY,ALLEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLEC FP Equity_DX_BROKER_SI_MV_INC_x,ALLEC FP Equity_DX_BROKER_SI_QTY_ADD,ALLEC FP Equity_DX_SUPPLY_SI_MV_DEC,ALLEC FP Equity_DX_BROKER_SI_QTY_INC,ALLEC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLEC FP Equity_DX_BROKER_SI_MV_INC_y,ALLEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLEC FP Equity_DX_BROKER_SI_MV_ADD,ALLEC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLEC FP Equity_DX_BROKER_SI_QTY_DEC,ALLEC FP Equity_DX_SUPPLY_SI_MV,ALLEC FP Equity_DX_BROKER_SI_MV_DEC,ALLEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLEC FP Equity_DX_UTILIZATION_QUANTITY,ALLEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLEC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLEC FP Equity_DX_BROKER_SI_CON_RATIO,ALLEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLEC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLEC FP Equity_PX_LAST
2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88
2018-06-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1138452.0,1.13,0.0,,0.0,,0.0,12.0
2018-06-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1148887.81,1.14,0.0,,0.0,,0.0,12.11
2018-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1159323.62,1.15,0.0,,0.0,,0.0,12.22
2018-06-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1185887.5,1.15,0.0,,0.0,,0.0,12.5
2018-06-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1216246.22,1.18,0.0,,0.0,,0.0,12.82
2018-06-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1209605.25,1.18,0.0,,0.0,,0.0,12.75
2018-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1185887.5,1.21,0.0,,0.0,,0.0,12.5
2018-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,94871.0,1176400.4,1.18,0.0,,0.0,,0.0,12.4
2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,96058.0,1184395.14,1.18,0.0,,0.0,,0.0,12.33
