,STP FP Equity_DX_SI_QTY,STP FP Equity_DX_SHORT_INTEREST_VALUE,STP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STP FP Equity_DX_SI_MV,STP FP Equity_DX_DSS,STP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STP FP Equity_DX_SUPPLY_SI_QTY,STP FP Equity_DX_BROKER_SI_QTY,STP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STP FP Equity_DX_SUPPLY_SI_QTY_INC_x,STP FP Equity_DX_BROKER_SI_MV_INC_x,STP FP Equity_DX_BROKER_SI_QTY_ADD,STP FP Equity_DX_SUPPLY_SI_MV_DEC,STP FP Equity_DX_BROKER_SI_QTY_INC,STP FP Equity_DX_SUPPLY_SI_QTY_DEC,STP FP Equity_DX_BROKER_SI_MV_INC_y,STP FP Equity_DX_SUPPLY_SI_QTY_INC_y,STP FP Equity_DX_BROKER_SI_MV_ADD,STP FP Equity_DX_SUPPLY_SI_QTY_ADD,STP FP Equity_DX_BROKER_SI_QTY_DEC,STP FP Equity_DX_SUPPLY_SI_MV,STP FP Equity_DX_BROKER_SI_MV_DEC,STP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STP FP Equity_DX_UTILIZATION_QUANTITY,STP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STP FP Equity_DX_ACTIVE_UTILIZATION_MV,STP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STP FP Equity_DX_BROKER_SI_CON_RATIO,STP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STP FP Equity_DX_DEMAND_SUPPLY_RATIO,STP FP Equity_PX_LAST
2001-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2
2001-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6
2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7
2001-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4
2001-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7
2001-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.75
2001-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9
2001-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
2001-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3
2001-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1
2001-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9
2001-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7
2001-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
2002-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.95
2002-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5
2002-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5
2002-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7
2002-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8
2002-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.75
2002-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5
2002-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
2002-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7
2002-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2002-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9
2002-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6
2002-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.46
2002-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8
2002-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2002-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2
2002-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8
2002-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4
2002-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.35
2002-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2002-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.95
2002-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8
2002-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.85
2002-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9
2002-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.05
2002-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.85
2002-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.43
2002-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4
2002-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2002-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25
2002-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.15
2002-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3
2002-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2
2002-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2
2002-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6
2002-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2002-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1
2002-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2002-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9
2002-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.55
2002-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
2002-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
2002-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.95
2002-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25
2002-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3
2002-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4
2002-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.65
2002-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.95
2002-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85
2002-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.65
2002-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.35
2002-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6
2002-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3
2002-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4
2002-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9
2002-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6
2002-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2
2002-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1
2002-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1
2002-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7
2002-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8
2002-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7
2002-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8
2002-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5
2002-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2
2002-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.55
2002-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.98
2002-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.45
2002-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6
2002-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6
2002-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1
2002-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
2002-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8
2002-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3
2002-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
2002-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.28
2002-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.45
2002-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.75
2002-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45
2002-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4
2002-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7
2002-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3
2002-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4
2002-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9
2002-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04
2002-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2
2002-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.85
2002-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.75
2002-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.54
2002-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.15
2002-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.65
2002-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
2002-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5
2002-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.05
2002-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6
2002-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8
2002-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
2002-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.05
2002-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
2002-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.47
2002-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.65
2002-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.95
2002-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4
2002-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
2002-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.05
2002-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4
2002-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.55
2002-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.55
2002-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3
2002-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7
2002-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.82
2002-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
2002-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8
2003-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5
2003-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8
2003-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3
2003-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.95
2003-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
2003-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.44
2003-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.56
2003-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.15
2003-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.95
2003-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.58
2003-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.18
2003-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66
2003-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9
2003-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6
2003-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.67
2003-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.66
2003-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.78
2003-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.53
2003-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.01
2003-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.19
2003-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.74
2003-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.72
2003-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.54
2003-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.02
2003-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.37
2003-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.06
2003-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.58
2003-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.15
2003-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.07
2003-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.68
2003-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12
2003-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39
2003-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.16
2003-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22
2003-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2
2003-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22
2003-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.19
2003-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.46
2003-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.88
2003-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28
2003-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.56
2003-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
2003-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47
2003-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66
2003-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.24
2003-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22
2003-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.67
2003-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.68
2003-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.18
2003-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68
2003-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.71
2003-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.54
2003-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8
2003-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.42
2003-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.34
2003-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.26
2003-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.19
2003-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.35
2003-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.55
2003-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7
2003-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5
2003-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.35
2003-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5
2003-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3
2003-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.25
2003-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1
2003-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1
2003-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2
2003-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1
2003-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8
2003-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2
2003-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.65
2003-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.15
2003-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.85
2003-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7
2003-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.65
2003-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2
2003-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
2003-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5
2003-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.85
