,ACA FP Equity_DX_SI_QTY,ACA FP Equity_DX_SHORT_INTEREST_VALUE,ACA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ACA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ACA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ACA FP Equity_DX_SI_MV,ACA FP Equity_DX_DSS,ACA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ACA FP Equity_DX_SUPPLY_SI_QTY,ACA FP Equity_DX_BROKER_SI_QTY,ACA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ACA FP Equity_DX_BROKER_SI_MV_NEW_x,ACA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ACA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ACA FP Equity_DX_BROKER_SI_MV_INC_x,ACA FP Equity_DX_SUPPLY_SI_MV_NEW,ACA FP Equity_DX_BROKER_SI_QTY_ADD,ACA FP Equity_DX_BROKER_SI_QTY_NEW,ACA FP Equity_DX_SUPPLY_SI_MV_DEC,ACA FP Equity_DX_BROKER_SI_QTY_INC,ACA FP Equity_DX_SUPPLY_SI_QTY_DEC,ACA FP Equity_DX_BROKER_SI_MV_NEW_y,ACA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ACA FP Equity_DX_BROKER_SI_MV_INC_y,ACA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ACA FP Equity_DX_BROKER_SI_MV_ADD,ACA FP Equity_DX_SUPPLY_SI_QTY_ADD,ACA FP Equity_DX_BROKER_SI_QTY_DEC,ACA FP Equity_DX_SUPPLY_SI_MV,ACA FP Equity_DX_BROKER_SI_MV_DEC,ACA FP Equity_DX_SUPPLY_SI_MV_RMV,ACA FP Equity_DX_BROKER_SI_MV_RMV,ACA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ACA FP Equity_DX_UTILIZATION_QUANTITY,ACA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ACA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ACA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ACA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ACA FP Equity_DX_ACTIVE_UTILIZATION_MV,ACA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ACA FP Equity_DX_BROKER_SI_CON_RATIO,ACA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ACA FP Equity_DX_DEMAND_SUPPLY_RATIO,ACA FP Equity_PX_LAST
2001-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6
2001-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53
2001-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9
2001-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7
2001-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64
2001-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53
2001-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95
2001-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8
2001-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.75
2001-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.79
2002-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7
2002-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73
2002-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.69
2002-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18
2002-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2002-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2002-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2
2002-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22
2002-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.12
2002-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45
2002-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4
2002-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82
2002-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6
