,MLVIN FP Equity_PX_LAST
2013-11-07,0.55
2013-11-08,0.55
2013-11-11,0.55
2013-11-12,0.56
2013-11-13,0.6
2013-11-14,0.6
2013-11-18,0.62
2013-11-19,0.6
2013-12-06,0.56
2013-12-17,0.56
2014-01-21,0.52
2014-01-22,0.51
2014-01-23,0.51
2014-02-04,0.46
2014-02-05,0.46
2014-02-10,0.46
2014-02-12,0.46
2014-02-24,0.5
2014-02-27,0.51
2014-03-24,0.5
2014-04-24,0.41
2014-04-25,0.41
2014-04-28,0.41
2014-05-26,0.49
2014-06-24,0.41
2014-08-26,0.41
2014-10-01,0.41
2014-10-02,0.41
2014-10-03,0.41
2014-11-07,0.41
2014-11-10,0.41
2014-12-05,0.39
2014-12-18,0.45
2015-01-08,0.49
2015-01-22,0.54
2015-01-23,0.54
2015-01-30,0.56
2015-02-11,0.55
2015-02-13,0.5
2015-02-27,0.5
2015-03-03,0.5
2015-03-11,0.45
2015-03-13,0.42
2015-03-24,0.42
2015-03-25,0.43
2015-03-26,0.42
2015-03-27,0.42
2015-04-01,0.42
2015-04-07,0.41
2015-04-13,0.42
2015-06-29,0.39
2015-06-30,0.39
2015-07-07,0.39
2015-07-14,0.4
2015-07-27,0.4
2015-08-12,0.34
2015-08-13,0.34
2015-08-20,0.34
2015-08-21,0.33
2015-08-28,0.34
2015-09-24,0.34
2015-10-05,0.34
2015-10-06,0.31
2015-10-09,0.31
2015-10-20,0.34
2015-10-22,0.38
2015-10-27,0.38
2015-10-30,0.34
2015-11-03,0.31
2015-11-05,0.26
2015-11-06,0.26
2015-11-09,0.25
2015-11-10,0.24
2015-11-11,0.24
2015-12-01,0.3
2015-12-02,0.33
2015-12-08,0.39
2015-12-11,0.38
2015-12-15,0.39
2015-12-16,0.39
2015-12-17,0.41
2015-12-21,0.42
2016-01-05,0.42
2016-01-13,0.44
2016-02-10,0.44
2016-02-15,0.47
2016-04-14,0.4
2016-04-19,0.48
2016-06-22,0.5
2016-06-27,0.55
2016-07-01,0.58
2016-10-19,0.58
2016-11-18,0.58
2016-11-22,0.51
2016-11-23,0.51
2016-12-07,0.51
2016-12-27,0.48
2016-12-29,0.48
2016-12-30,0.48
2017-02-27,0.42
2017-03-21,0.42
2017-04-10,0.58
2017-04-13,0.58
2017-04-18,0.58
2017-05-10,0.51
2017-05-12,0.51
2017-05-15,0.51
2017-05-31,0.51
2017-06-06,0.58
2017-06-13,0.58
2017-06-20,0.58
2017-07-12,0.63
2017-07-20,0.74
2017-07-26,0.74
2017-09-28,0.56
2017-10-05,0.75
2017-10-09,0.75
2017-10-11,0.9
2017-10-17,0.9
2017-11-06,0.9
2017-11-07,0.9
2017-11-27,0.66
2017-11-28,0.75
2017-11-29,0.9
2018-01-11,1.1
2018-01-18,1.2
2018-01-22,1.2
2018-01-30,1.2
2018-02-02,1.2
2018-02-12,1.2
2018-05-11,1.06
2018-05-14,1.15
2018-05-16,1.48
2018-05-25,1.69
2018-05-31,0.855
2018-06-13,1.23
2018-06-14,1.2
2018-08-06,0.955
2018-08-08,1.38
2018-08-10,1.38
2018-08-23,1.13
2018-08-27,0.83
2018-08-28,1.1
2018-08-31,1.38
2018-09-11,1.02
2018-09-12,1.09
2018-09-13,1.01
2018-09-14,1.09
2018-09-19,1.09
2018-09-21,1.09
2018-10-01,1.09
2018-10-09,1.18
2018-10-15,0.91
2018-10-17,1.01
2018-11-05,1.09
2018-11-15,1.01
2018-11-20,0.91
2019-02-19,1.09
2019-02-20,1.17
2019-03-04,1.18
2019-03-06,1.38
2019-03-29,1.38
2019-04-01,1.66
2019-04-02,1.66
2019-04-17,1.17
2019-05-07,1.38
2019-05-16,1.18
2019-05-21,1.68
2019-05-22,1.84
2019-05-27,1.82
2019-06-28,2.66
2019-08-09,2.58
2019-08-14,1.55
2019-09-03,2.7
2019-09-27,1.71
2019-10-01,2.04
2019-10-04,1.98
2019-10-11,1.98
2019-10-29,1.98
2019-11-04,2.18
2019-11-06,2.02
2019-11-07,2.18
2019-11-08,2.38
2019-11-12,2.34
2019-11-18,2.38
2019-11-25,2.38
2019-12-06,2.48
2019-12-13,2.48
2019-12-19,2.48
2020-01-14,2.48
2020-01-16,2.48
2020-01-27,2.2
2020-02-05,2.38
2020-02-06,2.2
2020-02-10,2.4
2020-03-09,2.2
2020-04-08,2.18
2020-04-09,2.38
2020-04-22,2.18
2020-04-24,2.02
2020-04-29,2.28
2020-05-04,2.28
2020-05-15,2.28
2020-05-20,2.28
2020-05-27,2.28
2020-06-03,2.28
2020-06-22,2.28
2020-06-24,2.02
2020-07-02,2.34
2020-07-08,2.34
2020-07-21,2.34
2020-07-23,2.34
2020-07-30,2.34
2020-09-01,2.38
2020-09-07,2.38
2020-09-08,2.12
2020-09-14,2.34
2020-09-15,2.12
2020-09-29,2.12
2020-09-30,2.2
2020-10-12,2.34
2020-10-29,2.32
2020-11-03,2.32
2020-11-10,2.22
2020-11-13,2.32
2020-11-20,2.32
2020-12-03,2.38
2020-12-16,2.38
2021-01-06,2.16
2021-01-12,2.16
2021-01-13,2.16
2021-01-15,2.16
2021-01-26,2.16
2021-01-27,2.16
2021-01-28,2.14
2021-01-29,2.16
2021-02-02,2.16
2021-02-05,2.36
2021-02-08,2.36
2021-02-11,2.36
2021-02-15,2.38
2021-02-23,2.22
2021-02-24,2.22
2021-03-08,2.3
2021-03-10,2.3
2021-03-29,2.24
2021-04-16,2.5
2021-04-23,2.5
2021-04-29,2.5
2021-04-30,2.22
2021-05-03,2.22
2021-05-10,2.46
2021-05-11,2.4
2021-05-14,2.22
2021-05-19,2.46
2021-05-25,2.46
2021-05-26,2.46
2021-06-02,2.46
2021-06-04,2.46
2021-06-15,2.46
2021-06-21,2.22
2021-07-05,2.22
2021-07-06,2.22
2021-07-13,2.24
2021-07-20,2.44
2021-07-21,2.42
2021-07-22,2.44
2021-07-23,2.44
2021-07-29,2.5
2021-07-30,2.3
2021-08-03,2.58
2021-08-05,2.58
2021-08-18,2.58
2021-08-19,2.58
2021-09-06,2.58
2021-09-13,2.58
2021-09-14,2.66
2021-09-15,2.88
2021-09-22,2.36
2021-10-15,2.36
2021-12-01,2.36
2021-12-06,2.36
2022-01-04,2.88
2022-01-07,2.8
2022-01-13,2.8
2022-01-14,2.88
2022-02-25,2.7
2022-04-07,2.46
2022-04-08,2.7
2022-04-12,2.4
2022-04-29,2.36
2022-05-26,2.36
2022-06-23,2.78
2022-06-24,2.98
2022-06-28,2.76
2022-07-05,2.52
2022-07-06,2.56
2022-07-07,2.78
2022-07-08,2.88
2022-07-11,2.98
2022-08-16,3.54
2022-08-17,3.54
2022-08-18,3.54
2022-08-23,3.52
2022-08-26,3.54
2022-08-29,3.54
2022-08-31,3.52
2022-09-05,3.54
2022-09-06,3.54
2022-09-08,3.0
2022-09-09,3.26
2022-09-19,3.54
2022-09-21,3.54
2022-09-23,3.06
2022-10-20,2.7
2022-10-24,2.5
2022-11-28,2.5
2022-11-29,2.5
2022-11-30,2.5
2022-12-01,2.5
2022-12-02,3.48
