,MLPRO FP Equity_PX_LAST
2014-04-10,0.32
2014-04-11,0.32
2014-04-16,0.35
2014-04-28,0.38
2014-05-09,0.33
2014-05-19,0.27
2014-06-20,0.18
2014-07-25,0.24
2014-09-10,0.14
2014-11-19,0.12
2014-12-03,0.11
2015-07-28,0.12
2015-11-18,0.12
2015-12-21,0.1
2016-01-21,0.1
2017-08-23,0.04
2017-09-06,0.25
2018-10-19,26.4
2019-02-04,3.1
2019-02-05,3.1
2019-02-21,2.0
2019-04-04,2.2
2019-04-05,2.42
2019-05-02,2.66
2019-05-14,2.9
2019-05-28,3.0
2022-11-28,3.0
2022-11-29,3.0
2022-11-30,3.0
2022-12-01,3.0
2022-12-02,3.0
2022-12-05,3.0
2022-12-06,3.0
2022-12-07,3.0
2022-12-08,3.0
2022-12-09,3.0
2022-12-12,3.0
2022-12-13,3.0
2022-12-14,3.0
2022-12-15,3.0
2022-12-16,3.0
2022-12-19,3.0
2022-12-20,3.0
2022-12-21,3.0
2022-12-22,3.0
2022-12-23,3.0
2022-12-27,3.0
2022-12-28,3.0
2022-12-29,3.0
2022-12-30,3.0
