,ISRJ FP Equity_PX_LAST
2024-12-03,10.517
2024-12-04,10.465
2024-12-05,10.438
2024-12-06,10.416
2024-12-09,10.337
2024-12-10,10.358
2024-12-11,10.476
2024-12-12,10.446
2024-12-13,10.258
2024-12-16,10.206
2024-12-17,10.189
2024-12-18,10.2
2024-12-19,10.085
2024-12-20,10.088
2024-12-23,10.04
2024-12-24,10.04
2024-12-27,10.273
2024-12-30,10.167
2024-12-31,10.193
2025-01-02,10.329
2025-01-03,10.263
2025-01-06,10.26
2025-01-07,10.287
2025-01-08,10.258
2025-01-09,10.187
2025-01-10,10.074
2025-01-13,10.061
2025-01-14,10.001
2025-01-15,10.134
2025-01-16,10.114
2025-01-17,10.159
2025-01-20,10.143
2025-01-21,10.192
2025-01-22,10.238
2025-01-23,10.293
2025-01-24,10.315
2025-01-27,10.212
2025-01-28,10.326
2025-01-29,10.385
2025-01-30,10.478
2025-01-31,10.53
2025-02-03,10.451
2025-02-04,10.424
2025-02-05,10.455
2025-02-06,10.606
2025-02-07,10.529
2025-02-10,10.576
2025-02-11,10.545
2025-02-12,10.348
2025-02-13,10.49
2025-02-14,10.472
2025-02-17,10.614
2025-02-18,10.633
2025-02-19,10.611
2025-02-20,10.566
2025-02-21,10.569
2025-02-24,10.452
2025-02-25,10.442
2025-02-26,10.555
2025-02-27,10.625
2025-02-28,10.422
2025-03-03,10.556
2025-03-04,10.264
2025-03-05,10.24
2025-03-06,10.292
2025-03-07,10.15
2025-03-10,10.08
2025-03-11,9.869
2025-03-12,10.064
2025-03-13,10.094
2025-03-14,10.202
2025-03-17,10.271
2025-03-18,10.22
2025-03-19,10.303
2025-03-20,10.346
2025-03-21,10.362
2025-03-24,10.346
2025-03-25,10.397
2025-03-26,10.353
2025-03-27,10.311
2025-03-28,10.081
2025-03-31,9.967
2025-04-01,9.956
2025-04-02,9.853
2025-04-03,9.356
2025-04-04,8.986
2025-04-07,8.816
2025-04-08,9.172
2025-04-09,8.776
2025-04-10,9.117
2025-04-11,8.977
2025-04-14,9.268
2025-04-15,9.462
2025-04-16,9.377
2025-04-17,9.524
2025-04-22,9.527
2025-04-23,9.681
2025-04-24,9.689
2025-04-25,9.739
2025-04-28,9.858
2025-04-29,9.907
2025-04-30,9.879
2025-05-02,9.96
2025-05-05,10.06
2025-05-06,10.051
2025-05-07,9.975
2025-05-08,10.064
2025-05-09,10.081
2025-05-12,10.283
2025-05-13,10.165
2025-05-14,10.062
2025-05-15,10.128
2025-05-16,10.15
2025-05-19,10.075
2025-05-20,10.171
2025-05-21,10.088
2025-05-22,10.078
2025-05-23,10.084
2025-05-26,10.214
2025-05-27,10.364
2025-05-28,10.264
2025-05-29,10.256
2025-05-30,10.257
2025-06-02,10.274
2025-06-03,10.269
2025-06-04,10.219
2025-06-05,10.121
2025-06-06,10.21
2025-06-09,10.242
2025-06-10,10.185
2025-06-11,10.157
2025-06-12,10.101
2025-06-13,10.05
2025-06-16,10.081
2025-06-17,10.013
2025-06-18,10.133
2025-06-19,10.048
2025-06-20,9.914
2025-06-23,9.85
2025-06-24,9.924
2025-06-25,9.927
2025-06-26,10.032
2025-06-27,10.222
2025-06-30,10.162
2025-07-01,10.084
2025-07-02,10.045
2025-07-03,10.082
2025-07-04,10.008
2025-07-07,9.924
2025-07-08,9.905
2025-07-09,9.898
2025-07-10,9.897
2025-07-11,9.814
2025-07-14,9.839
2025-07-15,9.821
2025-07-16,9.771
2025-07-17,9.926
2025-07-18,9.829
2025-07-21,9.902
2025-07-22,9.896
2025-07-23,10.322
2025-07-24,10.356
2025-07-25,10.228
2025-07-28,10.163
2025-07-29,10.197
2025-07-30,10.296
2025-07-31,10.288
2025-08-01,10.177
2025-08-04,10.309
2025-08-05,10.308
2025-08-06,10.355
2025-08-07,10.435
2025-08-08,10.592
2025-08-11,10.644
2025-08-12,10.706
2025-08-13,10.698
2025-08-14,10.676
2025-08-15,10.794
2025-08-18,10.848
2025-08-19,10.816
2025-08-20,10.779
2025-08-21,10.713
2025-08-22,10.773
2025-08-25,10.689
2025-08-26,10.626
2025-08-27,10.618
2025-08-28,10.692
2025-08-29,10.511
