,ALGEC FP Equity_DX_SI_QTY,ALGEC FP Equity_DX_SHORT_INTEREST_VALUE,ALGEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEC FP Equity_DX_SI_MV,ALGEC FP Equity_DX_DSS,ALGEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEC FP Equity_DX_SUPPLY_SI_QTY,ALGEC FP Equity_DX_BROKER_SI_QTY,ALGEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEC FP Equity_DX_BROKER_SI_MV_NEW_x,ALGEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALGEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEC FP Equity_DX_BROKER_SI_MV_INC_x,ALGEC FP Equity_DX_SUPPLY_SI_MV_NEW,ALGEC FP Equity_DX_BROKER_SI_QTY_ADD,ALGEC FP Equity_DX_BROKER_SI_QTY_NEW,ALGEC FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEC FP Equity_DX_BROKER_SI_QTY_INC,ALGEC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEC FP Equity_DX_BROKER_SI_MV_NEW_y,ALGEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALGEC FP Equity_DX_BROKER_SI_MV_INC_y,ALGEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEC FP Equity_DX_BROKER_SI_MV_ADD,ALGEC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEC FP Equity_DX_BROKER_SI_QTY_DEC,ALGEC FP Equity_DX_SUPPLY_SI_MV,ALGEC FP Equity_DX_BROKER_SI_MV_DEC,ALGEC FP Equity_DX_SUPPLY_SI_MV_RMV,ALGEC FP Equity_DX_BROKER_SI_MV_RMV,ALGEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEC FP Equity_DX_UTILIZATION_QUANTITY,ALGEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALGEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALGEC FP Equity_DX_BROKER_SI_CON_RATIO,ALGEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,22645.0,42572.6,1.25,0.42,0.11,0.04,0.0,42572.6,22899.0,22645.0,43050.12,,,380.0,,,,,,,,,,,380.0,,,,0.04,,,,8.34,8.34,251822.0,473425.36,,0.45,8.34,,1.0,100.0,0.0824
2006-01-11,22645.0,41893.25,1.25,0.42,0.11,0.04,0.0,41893.25,22523.0,22645.0,41667.55,,,,,,,,0.0,,376.0,,,,,,,,0.04,,,,8.24,8.24,250911.0,464185.35,,0.47,8.24,,1.0,100.0,0.0828
2006-01-18,22645.0,42346.15,1.25,0.46,0.11,0.04,0.0,42346.15,23018.0,22645.0,43043.66,,,495.0,,,,,,,,,,,495.0,,,,0.04,,,,8.38,8.38,251649.0,470583.63,,0.46,8.38,,1.0,100.0,0.0824
2006-01-25,22645.0,44610.65,1.25,0.41,0.11,0.05,0.0,44610.65,22421.0,22645.0,44169.37,,,,,,,,0.0,,597.0,,,,,,,,0.05,,,,8.3,8.3,247657.0,487884.29,,0.5,8.3,,1.0,100.0,0.0838
2006-02-01,22645.0,42346.15,1.25,0.45,0.11,0.04,0.0,42346.15,22765.0,22645.0,42570.55,,,344.0,,,,,,,,,,,344.0,,,,0.04,,,,8.29,8.29,251813.0,470890.31,,0.48,8.29,,1.0,100.0,0.0825
2006-02-08,22645.0,42799.05,1.25,0.47,0.11,0.04,0.0,42799.05,22526.0,22645.0,42574.14,,,,,,,,0.0,,238.0,,,,,,,,0.04,,,,8.31,8.31,248576.0,469808.64,,0.47,8.31,,1.0,100.0,0.0835
2006-02-15,22645.0,42799.05,1.25,0.45,0.11,0.04,0.0,42799.05,22284.0,22645.0,42116.76,,,,,,,,0.0,,243.0,,,,,,,,0.04,,,,8.26,8.26,247632.0,468024.48,,0.47,8.26,,1.0,100.0,0.0839
2006-02-22,22645.0,56612.5,1.25,0.08,0.11,0.05,0.0,56612.5,25755.0,22645.0,64387.5,,,3471.0,,,,,,,,,,,3471.0,,,,0.06,,,,8.52,8.52,276672.0,691680.0,,0.64,8.52,,1.0,100.0,0.0749
2006-03-01,22645.0,55480.25,1.25,0.07,0.11,0.05,0.0,55480.25,24263.0,22645.0,59444.35,,,,,,,,0.0,,1493.0,,,,,,,,0.06,,,,8.43,8.43,263684.0,646025.8,,0.63,8.43,,1.0,100.0,0.0786
2006-03-08,22645.0,51177.7,1.25,0.06,0.11,0.06,0.0,51177.7,22183.0,22645.0,50133.58,,,,,,,,0.0,,2080.0,,,,,,,,0.05,,,,8.32,8.32,244299.0,552115.74,,0.6,8.32,,1.0,100.0,0.085
2006-03-15,22645.0,53442.2,1.25,0.06,0.11,0.06,0.0,53442.2,21721.0,22645.0,51261.56,,,,,,,,0.0,,462.0,,,,,,,,0.05,,,,8.42,8.42,236125.0,557255.0,,0.58,8.42,,1.0,100.0,0.0878
2006-03-22,22645.0,57291.85,1.25,0.06,0.11,0.06,0.0,57291.85,22183.0,22645.0,56122.99,,,462.0,,,,,,,,,,,462.0,,,,0.05,,,,8.36,8.36,243149.0,615166.97,,0.6,8.36,,1.0,100.0,0.0853
2006-03-29,22645.0,56612.5,1.25,0.06,0.11,0.06,0.0,56612.5,22645.0,22645.0,56612.5,,,462.0,,,,,,,,,,,462.0,,,,0.06,,,,8.3,8.3,250076.0,625190.0,,0.61,8.3,,1.0,100.0,0.083
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,22645.0,,,,,,,,0.07,,,0.06,0.0,0.0,0.0,0.0,,0.67,9.7,,1.0,100.0,0.0
2006-04-12,26847.0,75171.6,1.48,0.12,0.12,0.08,0.0,63406.0,28761.0,22645.0,80530.8,0.06,,28761.0,,,,22645.0,,,,0.06,,,28761.0,,,,0.08,,,,9.89,9.89,262059.0,733765.2,,0.74,9.89,,1.0,100.0,0.0923
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.07,,28761.0,,,,,,,22645.0,0.01,0.06,,,0.0,0.0,0.0,0.0,,0.75,1.41,,0.0,,0.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.01,,,,0.0,0.0,0.0,0.0,,0.76,1.4,,0.0,,0.0
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.04,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-05-10,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.04,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-05-17,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.04,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-05-24,48016.0,122440.8,2.65,0.25,0.22,0.12,0.0,45696.0,30096.0,17920.0,76744.8,,,30096.0,,,17920.0,,,,,,,,30096.0,0.05,,,0.08,,,,11.82,11.82,224550.0,572602.5,,0.0,0.0,,1.0,100.0,0.1886
2006-05-31,139443.0,334663.2,7.7,0.97,0.65,0.33,0.0,140395.2,80945.0,58498.0,194268.0,,,50848.0,0.09,,,,,40578.0,,,,0.09,50848.0,,,,0.19,,,,27.8,27.8,210274.0,504657.6,,0.5,27.8,,1.0,100.0,0.4788
