,SRIUC FP Equity_DX_SI_QTY,SRIUC FP Equity_DX_SHORT_INTEREST_VALUE,SRIUC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIUC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIUC FP Equity_DX_SI_MV,SRIUC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIUC FP Equity_DX_SUPPLY_SI_QTY,SRIUC FP Equity_DX_BROKER_SI_QTY,SRIUC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIUC FP Equity_DX_BROKER_SI_QTY_ADD,SRIUC FP Equity_DX_BROKER_SI_MV_ADD,SRIUC FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIUC FP Equity_DX_SUPPLY_SI_MV,SRIUC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIUC FP Equity_DX_UTILIZATION_QUANTITY,SRIUC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIUC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIUC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIUC FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIUC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIUC FP Equity_DX_BROKER_SI_CON_RATIO,SRIUC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIUC FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIUC FP Equity_PX_LAST
2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,10.006
2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,10.092
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,10.092
2023-10-05,,,,,,,,,,,,,,,,,,,,,,,,10.094
2023-10-06,,,,,,,,,,,,,,,,,,,,,,,,10.096
2023-10-09,,,,,,,,,,,,,,,,,,,,,,,,10.096
2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,10.1
2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,10.102
2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,10.106
2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,10.106
2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,10.106
2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,10.058
2023-10-18,,,,,,,,,,,,,,,,,,,,,,,,10.05
2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,10.052
2023-10-20,,,,,,,,,,,,,,,,,,,,,,,,10.048
2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,10.038
2023-10-24,,,,,,,,,,,,,,,,,,,,,,,,10.05
2023-10-25,,,,,,,,,,,,,,,,,,,,,,,,10.056
2023-10-26,,,,,,,,,,,,,,,,,,,,,,,,10.062
2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,10.06
2023-10-30,,,,,,,,,,,,,,,,,,,,,,,,10.064
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,10.066
2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,10.066
2023-11-02,,,,,,,,,,,,,,,,,,,,,,,,10.052
2023-11-03,,,,,,,,,,,,,,,,,,,,,,,,10.074
2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,10.072
