,DEFS FP Equity_DX_SI_QTY,DEFS FP Equity_DX_SHORT_INTEREST_VALUE,DEFS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DEFS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DEFS FP Equity_DX_SI_MV,DEFS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DEFS FP Equity_DX_SUPPLY_SI_QTY,DEFS FP Equity_DX_BROKER_SI_QTY,DEFS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DEFS FP Equity_DX_SUPPLY_SI_QTY_INC_x,DEFS FP Equity_DX_BROKER_SI_MV_INC_x,DEFS FP Equity_DX_BROKER_SI_QTY_ADD,DEFS FP Equity_DX_SUPPLY_SI_MV_DEC,DEFS FP Equity_DX_BROKER_SI_QTY_INC,DEFS FP Equity_DX_SUPPLY_SI_QTY_DEC,DEFS FP Equity_DX_BROKER_SI_MV_INC_y,DEFS FP Equity_DX_SUPPLY_SI_QTY_INC_y,DEFS FP Equity_DX_BROKER_SI_MV_ADD,DEFS FP Equity_DX_SUPPLY_SI_QTY_ADD,DEFS FP Equity_DX_BROKER_SI_QTY_DEC,DEFS FP Equity_DX_SUPPLY_SI_MV,DEFS FP Equity_DX_BROKER_SI_MV_DEC,DEFS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DEFS FP Equity_DX_UTILIZATION_QUANTITY,DEFS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DEFS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DEFS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DEFS FP Equity_DX_ACTIVE_UTILIZATION_MV,DEFS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DEFS FP Equity_DX_BROKER_SI_CON_RATIO,DEFS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DEFS FP Equity_DX_DEMAND_SUPPLY_RATIO,DEFS FP Equity_PX_LAST
2025-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.287
2025-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.359
2025-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.457
2025-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.442
2025-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.405
2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.536
2025-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.616
2025-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72
2025-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666
2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2025-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.679
2025-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.767
2025-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.807
2025-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.705
2025-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100.0,562.9,0.0,0.0,,0.0,,0.0,5.629
2025-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.421
2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.462
2025-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.451
2025-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.471
2025-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,2202.0,0.0,0.0,,0.0,,0.0,5.505
2025-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,2197.2,0.0,0.0,,0.0,,0.0,5.493
2025-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.525
2025-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3000.0,16434.0,0.02,0.0,,0.0,,0.0,5.478
2025-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3000.0,16578.0,0.02,0.0,,0.0,,0.0,5.526
2025-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.479
2025-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3800.0,20618.8,0.02,0.0,,0.0,,0.0,5.426
2025-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3800.0,20995.0,0.02,0.0,,0.0,,0.0,5.525
2025-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1900.0,10809.1,0.01,0.0,,0.0,,0.0,5.689
2025-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1900.0,10735.0,0.01,0.0,,0.0,,0.0,5.65
2025-06-30,35200.0,201168.0,0.22,0.33,0.19,100584.0,17600.0,17600.0,100584.0,,,17600.0,,,,,,0.1,17600.0,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,48.99,0.5002,51.01,2.0,5.715
2025-07-01,35200.0,193600.0,0.22,0.33,0.2,96800.0,17600.0,17600.0,96800.0,,,,,,,,,,,,0.1,,100.0,87.56,0.0,0.0,0.0,100.0,49.04,0.5002,50.96,1.7512,5.5
2025-07-02,35200.0,193459.2,0.22,0.33,0.19,96729.6,17600.0,17600.0,96729.6,,,,,,,,,,,,0.1,,100.0,87.56,0.0,0.0,0.0,100.0,49.98,0.5,50.02,1.7512,5.496
2025-07-03,35200.0,194902.4,0.21,0.32,0.19,97451.2,17600.0,17600.0,97451.2,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.81,0.5,50.19,2.0,5.537
2025-07-04,35200.0,196028.8,0.2,0.29,0.2,98014.4,17600.0,17600.0,98014.4,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.86,0.5,50.14,2.0,5.569
2025-07-07,35200.0,200112.0,0.2,0.29,0.2,100056.0,17600.0,17600.0,100056.0,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.48,0.5001,50.52,2.0,5.685
2025-07-08,35200.0,199196.8,0.2,0.28,0.2,99598.4,17600.0,17600.0,99598.4,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.89,0.5,50.11,2.0,5.659
2025-07-09,35200.0,201520.0,0.19,0.27,0.2,100760.0,17600.0,17600.0,100760.0,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.71,0.5,50.29,2.0,5.725
2025-07-10,35200.0,200675.2,0.19,0.26,0.2,100337.6,17600.0,17600.0,100337.6,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.89,0.5,50.11,2.0,5.701
2025-07-11,35200.0,201660.8,0.19,0.25,0.2,100830.4,17600.0,17600.0,100830.4,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,49.88,0.5,50.12,2.0,5.729
2025-07-14,35200.0,204019.2,0.18,0.25,0.2,102009.6,17600.0,17600.0,102009.6,,,,,,,,,,,,0.1,,100.0,20.86,0.0,0.0,0.0,100.0,49.71,0.5,50.29,0.4171,5.796
2025-07-15,17600.0,100443.2,0.1,0.12,0.1,0.0,17600.0,0.0,100443.2,,,,,,,,,,,17600.0,0.1,0.1,100.0,20.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.2086,5.707
2025-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,,17600.0,,,,,,0.0,,0.0,0.0,68887.0,390038.19,0.39,0.0,,0.0,,0.0,5.662
2025-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,67687.0,389200.25,0.38,0.0,,0.0,,0.0,5.75
2025-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,67687.0,396172.01,0.39,0.0,,0.0,,0.0,5.853
2025-07-21,22522.0,130132.12,0.12,0.15,0.13,130132.12,22522.0,22522.0,130132.12,,,22522.0,,,,,,0.13,22522.0,,0.13,,100.0,32.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.329,5.778
2025-07-22,45022.0,255319.76,0.25,0.29,0.26,255319.76,22522.0,45022.0,127722.26,,,22500.0,,,,,,0.13,,,0.13,,100.0,29.21,0.0,0.0,0.0,100.0,49.95,0.5,50.05,0.5839,5.671
2025-07-23,45000.0,256500.0,0.26,0.28,0.26,128250.0,22500.0,22500.0,128250.0,,,,0.13,,22522.0,,,,22500.0,22522.0,0.13,0.13,100.0,25.08,0.0,0.0,0.0,100.0,49.87,0.5,50.13,0.5016,5.7
2025-07-24,45000.0,253665.0,0.26,0.27,0.26,126832.5,22500.0,22500.0,126832.5,,,,,,,,,,,,0.13,,100.0,25.08,0.0,0.0,0.0,100.0,49.7,0.5,50.3,0.5016,5.637
2025-07-25,45000.0,252135.0,0.26,0.27,0.26,126067.5,22500.0,22500.0,126067.5,,,,,,,,,,,,0.13,,100.0,25.08,0.0,0.0,0.0,100.0,49.76,0.5,50.24,0.5016,5.603
