,PHXM FP Equity_DX_SI_QTY,PHXM FP Equity_DX_SHORT_INTEREST_VALUE,PHXM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PHXM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PHXM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PHXM FP Equity_DX_SI_MV,PHXM FP Equity_DX_DSS,PHXM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PHXM FP Equity_DX_SUPPLY_SI_QTY,PHXM FP Equity_DX_BROKER_SI_QTY,PHXM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PHXM FP Equity_DX_BROKER_SI_MV_NEW_x,PHXM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PHXM FP Equity_DX_SUPPLY_SI_QTY_INC_x,PHXM FP Equity_DX_BROKER_SI_MV_INC_x,PHXM FP Equity_DX_SUPPLY_SI_MV_NEW,PHXM FP Equity_DX_BROKER_SI_QTY_ADD,PHXM FP Equity_DX_BROKER_SI_QTY_NEW,PHXM FP Equity_DX_SUPPLY_SI_MV_DEC,PHXM FP Equity_DX_BROKER_SI_QTY_INC,PHXM FP Equity_DX_SUPPLY_SI_QTY_DEC,PHXM FP Equity_DX_BROKER_SI_MV_NEW_y,PHXM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PHXM FP Equity_DX_BROKER_SI_MV_INC_y,PHXM FP Equity_DX_SUPPLY_SI_QTY_INC_y,PHXM FP Equity_DX_BROKER_SI_MV_ADD,PHXM FP Equity_DX_SUPPLY_SI_QTY_ADD,PHXM FP Equity_DX_BROKER_SI_QTY_DEC,PHXM FP Equity_DX_SUPPLY_SI_MV,PHXM FP Equity_DX_BROKER_SI_MV_DEC,PHXM FP Equity_DX_SUPPLY_SI_MV_RMV,PHXM FP Equity_DX_BROKER_SI_MV_RMV,PHXM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PHXM FP Equity_DX_UTILIZATION_QUANTITY,PHXM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PHXM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PHXM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PHXM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PHXM FP Equity_DX_ACTIVE_UTILIZATION_MV,PHXM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PHXM FP Equity_DX_BROKER_SI_CON_RATIO,PHXM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PHXM FP Equity_DX_DEMAND_SUPPLY_RATIO
2014-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,23761.92,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,24294.4,,0.0,0.0,,0.0,,0.0
2014-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,24227.84,,0.0,0.0,,0.0,,0.0
2014-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,24743.68,,0.0,0.0,,0.0,,0.0
2014-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,23296.0,,0.0,0.0,,0.0,,0.0
2014-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,23296.0,,0.0,0.0,,0.0,,0.0
2014-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,29120.0,,0.0,0.0,,0.0,,0.0
2014-02-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,26790.4,,0.0,0.0,,0.0,,0.0
2014-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,26906.88,,0.0,0.0,,0.0,,0.0
2014-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,25958.4,,0.0,0.0,,0.0,,0.0
2014-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1664.0,24960.0,,0.0,0.0,,0.0,,0.0
