,CSW FP Equity_DX_SI_QTY,CSW FP Equity_DX_SHORT_INTEREST_VALUE,CSW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CSW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CSW FP Equity_DX_SI_MV,CSW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CSW FP Equity_DX_SUPPLY_SI_QTY,CSW FP Equity_DX_BROKER_SI_QTY,CSW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CSW FP Equity_DX_SUPPLY_SI_QTY_INC_x,CSW FP Equity_DX_BROKER_SI_MV_INC_x,CSW FP Equity_DX_BROKER_SI_QTY_ADD,CSW FP Equity_DX_SUPPLY_SI_MV_DEC,CSW FP Equity_DX_BROKER_SI_QTY_INC,CSW FP Equity_DX_SUPPLY_SI_QTY_DEC,CSW FP Equity_DX_BROKER_SI_MV_INC_y,CSW FP Equity_DX_SUPPLY_SI_QTY_INC_y,CSW FP Equity_DX_BROKER_SI_MV_ADD,CSW FP Equity_DX_SUPPLY_SI_QTY_ADD,CSW FP Equity_DX_BROKER_SI_QTY_DEC,CSW FP Equity_DX_SUPPLY_SI_MV,CSW FP Equity_DX_BROKER_SI_MV_DEC,CSW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CSW FP Equity_DX_UTILIZATION_QUANTITY,CSW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CSW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CSW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CSW FP Equity_DX_ACTIVE_UTILIZATION_MV,CSW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CSW FP Equity_DX_BROKER_SI_CON_RATIO,CSW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CSW FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2822208.0,2.82,0.0,,0.0,,0.0
2010-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2843426.0,2.84,0.0,,0.0,,0.0
2010-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2815280.0,2.82,0.0,,0.0,,0.0
2010-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2783886.0,2.78,0.0,,0.0,,0.0
2010-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2802073.0,2.76,0.0,,0.0,,0.0
2010-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2823290.0,2.82,0.0,,0.0,,0.0
2010-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2735387.0,2.83,0.0,,0.0,,0.0
2010-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2699447.0,2.7,0.0,,0.0,,0.0
2010-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2767214.0,2.72,0.0,,0.0,,0.0
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21651.0,2739501.0,2.74,0.0,,0.0,,0.0
