,MFE FP Equity_DX_SI_QTY,MFE FP Equity_DX_SHORT_INTEREST_VALUE,MFE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MFE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MFE FP Equity_DX_SI_MV,MFE FP Equity_DX_DSS,MFE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MFE FP Equity_DX_SUPPLY_SI_QTY,MFE FP Equity_DX_BROKER_SI_QTY,MFE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MFE FP Equity_DX_BROKER_SI_MV_NEW_x,MFE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MFE FP Equity_DX_SUPPLY_SI_QTY_INC_x,MFE FP Equity_DX_BROKER_SI_MV_INC_x,MFE FP Equity_DX_SUPPLY_SI_MV_NEW,MFE FP Equity_DX_BROKER_SI_QTY_ADD,MFE FP Equity_DX_BROKER_SI_QTY_NEW,MFE FP Equity_DX_SUPPLY_SI_MV_DEC,MFE FP Equity_DX_BROKER_SI_QTY_INC,MFE FP Equity_DX_SUPPLY_SI_QTY_DEC,MFE FP Equity_DX_BROKER_SI_MV_NEW_y,MFE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MFE FP Equity_DX_BROKER_SI_MV_INC_y,MFE FP Equity_DX_SUPPLY_SI_QTY_INC_y,MFE FP Equity_DX_BROKER_SI_MV_ADD,MFE FP Equity_DX_SUPPLY_SI_QTY_ADD,MFE FP Equity_DX_BROKER_SI_QTY_DEC,MFE FP Equity_DX_SUPPLY_SI_MV,MFE FP Equity_DX_BROKER_SI_MV_DEC,MFE FP Equity_DX_SUPPLY_SI_MV_RMV,MFE FP Equity_DX_BROKER_SI_MV_RMV,MFE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MFE FP Equity_DX_UTILIZATION_QUANTITY,MFE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MFE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MFE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MFE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MFE FP Equity_DX_ACTIVE_UTILIZATION_MV,MFE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MFE FP Equity_DX_BROKER_SI_CON_RATIO,MFE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MFE FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-02-01,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-02,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-05,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-06,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-07,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-08,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-09,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-12,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-13,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-14,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-15,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
2007-02-16,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.1,0.0,,0.0,,
