DATE,ALBI FP Equity_DX_SI_QTY,ALBI FP Equity_DX_SHORT_INTEREST_VALUE,ALBI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBI FP Equity_DX_SI_MV,ALBI FP Equity_DX_DSS,ALBI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBI FP Equity_DX_SUPPLY_SI_QTY,ALBI FP Equity_DX_BROKER_SI_QTY,ALBI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBI FP Equity_DX_BROKER_SI_MV_NEW_x,ALBI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALBI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBI FP Equity_DX_BROKER_SI_MV_INC_x,ALBI FP Equity_DX_SUPPLY_SI_MV_NEW,ALBI FP Equity_DX_BROKER_SI_QTY_ADD,ALBI FP Equity_DX_BROKER_SI_QTY_NEW,ALBI FP Equity_DX_SUPPLY_SI_MV_DEC,ALBI FP Equity_DX_BROKER_SI_QTY_INC,ALBI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBI FP Equity_DX_BROKER_SI_MV_NEW_y,ALBI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALBI FP Equity_DX_BROKER_SI_MV_INC_y,ALBI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBI FP Equity_DX_BROKER_SI_MV_ADD,ALBI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBI FP Equity_DX_BROKER_SI_QTY_DEC,ALBI FP Equity_DX_SUPPLY_SI_MV,ALBI FP Equity_DX_BROKER_SI_MV_DEC,ALBI FP Equity_DX_SUPPLY_SI_MV_RMV,ALBI FP Equity_DX_BROKER_SI_MV_RMV,ALBI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBI FP Equity_DX_UTILIZATION_QUANTITY,ALBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBI FP Equity_DX_BROKER_SI_CON_RATIO,ALBI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBI FP Equity_PX_LAST
2006-07-03,16990.0,989034.87,1.33,23.98,0.87,1.09,0.0,0.0,16990.0,0.0,989034.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,78.16,76.39,4746.0,276277.78,0.0,0.0,0.0,0.0,0.0,0.0,0.7639,64.45
2006-07-04,16869.0,978182.01,1.32,25.26,0.86,1.09,0.0,0.0,16869.0,0.0,978182.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,78.17,76.38,4712.0,273234.55,0.0,0.0,0.0,0.0,0.0,0.0,0.7638,64.2
2006-07-05,17006.0,984590.2,1.33,26.02,0.87,1.1,0.0,0.0,17006.0,0.0,984590.2,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,78.17,76.4,4748.0,274893.23,0.0,0.0,0.0,0.0,0.0,0.0,0.764,64.1
2006-07-06,17166.0,992303.19,1.34,26.09,0.88,1.09,0.0,0.0,17166.0,0.0,992303.19,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,78.17,76.41,4793.0,277065.66,0.0,0.0,0.0,0.0,0.0,0.0,0.7642,64.0
2006-07-07,17272.0,993750.52,1.35,25.42,0.89,1.1,0.0,0.0,17272.0,0.0,993750.52,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,78.18,76.43,4822.0,277435.44,0.0,0.0,0.0,0.0,0.0,0.0,0.7643,63.7
2006-07-10,17165.0,976741.55,1.34,26.75,0.88,1.1,0.0,0.0,17165.0,0.0,976741.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,78.18,76.42,4790.0,272565.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7642,63.0
2006-07-11,17524.0,997169.76,1.37,27.33,0.9,1.1,0.0,0.0,17524.0,0.0,997169.76,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,78.18,76.46,4891.0,278313.02,0.0,0.0,0.0,0.0,0.0,0.0,0.7646,63.0
2006-07-12,17040.0,969628.66,1.33,27.15,0.87,1.08,0.0,0.0,17040.0,0.0,969628.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,78.17,76.4,4758.0,270744.9,0.0,0.0,0.0,0.0,0.0,0.0,0.764,63.0
2006-07-13,17210.0,957539.92,1.35,29.65,0.88,1.08,0.0,0.0,17210.0,0.0,957539.92,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,78.18,76.43,4802.0,267176.45,0.0,0.0,0.0,0.0,0.0,0.0,0.7643,61.6
2006-07-14,17541.0,975956.29,1.37,29.8,0.9,1.08,0.0,0.0,17541.0,0.0,975956.29,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,78.18,76.46,4894.0,272295.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7646,61.6
