DATE,UTI FP Equity_DX_DSS,UTI FP Equity_PX_LAST
2006-08-29,0.0,40.45
2006-08-30,0.0,40.32
2006-08-31,0.0,40.43
2006-09-01,0.0,40.7
2006-09-04,0.0,40.73
2006-09-05,0.0,40.48
2006-09-06,0.0,40.2
2006-09-07,0.0,40.2
2006-09-08,0.0,40.48
2006-09-11,0.0,40.08
2006-09-12,0.0,40.66
2006-09-13,0.0,40.68
2006-09-14,0.0,40.94
2006-09-15,0.0,41.34
2006-09-18,0.0,41.48
2006-09-19,0.0,41.31
2006-09-20,0.0,41.61
2006-09-21,0.0,41.3
2006-09-22,0.0,41.02
2006-09-25,0.0,40.97
2006-09-26,0.0,41.73
2006-09-27,0.0,42.65
2006-09-28,0.0,42.43
2006-09-29,0.0,42.36
2006-10-03,0.0,42.41
2006-10-04,0.0,42.57
2006-10-05,0.0,42.55
2006-10-06,0.0,42.7
2006-10-09,0.0,42.59
2006-10-10,0.0,42.65
2006-10-11,0.0,42.69
2006-10-12,0.0,42.93
2006-10-13,0.0,42.93
2006-10-16,0.0,43.01
2006-10-17,0.0,42.78
2006-10-18,0.0,43.01
2006-10-19,0.0,42.94
2006-10-20,0.0,43.22
2006-10-23,0.0,43.31
2006-10-24,0.0,43.25
2006-10-25,0.0,43.34
2006-10-26,0.0,43.19
2006-10-27,0.0,43.32
2006-10-30,0.0,43.43
2006-10-31,0.0,43.38
2006-11-01,0.0,43.5
2006-11-02,0.0,43.21
2006-11-03,0.0,43.26
2006-11-06,0.0,43.68
2006-11-07,0.0,43.84
2006-11-08,0.0,44.27
2006-11-09,0.0,44.3
2006-11-10,0.0,44.42
2006-11-13,0.0,44.59
2006-11-14,0.0,44.49
2006-11-16,0.0,45.08
2006-11-17,0.0,44.94
2006-11-22,0.0,44.95
2006-11-23,0.0,44.87
2006-11-24,0.0,45.05
2006-11-27,0.0,44.85
2006-11-28,0.0,44.39
2006-11-29,0.0,45.08
2006-11-30,0.0,45.24
2006-12-01,0.0,45.2
2006-12-04,0.0,45.23
2006-12-05,0.0,45.66
2006-12-06,0.0,45.74
2006-12-07,0.0,45.88
2006-12-08,0.0,46.09
2006-12-11,0.0,46.27
2006-12-13,0.0,46.56
2006-12-14,0.0,46.79
2006-12-15,0.0,47.1
2006-12-18,0.0,47.05
2006-12-19,0.0,46.89
2006-12-20,0.0,46.49
2006-12-21,0.0,46.38
2006-12-22,0.0,46.27
2006-12-27,0.0,46.47
2006-12-28,0.0,46.72
2006-12-29,0.0,46.7
2007-01-02,0.0,47.21
2007-01-03,0.0,47.05
2007-01-04,0.0,46.38
2007-01-05,0.0,45.7
2007-01-08,0.0,45.58
2007-01-09,0.0,45.56
2007-01-10,0.0,45.48
2007-01-11,0.0,46.27
2007-01-12,0.0,46.52
2007-01-15,0.0,46.72
2007-01-16,0.0,46.6
2007-01-17,0.0,46.34
2007-01-18,0.0,46.2
2007-01-19,0.0,46.25
2007-01-22,0.0,46.48
2007-01-23,0.0,46.08
2007-01-24,0.0,46.95
2007-01-25,0.0,46.74
2007-01-26,0.0,46.48
2007-01-29,0.0,46.81
2007-01-30,0.0,47.12
2007-01-31,0.0,46.99
2007-02-01,0.0,47.55
2007-02-02,0.0,48.08
2007-02-05,0.0,47.91
2007-02-06,0.0,48.2
2007-02-07,0.0,48.63
2007-02-08,0.0,48.27
2007-02-09,0.0,48.49
2007-02-12,0.0,48.3
2007-02-13,0.0,48.17
2007-02-15,0.0,48.19
2007-02-16,0.0,48.25
2007-02-19,0.0,48.32
2007-02-20,0.0,47.94
2007-02-21,0.0,47.56
2007-02-22,0.0,47.7
2007-02-23,0.0,47.81
2007-02-26,0.0,48.18
2007-02-27,0.0,46.81
2007-02-28,0.0,46.12
2007-03-01,0.0,45.48
2007-03-02,0.0,45.5
2007-03-05,0.0,45.19
2007-03-06,0.0,45.36
2007-03-07,0.0,45.83
2007-03-12,0.0,46.31
2007-03-13,1.0,46.06
2007-03-14,1.0,45.19
2007-03-15,1.0,45.6
2007-03-16,1.0,46.09
2007-03-19,1.0,46.52
2007-03-20,1.0,46.95
2007-03-21,0.0,46.97
2007-03-22,0.0,47.48
2007-03-23,0.0,47.7
2007-03-26,0.0,47.46
2007-03-27,0.0,47.59
2007-03-28,0.0,47.53
2007-03-29,0.0,47.76
2007-03-30,0.0,48.11
2007-04-02,0.0,48.34
2007-04-03,0.0,49.53
2007-04-04,0.0,49.46
2007-04-05,0.0,49.41
2007-04-10,0.0,49.52
2007-04-11,0.0,49.46
2007-04-12,0.0,49.26
2007-04-13,0.0,49.34
2007-04-16,0.0,49.6
2007-04-17,0.0,49.7
2007-04-19,0.0,49.27
2007-04-20,1.0,49.48
2007-04-23,1.0,49.26
2007-04-24,1.0,49.11
2007-04-25,1.0,49.35
2007-04-26,1.0,49.42
2007-04-27,0.0,49.31
2007-04-30,0.0,49.76
2007-05-02,0.0,50.05
2007-05-03,0.0,50.34
2007-05-04,0.0,50.53
2007-05-07,0.0,50.82
2007-05-08,0.0,50.55
2007-05-09,0.0,50.62
2007-05-10,0.0,50.25
2007-05-11,0.0,50.62
2007-05-14,0.0,50.77
2007-05-15,0.0,50.69
2007-05-16,0.0,50.93
2007-05-17,0.0,51.18
2007-05-18,0.0,51.6
2007-05-21,0.0,51.53
2007-05-22,0.0,51.45
2007-05-23,0.0,52.25
2007-05-24,0.0,52.22
2007-05-25,0.0,52.12
2007-05-28,0.0,52.13
2007-05-29,0.0,51.89
2007-05-30,0.0,52.1
2007-05-31,0.0,52.97
2007-06-01,0.0,53.47
2007-06-04,0.0,53.14
2007-06-05,0.0,52.78
2007-06-06,0.0,51.71
2007-06-07,0.0,50.61
2007-06-08,0.0,50.73
2007-06-11,0.0,51.05
2007-06-12,0.0,51.01
2007-06-13,0.0,51.01
2007-06-14,0.0,51.82
2007-06-15,0.0,52.55
2007-06-18,0.0,52.65
