DATE,RCO FP Equity_DX_SI_QTY,RCO FP Equity_DX_SHORT_INTEREST_VALUE,RCO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RCO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RCO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RCO FP Equity_DX_SI_MV,RCO FP Equity_DX_DSS,RCO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RCO FP Equity_DX_SUPPLY_SI_QTY,RCO FP Equity_DX_BROKER_SI_QTY,RCO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RCO FP Equity_DX_BROKER_SI_MV_NEW_x,RCO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RCO FP Equity_DX_SUPPLY_SI_QTY_INC_x,RCO FP Equity_DX_BROKER_SI_MV_INC_x,RCO FP Equity_DX_SUPPLY_SI_MV_NEW,RCO FP Equity_DX_BROKER_SI_QTY_ADD,RCO FP Equity_DX_BROKER_SI_QTY_NEW,RCO FP Equity_DX_SUPPLY_SI_MV_DEC,RCO FP Equity_DX_BROKER_SI_QTY_INC,RCO FP Equity_DX_SUPPLY_SI_QTY_DEC,RCO FP Equity_DX_BROKER_SI_MV_NEW_y,RCO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RCO FP Equity_DX_BROKER_SI_MV_INC_y,RCO FP Equity_DX_SUPPLY_SI_QTY_INC_y,RCO FP Equity_DX_BROKER_SI_MV_ADD,RCO FP Equity_DX_SUPPLY_SI_QTY_ADD,RCO FP Equity_DX_BROKER_SI_QTY_DEC,RCO FP Equity_DX_SUPPLY_SI_MV,RCO FP Equity_DX_BROKER_SI_MV_DEC,RCO FP Equity_DX_SUPPLY_SI_MV_RMV,RCO FP Equity_DX_BROKER_SI_MV_RMV,RCO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RCO FP Equity_DX_UTILIZATION_QUANTITY,RCO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RCO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RCO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RCO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RCO FP Equity_DX_ACTIVE_UTILIZATION_MV,RCO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RCO FP Equity_DX_BROKER_SI_CON_RATIO,RCO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RCO FP Equity_DX_DEMAND_SUPPLY_RATIO,RCO FP Equity_PX_LAST
2006-07-03,795795.0,22707931.81,4.21,14.2,1.77,32.12,1.0,10237808.97,533971.0,358782.0,15236809.8,0.0,0.0,5812.0,0.0,0.0,0.0,0.0,0.92,0.0,23465.0,0.0,0.0,0.0,5812.0,0.0,1071.0,79202.0,21.41,3.18,0.0,0.0,32.66,32.66,1100787.0,31410848.44,0.0,44.22,32.62,13.11,0.1551,28.69,0.4868,39.88
2006-07-04,775296.0,22106352.69,4.1,14.45,1.72,31.24,1.0,9900862.87,525028.0,347235.0,14970352.15,0.0,0.0,5753.0,0.03,0.0,0.0,0.0,0.62,754.0,14697.0,0.0,0.0,0.03,5753.0,0.0,0.0,12301.0,21.01,0.49,0.0,0.0,31.97,31.97,1117319.0,31858603.54,0.0,44.81,31.92,13.44,0.1506,27.56,0.4721,39.85
2006-07-05,825192.0,23440492.99,4.36,15.5,1.83,33.21,1.0,11321680.4,524587.0,398565.0,14901474.93,0.0,0.0,1835.0,2.03,0.0,0.0,0.0,0.09,51331.0,2275.0,0.0,0.0,2.03,1835.0,0.0,0.0,0.0,20.98,0.0,0.0,0.0,31.97,31.97,1116382.0,31712067.55,0.0,44.72,31.93,15.3,0.1496,25.88,0.5029,39.7
2006-07-06,820343.0,22956438.84,4.34,16.0,1.82,32.74,1.0,10889702.92,529304.0,389141.0,14812017.54,0.0,0.0,10975.0,0.0,0.0,0.0,0.0,0.31,576.0,6258.0,0.0,0.0,0.0,10975.0,0.0,0.0,10000.0,20.97,0.4,0.0,0.0,32.43,32.43,1102631.0,30855972.58,0.0,43.81,32.37,14.35,0.1531,27.27,0.5027,39.11
2006-07-07,782730.0,21562242.93,4.14,15.14,1.74,30.66,1.0,9539170.65,498876.0,346281.0,13742779.12,0.0,0.0,5652.0,0.0,0.0,0.0,0.0,1.41,382.0,36080.0,0.0,0.0,0.0,5652.0,0.0,0.0,43243.0,19.38,1.81,0.0,0.0,30.32,30.32,1146542.0,31584348.54,0.0,44.64,30.27,13.55,0.1591,28.62,0.4757,38.5
2006-07-10,769788.0,21068023.87,4.07,14.2,1.71,30.01,1.0,9073212.63,531735.0,331519.0,14552845.3,0.0,0.0,32921.0,0.0,0.0,0.0,0.0,0.02,162.0,62.0,0.0,0.0,0.0,32921.0,0.0,0.0,14924.0,20.57,0.61,0.0,0.0,32.28,32.28,1115447.0,30528228.59,0.0,43.26,32.22,13.54,0.1609,29.37,0.4673,38.25
2006-07-11,837218.0,22428262.1,4.43,14.98,1.86,32.25,1.0,8879493.46,599486.0,331460.0,16059651.29,0.0,0.0,77087.0,0.0,0.0,0.0,0.0,0.44,0.0,9336.0,0.0,0.0,0.0,77087.0,0.0,0.0,58.0,22.89,0.03,0.0,0.0,36.24,36.24,1054672.0,28253644.86,0.0,40.43,36.15,12.22,0.1914,36.07,0.5061,37.44
2006-07-12,851648.0,22827015.28,4.5,15.33,1.89,32.33,1.0,9424645.82,592994.0,351622.0,15894222.85,0.0,0.0,57.0,0.76,0.0,0.0,0.0,0.31,20260.0,6549.0,0.0,0.0,0.76,57.0,0.0,0.0,98.0,22.3,0.03,0.0,0.0,36.27,36.27,1042054.0,27930533.01,0.0,39.35,36.17,11.93,0.1826,35.01,0.5209,37.46
2006-07-13,860429.0,22797644.5,4.55,13.7,1.91,32.58,1.0,9171370.86,607434.0,346146.0,16094371.98,0.0,0.0,16512.0,0.0,0.0,0.0,0.0,0.09,0.0,2072.0,0.0,0.0,0.0,16512.0,0.0,0.0,5476.0,22.79,0.24,0.0,0.0,38.11,38.11,986644.0,26141795.73,0.0,37.18,38.0,11.88,0.1892,36.12,0.5398,37.03
2006-07-14,866050.0,22667722.79,4.58,13.47,1.92,32.33,1.0,9148698.67,610714.0,349538.0,15984637.9,0.0,0.0,5457.0,0.05,0.0,0.0,0.0,0.19,3392.0,4857.0,0.0,0.0,0.05,5457.0,0.0,2680.0,0.0,22.52,0.0,0.0,0.0,38.27,38.27,985247.0,25787547.91,0.0,36.57,38.11,11.87,0.1887,35.96,0.5427,36.58
