DATE,ALCJ FP Equity_DX_SI_QTY,ALCJ FP Equity_DX_SHORT_INTEREST_VALUE,ALCJ FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCJ FP Equity_DX_SI_MV,ALCJ FP Equity_DX_DSS,ALCJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCJ FP Equity_DX_SUPPLY_SI_QTY,ALCJ FP Equity_DX_BROKER_SI_QTY,ALCJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCJ FP Equity_DX_BROKER_SI_MV_NEW_x,ALCJ FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALCJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCJ FP Equity_DX_BROKER_SI_MV_INC_x,ALCJ FP Equity_DX_SUPPLY_SI_MV_NEW,ALCJ FP Equity_DX_BROKER_SI_QTY_ADD,ALCJ FP Equity_DX_BROKER_SI_QTY_NEW,ALCJ FP Equity_DX_SUPPLY_SI_MV_DEC,ALCJ FP Equity_DX_BROKER_SI_QTY_INC,ALCJ FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCJ FP Equity_DX_BROKER_SI_MV_NEW_y,ALCJ FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALCJ FP Equity_DX_BROKER_SI_MV_INC_y,ALCJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCJ FP Equity_DX_BROKER_SI_MV_ADD,ALCJ FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCJ FP Equity_DX_BROKER_SI_QTY_DEC,ALCJ FP Equity_DX_SUPPLY_SI_MV,ALCJ FP Equity_DX_BROKER_SI_MV_DEC,ALCJ FP Equity_DX_SUPPLY_SI_MV_RMV,ALCJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCJ FP Equity_DX_UTILIZATION_QUANTITY,ALCJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCJ FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALCJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCJ FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCJ FP Equity_DX_BROKER_SI_CON_RATIO,ALCJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCJ FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCJ FP Equity_PX_LAST
2014-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,65364.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,8.38
2014-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,74256.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,9.52
2014-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,81900.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,10.5
2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,94380.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,12.1
2014-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,88920.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,11.4
2014-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,86736.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,11.12
2014-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,84942.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,82524.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,10.58
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,78234.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,10.03
2014-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,81666.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,10.47
