DATE,EDEN FP Equity_DX_SI_QTY,EDEN FP Equity_DX_SHORT_INTEREST_VALUE,EDEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EDEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EDEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EDEN FP Equity_DX_SI_MV,EDEN FP Equity_DX_DSS,EDEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EDEN FP Equity_DX_SUPPLY_SI_QTY,EDEN FP Equity_DX_BROKER_SI_QTY,EDEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EDEN FP Equity_DX_BROKER_SI_MV_NEW_x,EDEN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EDEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,EDEN FP Equity_DX_BROKER_SI_MV_INC_x,EDEN FP Equity_DX_SUPPLY_SI_MV_NEW,EDEN FP Equity_DX_BROKER_SI_QTY_ADD,EDEN FP Equity_DX_BROKER_SI_QTY_NEW,EDEN FP Equity_DX_SUPPLY_SI_MV_DEC,EDEN FP Equity_DX_BROKER_SI_QTY_INC,EDEN FP Equity_DX_SUPPLY_SI_QTY_DEC,EDEN FP Equity_DX_BROKER_SI_MV_NEW_y,EDEN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EDEN FP Equity_DX_BROKER_SI_MV_INC_y,EDEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,EDEN FP Equity_DX_BROKER_SI_MV_ADD,EDEN FP Equity_DX_SUPPLY_SI_QTY_ADD,EDEN FP Equity_DX_BROKER_SI_QTY_DEC,EDEN FP Equity_DX_SUPPLY_SI_MV,EDEN FP Equity_DX_BROKER_SI_MV_DEC,EDEN FP Equity_DX_SUPPLY_SI_MV_RMV,EDEN FP Equity_DX_BROKER_SI_MV_RMV,EDEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EDEN FP Equity_DX_UTILIZATION_QUANTITY,EDEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EDEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EDEN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EDEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EDEN FP Equity_DX_ACTIVE_UTILIZATION_MV,EDEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EDEN FP Equity_DX_BROKER_SI_CON_RATIO,EDEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EDEN FP Equity_DX_DEMAND_SUPPLY_RATIO,EDEN FP Equity_PX_LAST
2010-07-02,9530562.0,111522000.15,4.22,0.0,4.22,115.06,1.0,44324315.2,6059649.0,3787913.0,70907064.73,0.0,0.0,0.0,0.0,0.0,3787913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.52,6059649.0,0.0,84.93,0.0,0.0,0.0,94.2,37.97,373142.0,4366326.16,0.0,133.76,38.84,12.67,0.0868,13.84,0.5972,14.8
2010-07-05,13957262.0,150189191.62,6.18,25.68,6.18,183.72,2.0,79393195.14,8089492.0,7378105.0,87048180.66,0.0,25700.0,0.0,2.11,0.38,3511312.0,0.0,0.16,238880.0,11481.0,0.0,25700.0,2.11,0.0,50.08,2015624.0,160000.0,116.64,0.88,0.0,0.0,85.52,37.87,1369193.0,14733404.72,0.0,19.89,85.43,9.58,0.0882,20.15,0.6534,13.61
2010-07-06,20480122.0,224265586.53,9.07,26.95,9.07,264.87,2.0,140276752.17,12787819.0,12810191.0,140031769.75,0.0,0.0,145813.0,25.3,0.0,3746048.0,0.0,2.3,1946875.0,106020.0,0.0,0.0,25.3,145813.0,44.26,4658534.0,260837.0,173.92,4.3,0.0,0.0,82.0,42.15,2806869.0,30736346.33,0.0,39.35,81.55,9.91,0.073,15.72,0.675,13.85
2010-07-07,26967696.0,298505407.64,11.94,33.39,11.94,363.93,3.0,207504685.09,14154321.0,18746472.0,156674168.97,0.0,0.0,979495.0,16.22,0.0,5585504.0,0.0,38.72,1182943.0,2748303.0,0.0,0.0,16.22,979495.0,77.36,3261945.0,832166.0,196.26,7.52,1.71,0.0,78.13,44.46,3963045.0,43866942.26,126635.0,55.61,77.92,11.48,0.1106,26.71,0.847,14.0
2010-07-08,24235164.0,263468673.38,10.73,28.18,10.73,335.15,3.0,172977281.74,15644463.0,15911314.0,170076254.17,0.0,0.0,280545.0,4.33,0.0,0.0,0.0,27.94,318535.0,2030840.0,0.0,0.0,4.33,280545.0,0.0,3240437.0,3153693.0,217.87,33.98,0.0,0.0,63.66,43.25,8929455.0,97075128.64,0.0,123.29,63.86,12.3,0.1077,25.28,0.67,13.75
2010-07-09,22805034.0,250986454.07,10.1,25.55,10.1,315.41,3.0,169273057.47,13229680.0,15380423.0,145602522.3,0.0,0.0,135748.0,13.49,0.0,141603.0,0.0,54.93,890074.0,3899664.0,0.0,0.0,13.49,135748.0,2.06,1349133.0,1562568.0,182.49,21.32,0.0,0.0,48.07,33.62,14292724.0,157302116.53,0.0,197.85,47.98,12.47,0.1277,29.74,0.5795,13.92
2010-07-12,15381326.0,170012663.74,6.81,16.81,6.81,214.96,2.0,104763991.03,12338467.0,9478171.0,136379375.95,0.0,0.0,599436.0,1.72,0.0,0.0,0.0,27.76,146373.0,2030938.0,0.0,0.0,1.72,599436.0,0.0,540289.0,6048625.0,172.25,82.67,0.0,0.0,45.73,31.35,14643205.0,161854074.72,0.0,204.51,45.72,12.62,0.0945,19.48,0.3909,13.98
2010-07-13,13748314.0,151310477.34,6.09,14.54,6.09,191.4,2.0,90948891.92,11134780.0,8263763.0,122546581.12,0.0,0.0,480798.0,6.2,0.0,0.0,0.0,25.41,424521.0,1809824.0,0.0,0.0,6.2,480798.0,0.0,125339.0,1638929.0,154.46,23.26,0.0,0.0,27.83,27.83,28869112.0,317726167.52,0.0,400.98,27.81,13.61,0.0945,20.85,0.3437,13.92
2010-07-14,12854968.0,141275262.75,5.69,13.29,5.69,179.55,2.0,96386510.58,9347435.0,8770435.0,102727703.07,0.0,0.0,129193.0,28.96,0.0,0.0,0.0,31.07,2068100.0,2243412.0,0.0,0.0,28.96,129193.0,0.0,326874.0,1561428.0,129.8,21.44,0.0,0.0,23.69,23.69,30110608.0,330913624.75,0.0,417.89,23.7,8.94,0.1517,34.68,0.3258,13.9
2010-07-15,12060265.0,130968193.75,5.34,12.28,5.34,167.43,2.0,90053510.51,9527588.0,8292618.0,103464641.21,0.0,156999.0,291029.0,0.18,2.93,328711.0,0.0,5.07,13527.0,360900.0,0.0,156999.0,0.18,291029.0,4.58,100390.0,820055.0,131.72,11.86,0.1,0.0,24.03,24.03,30121616.0,327105054.52,7365.0,414.02,24.14,7.47,0.1603,36.16,0.3042,13.735
