DATE,ALBON FP Equity_DX_SI_QTY,ALBON FP Equity_DX_SHORT_INTEREST_VALUE,ALBON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBON FP Equity_DX_SI_MV,ALBON FP Equity_DX_DSS,ALBON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBON FP Equity_DX_SUPPLY_SI_QTY,ALBON FP Equity_DX_BROKER_SI_QTY,ALBON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBON FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBON FP Equity_DX_BROKER_SI_MV_INC_x,ALBON FP Equity_DX_BROKER_SI_QTY_ADD,ALBON FP Equity_DX_SUPPLY_SI_MV_DEC,ALBON FP Equity_DX_BROKER_SI_QTY_INC,ALBON FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBON FP Equity_DX_BROKER_SI_MV_INC_y,ALBON FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBON FP Equity_DX_BROKER_SI_MV_ADD,ALBON FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBON FP Equity_DX_BROKER_SI_QTY_DEC,ALBON FP Equity_DX_SUPPLY_SI_MV,ALBON FP Equity_DX_BROKER_SI_MV_DEC,ALBON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBON FP Equity_DX_UTILIZATION_QUANTITY,ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBON FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBON FP Equity_DX_BROKER_SI_CON_RATIO,ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBON FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBON FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2491.0,191193.53,0.25,0.0,0.0,0.0,0.0,0.0,103.6
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498.0,194321.77,0.26,0.0,0.0,0.0,0.0,0.0,105.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,194351.1,0.26,0.0,0.0,0.0,0.0,0.0,105.1
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.0,192733.28,0.26,0.0,0.0,0.0,0.0,0.0,104.1
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,192439.97,0.26,0.0,0.0,0.0,0.0,0.0,103.9
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,194166.18,0.26,0.0,0.0,0.0,0.0,0.0,105.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.0,194399.56,0.26,0.0,0.0,0.0,0.0,0.0,105.0
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,193504.0,0.26,0.0,0.0,0.0,0.0,0.0,104.6
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498.0,193766.56,0.26,0.0,0.0,0.0,0.0,0.0,104.7
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.0,192918.42,0.26,0.0,0.0,0.0,0.0,0.0,104.2
