DATE,EGOV FP Equity_DX_SI_QTY,EGOV FP Equity_DX_SHORT_INTEREST_VALUE,EGOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EGOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EGOV FP Equity_DX_SI_MV,EGOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EGOV FP Equity_DX_SUPPLY_SI_QTY,EGOV FP Equity_DX_BROKER_SI_QTY,EGOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EGOV FP Equity_DX_BROKER_SI_MV_NEW_x,EGOV FP Equity_DX_SUPPLY_SI_QTY_INC_x,EGOV FP Equity_DX_BROKER_SI_MV_INC_x,EGOV FP Equity_DX_BROKER_SI_QTY_ADD,EGOV FP Equity_DX_BROKER_SI_QTY_NEW,EGOV FP Equity_DX_SUPPLY_SI_MV_DEC,EGOV FP Equity_DX_BROKER_SI_QTY_INC,EGOV FP Equity_DX_SUPPLY_SI_QTY_DEC,EGOV FP Equity_DX_BROKER_SI_MV_NEW_y,EGOV FP Equity_DX_BROKER_SI_MV_INC_y,EGOV FP Equity_DX_SUPPLY_SI_QTY_INC_y,EGOV FP Equity_DX_BROKER_SI_MV_ADD,EGOV FP Equity_DX_SUPPLY_SI_QTY_ADD,EGOV FP Equity_DX_BROKER_SI_QTY_DEC,EGOV FP Equity_DX_SUPPLY_SI_MV,EGOV FP Equity_DX_BROKER_SI_MV_DEC,EGOV FP Equity_DX_BROKER_SI_MV_RMV,EGOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EGOV FP Equity_DX_UTILIZATION_QUANTITY,EGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EGOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EGOV FP Equity_DX_ACTIVE_UTILIZATION_MV,EGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EGOV FP Equity_DX_BROKER_SI_CON_RATIO,EGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EGOV FP Equity_DX_DEMAND_SUPPLY_RATIO,EGOV FP Equity_PX_LAST
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9914
2017-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.762
2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6292
2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6467
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5853
2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7558
2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7845
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6954
2017-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.756
2017-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.814
