DATE,STR FP Equity_DX_SI_QTY,STR FP Equity_DX_SHORT_INTEREST_VALUE,STR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STR FP Equity_DX_SI_MV,STR FP Equity_DX_DSS,STR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STR FP Equity_DX_SUPPLY_SI_QTY,STR FP Equity_DX_BROKER_SI_QTY,STR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STR FP Equity_DX_BROKER_SI_MV_NEW_x,STR FP Equity_DX_SUPPLY_SI_QTY_INC_x,STR FP Equity_DX_BROKER_SI_MV_INC_x,STR FP Equity_DX_BROKER_SI_QTY_ADD,STR FP Equity_DX_BROKER_SI_QTY_NEW,STR FP Equity_DX_SUPPLY_SI_MV_DEC,STR FP Equity_DX_BROKER_SI_QTY_INC,STR FP Equity_DX_SUPPLY_SI_QTY_DEC,STR FP Equity_DX_BROKER_SI_MV_NEW_y,STR FP Equity_DX_BROKER_SI_MV_INC_y,STR FP Equity_DX_SUPPLY_SI_QTY_INC_y,STR FP Equity_DX_BROKER_SI_MV_ADD,STR FP Equity_DX_SUPPLY_SI_QTY_ADD,STR FP Equity_DX_BROKER_SI_QTY_DEC,STR FP Equity_DX_SUPPLY_SI_MV,STR FP Equity_DX_BROKER_SI_MV_DEC,STR FP Equity_DX_BROKER_SI_MV_RMV,STR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STR FP Equity_DX_UTILIZATION_QUANTITY,STR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STR FP Equity_DX_ACTIVE_UTILIZATION_MV,STR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STR FP Equity_DX_BROKER_SI_CON_RATIO,STR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STR FP Equity_DX_DEMAND_SUPPLY_RATIO,STR FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7288.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7338.0,0.01,0.0,0.0,0.0,0.0,0.0,48.92
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7330.5,0.01,0.0,0.0,0.0,0.0,0.0,48.87
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7276.5,0.01,0.0,0.0,0.0,0.0,0.0,48.51
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7276.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7258.5,0.01,0.0,0.0,0.0,0.0,0.0,48.39
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7210.5,0.01,0.0,0.0,0.0,0.0,0.0,48.07
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7272.0,0.01,0.0,0.0,0.0,0.0,0.0,48.48
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7143.0,0.01,0.0,0.0,0.0,0.0,0.0,47.62
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7143.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7002.0,0.01,0.0,0.0,0.0,0.0,0.0,46.68
2006-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7002.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7093.5,0.01,0.0,0.0,0.0,0.0,0.0,47.29
