DATE,AHYE FP Equity_DX_SI_QTY,AHYE FP Equity_DX_SHORT_INTEREST_VALUE,AHYE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AHYE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AHYE FP Equity_DX_SI_MV,AHYE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AHYE FP Equity_DX_SUPPLY_SI_QTY,AHYE FP Equity_DX_BROKER_SI_QTY,AHYE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AHYE FP Equity_DX_BROKER_SI_MV_NEW_x,AHYE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AHYE FP Equity_DX_SUPPLY_SI_QTY_INC_x,AHYE FP Equity_DX_BROKER_SI_MV_INC_x,AHYE FP Equity_DX_SUPPLY_SI_MV_NEW,AHYE FP Equity_DX_BROKER_SI_QTY_ADD,AHYE FP Equity_DX_BROKER_SI_QTY_NEW,AHYE FP Equity_DX_SUPPLY_SI_MV_DEC,AHYE FP Equity_DX_BROKER_SI_QTY_INC,AHYE FP Equity_DX_SUPPLY_SI_QTY_DEC,AHYE FP Equity_DX_BROKER_SI_MV_NEW_y,AHYE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AHYE FP Equity_DX_BROKER_SI_MV_INC_y,AHYE FP Equity_DX_SUPPLY_SI_QTY_INC_y,AHYE FP Equity_DX_BROKER_SI_MV_ADD,AHYE FP Equity_DX_SUPPLY_SI_QTY_ADD,AHYE FP Equity_DX_BROKER_SI_QTY_DEC,AHYE FP Equity_DX_SUPPLY_SI_MV,AHYE FP Equity_DX_BROKER_SI_MV_DEC,AHYE FP Equity_DX_SUPPLY_SI_MV_RMV,AHYE FP Equity_DX_BROKER_SI_MV_RMV,AHYE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AHYE FP Equity_DX_UTILIZATION_QUANTITY,AHYE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AHYE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AHYE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AHYE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AHYE FP Equity_DX_ACTIVE_UTILIZATION_MV,AHYE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AHYE FP Equity_DX_BROKER_SI_CON_RATIO,AHYE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AHYE FP Equity_DX_DEMAND_SUPPLY_RATIO,AHYE FP Equity_PX_LAST
2013-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.03
2013-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.23
2013-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.31
2013-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.28
2013-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.5
2013-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.59
2013-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.73
2013-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.24
2013-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.18
2013-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.15
