DATE,BRES FP Equity_DX_DSS,BRES FP Equity_PX_LAST
2006-08-30,0.0,49.73
2006-08-31,0.0,49.63
2006-09-01,0.0,50.46
2006-09-04,0.0,51.34
2006-09-05,0.0,51.47
2006-09-06,0.0,50.36
2006-09-07,0.0,49.1
2006-09-08,0.0,48.91
2006-09-11,0.0,46.8
2006-09-12,0.0,47.43
2006-09-13,0.0,47.35
2006-09-14,0.0,47.77
2006-09-15,0.0,46.85
2006-09-18,0.0,47.57
2006-09-19,0.0,47.02
2006-09-20,0.0,47.23
2006-09-21,0.0,47.69
2006-09-22,0.0,46.8
2006-09-25,0.0,45.03
2006-09-26,0.0,46.65
2006-09-27,0.0,47.72
2006-09-28,0.0,48.26
2006-09-29,0.0,48.25
2006-10-03,0.0,47.66
2006-10-04,0.0,47.18
2006-10-05,0.0,48.18
2006-10-06,0.0,48.46
2006-10-09,0.0,49.65
2006-10-10,0.0,50.29
2006-10-12,0.0,51.17
2006-10-13,0.0,52.18
2006-10-16,0.0,52.96
2006-10-17,0.0,51.81
2006-10-18,0.0,53.03
2006-10-19,0.0,53.58
2006-10-20,0.0,53.72
2006-10-23,0.0,53.85
2006-10-24,0.0,53.92
2006-10-25,0.0,54.7
2006-10-26,0.0,54.16
2006-10-27,0.0,54.41
2006-10-30,0.0,53.72
2006-10-31,0.0,54.2
2006-11-02,0.0,54.75
2006-11-03,0.0,54.69
2006-11-06,0.0,55.82
2006-11-07,0.0,55.91
2006-11-08,0.0,55.52
2006-11-09,0.0,55.4
2006-11-10,0.0,54.99
2006-11-13,0.0,53.7
2006-11-14,0.0,53.48
2006-11-15,0.0,53.24
2006-11-16,0.0,53.77
2006-11-17,0.0,52.24
2006-11-20,0.0,53.31
2006-11-21,0.0,53.21
2006-11-22,0.0,53.38
2006-11-23,0.0,53.51
2006-11-24,0.0,53.04
2006-11-27,0.0,52.41
2006-11-28,0.0,51.79
2006-11-29,0.0,52.79
2006-11-30,0.0,53.17
2006-12-01,0.0,53.57
2006-12-04,0.0,53.46
2006-12-05,0.0,54.53
2006-12-06,0.0,54.53
2006-12-07,0.0,54.39
2006-12-08,0.0,53.63
2006-12-11,0.0,54.05
2006-12-12,0.0,53.74
2006-12-13,0.0,54.06
2006-12-14,0.0,55.26
2006-12-15,0.0,55.7
2006-12-18,0.0,55.55
2006-12-20,0.0,54.66
2006-12-21,0.0,54.68
2006-12-22,0.0,53.77
2006-12-27,0.0,54.44
2006-12-28,0.0,55.03
2006-12-29,0.0,54.82
2007-01-02,0.0,55.86
2007-01-03,0.0,53.85
2007-01-04,0.0,52.11
2007-01-05,0.0,51.47
2007-01-08,0.0,51.95
2007-01-09,0.0,52.81
2007-01-10,0.0,51.96
2007-01-11,0.0,54.02
2007-01-12,0.0,53.81
2007-01-15,0.0,54.3
2007-01-16,0.0,53.38
2007-01-17,0.0,52.8
2007-01-18,0.0,53.16
2007-01-19,0.0,53.52
2007-01-22,0.0,53.77
2007-01-23,0.0,54.67
2007-01-24,0.0,55.88
2007-01-25,0.0,56.0
2007-01-26,0.0,54.78
2007-01-29,0.0,54.74
2007-01-30,0.0,55.38
2007-01-31,0.0,55.28
2007-02-01,0.0,56.4
2007-02-02,0.0,55.87
2007-02-05,0.0,56.11
2007-02-06,0.0,56.09
2007-02-07,0.0,57.2
2007-02-08,0.0,56.28
2007-02-09,0.0,56.54
2007-02-12,0.0,56.28
2007-02-13,0.0,56.87
2007-02-14,0.0,58.27
2007-02-15,0.0,58.28
2007-02-16,0.0,58.25
2007-02-19,0.0,58.87
2007-02-20,0.0,58.55
2007-02-21,0.0,57.98
2007-02-22,0.0,59.08
2007-02-23,0.0,59.79
2007-02-26,0.0,60.49
2007-02-27,0.0,57.17
2007-02-28,0.0,56.16
2007-03-01,0.0,55.52
2007-03-02,0.0,55.41
2007-03-05,0.0,54.32
2007-03-06,0.0,55.52
2007-03-07,0.0,55.87
2007-03-08,0.0,56.66
2007-03-09,0.0,56.6
2007-03-12,0.0,56.79
2007-03-13,0.0,56.28
2007-03-14,0.0,54.22
2007-03-15,0.0,55.91
2007-03-16,0.0,56.19
2007-03-19,0.0,57.14
2007-03-20,0.0,57.56
2007-03-21,0.0,58.55
2007-03-22,0.0,59.31
2007-03-23,0.0,59.59
2007-03-26,0.0,59.35
2007-03-27,0.0,59.46
2007-03-28,0.0,58.63
2007-03-29,0.0,59.76
2007-03-30,0.0,60.07
2007-04-02,0.0,60.22
2007-04-03,0.0,61.43
2007-04-04,0.0,61.56
2007-04-05,0.0,61.56
2007-04-10,0.0,62.38
2007-04-11,0.0,62.22
2007-04-12,0.0,61.77
2007-04-13,0.0,61.83
2007-04-16,0.0,62.47
2007-04-17,0.0,62.87
2007-04-18,0.0,61.57
2007-04-19,0.0,60.84
2007-04-20,0.0,62.02
2007-04-23,0.0,62.01
2007-04-24,0.0,60.97
2007-04-25,0.0,61.52
2007-04-26,0.0,61.08
2007-04-27,0.0,60.74
2007-04-30,0.0,60.89
2007-05-02,0.0,61.54
2007-05-03,0.0,61.95
2007-05-04,0.0,64.32
2007-05-07,0.0,64.94
2007-05-08,0.0,63.57
2007-05-09,0.0,67.27
2007-05-10,0.0,64.43
2007-05-11,0.0,65.93
2007-05-14,0.0,64.09
2007-05-15,0.0,64.42
2007-05-16,0.0,64.64
2007-05-17,0.0,64.01
2007-05-18,0.0,64.87
2007-05-21,0.0,66.34
2007-05-22,0.0,66.09
2007-05-23,0.0,67.02
2007-05-24,0.0,66.05
2007-05-25,0.0,66.49
2007-05-28,0.0,66.53
2007-05-29,0.0,66.53
2007-05-30,0.0,66.15
2007-05-31,0.0,67.96
2007-06-01,0.0,69.34
2007-06-04,0.0,69.48
2007-06-05,0.0,69.47
2007-06-06,0.0,67.8
2007-06-07,0.0,66.52
2007-06-08,0.0,66.75
2007-06-11,0.0,67.97
2007-06-12,0.0,67.79
2007-06-13,0.0,69.9
2007-06-14,0.0,70.91
2007-06-15,0.0,72.09
2007-06-18,0.0,72.28
2007-06-19,0.0,72.06
2007-06-20,0.0,72.17
2007-06-21,0.0,71.92
2007-06-22,0.0,71.35
2007-06-25,0.0,70.75
2007-06-26,0.0,70.3
2007-06-27,0.0,68.62
2007-06-28,0.0,70.0
2007-06-29,0.0,70.25
2007-07-02,0.0,72.04
2007-07-03,0.0,72.28
2007-07-04,0.0,72.49
2007-07-05,0.0,72.9
2007-07-06,0.0,73.98
2007-07-09,0.0,75.44
2007-07-10,0.0,73.29
2007-07-11,0.0,74.06
2007-07-12,0.0,75.03
2007-07-13,0.0,74.42
2007-07-16,0.0,73.82
2007-07-17,0.0,73.0
2007-07-18,0.0,72.1
2007-07-19,0.0,73.32
2007-07-20,0.0,73.27
2007-07-23,0.0,74.43
2007-07-24,0.0,72.95
2007-07-25,0.0,71.25
2007-07-26,0.0,68.5
2007-07-27,0.0,67.0
2007-07-30,0.0,67.56
2007-07-31,0.0,69.61
2007-08-01,0.0,67.82
2007-08-02,0.0,67.23
2007-08-03,0.0,66.22
2007-08-06,0.0,64.24
2007-08-07,0.0,64.84
2007-08-08,0.0,66.46
2007-08-09,0.0,64.51
2007-08-10,0.0,61.4
2007-08-13,0.0,64.47
2007-08-14,0.0,64.91
2007-08-15,0.0,62.68
2007-08-16,0.0,58.66
2007-08-17,0.0,60.11
2007-08-20,0.0,61.09
2007-08-21,0.0,61.46
2007-08-22,0.0,64.72
2007-08-23,0.0,64.72
2007-08-24,0.0,65.99
2007-08-27,0.0,66.1
2007-08-28,0.0,64.61
2007-08-29,0.0,65.2
2007-08-30,0.0,66.5
2007-08-31,0.0,67.75
2007-09-03,0.0,68.2
2007-09-04,0.0,68.7
2007-09-05,0.0,67.85
2007-09-06,0.0,69.19
2007-09-07,0.0,67.29
2007-09-10,0.0,64.5
2007-09-11,0.0,66.3
2007-09-12,0.0,66.03
2007-09-13,0.0,67.73
2007-09-14,0.0,66.21
2007-09-17,0.0,66.21
2007-09-18,0.0,67.32
2007-09-19,0.0,71.5
2007-09-20,0.0,71.59
2007-09-21,0.0,72.8
2007-09-24,0.0,75.17
2007-09-25,0.0,73.68
2007-09-26,0.0,73.51
2007-09-27,0.0,74.25
2007-09-28,0.0,74.71
2007-10-01,0.0,76.73
2007-10-02,0.0,75.01
2007-10-03,0.0,75.49
2007-10-04,0.0,74.3
2007-10-05,0.0,75.67
2007-10-08,0.0,74.56
2007-10-09,0.0,74.78
2007-10-10,0.0,76.5
2007-10-11,0.0,78.87
2007-10-12,0.0,78.05
2007-10-15,0.0,77.09
2007-10-16,0.0,75.98
2007-10-17,0.0,75.72
2007-10-18,0.0,75.52
2007-10-19,0.0,74.85
2007-10-22,0.0,71.32
2007-10-23,0.0,74.04
2007-10-24,0.0,72.26
2007-10-25,0.0,73.96
2007-10-26,0.0,74.8
2007-10-29,0.0,77.0
2007-10-30,0.0,75.43
2007-10-31,0.0,76.23
2007-11-01,0.0,74.62
2007-11-02,0.0,73.28
2007-11-05,0.0,71.64
2007-11-06,0.0,73.35
2007-11-07,0.0,72.62
2007-11-08,0.0,77.7
2007-11-09,0.0,77.0
2007-11-12,0.0,74.3
2007-11-13,0.0,73.18
2007-11-14,0.0,73.54
2007-11-15,0.0,72.11
2007-11-16,0.0,71.45
2007-11-19,0.0,67.09
2007-11-20,0.0,69.41
2007-11-21,0.0,65.55
2007-11-22,0.0,65.0
2007-11-23,0.0,68.45
2007-11-26,0.0,68.55
2007-11-27,0.0,66.36
2007-11-28,0.0,68.14
2007-11-29,0.0,71.29
2007-11-30,0.0,74.22
2007-12-03,0.0,72.45
2007-12-04,0.0,70.5
2007-12-05,0.0,72.83
2007-12-06,0.0,72.18
2007-12-07,0.0,74.9
2007-12-10,0.0,75.58
2007-12-11,0.0,74.75
2007-12-12,0.0,74.39
2007-12-13,0.0,71.5
2007-12-14,0.0,70.47
2007-12-17,0.0,68.26
2007-12-18,0.0,68.5
2007-12-19,0.0,68.69
2007-12-20,0.0,67.65
2007-12-21,0.0,69.75
2007-12-27,0.0,70.6
2007-12-28,0.0,70.47
2008-01-02,0.0,68.41
2008-01-03,0.0,69.76
2008-01-04,0.0,67.5
2008-01-07,0.0,65.3
2008-01-08,0.0,66.6
2008-01-09,0.0,64.51
2008-01-10,0.0,64.33
2008-01-11,0.0,64.27
2008-01-14,0.0,65.38
2008-01-15,0.0,63.45
2008-01-16,0.0,60.43
2008-01-17,0.0,59.69
2008-01-18,0.0,60.34
2008-01-21,0.0,56.16
2008-01-22,0.0,57.14
2008-01-23,0.0,56.23
2008-01-24,0.0,59.55
2008-01-25,0.0,61.24
2008-01-28,0.0,59.41
2008-01-29,0.0,61.88
2008-01-30,0.0,62.79
2008-01-31,0.0,62.36
2008-02-01,0.0,68.13
2008-02-04,0.0,68.53
2008-02-05,0.0,66.82
2008-02-06,0.0,66.73
2008-02-07,0.0,64.77
2008-02-08,0.0,66.21
2008-02-11,0.0,66.09
2008-02-12,0.0,68.94
2008-02-13,0.0,67.91
2008-02-14,0.0,70.0
2008-02-15,0.0,69.0
2008-02-18,0.0,69.66
2008-02-19,0.0,70.83
2008-02-20,0.0,69.64
2008-02-21,0.0,72.35
2008-02-22,0.0,71.75
2008-02-25,0.0,71.84
2008-02-26,0.0,72.36
2008-02-27,0.0,73.29
2008-02-28,0.0,71.77
2008-02-29,0.0,70.79
2008-03-03,0.0,70.84
2008-03-04,0.0,71.36
2008-03-05,0.0,72.77
2008-03-06,0.0,72.97
2008-03-07,0.0,70.56
2008-03-10,0.0,67.17
2008-03-11,0.0,67.2
2008-03-12,0.0,69.08
2008-03-14,0.0,69.72
2008-03-17,0.0,65.06
2008-03-18,0.0,65.8
2008-03-19,0.0,63.98
2008-03-20,0.0,61.44
2008-03-25,0.0,63.8
2008-03-26,0.0,63.88
2008-03-27,0.0,65.96
