DATE,OSE FP Equity_DX_SI_QTY,OSE FP Equity_DX_SHORT_INTEREST_VALUE,OSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,OSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,OSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,OSE FP Equity_DX_SI_MV,OSE FP Equity_DX_DSS,OSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,OSE FP Equity_DX_SUPPLY_SI_QTY,OSE FP Equity_DX_BROKER_SI_QTY,OSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,OSE FP Equity_DX_BROKER_SI_MV_NEW_x,OSE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,OSE FP Equity_DX_SUPPLY_SI_QTY_INC_x,OSE FP Equity_DX_BROKER_SI_MV_INC_x,OSE FP Equity_DX_SUPPLY_SI_MV_NEW,OSE FP Equity_DX_BROKER_SI_QTY_ADD,OSE FP Equity_DX_BROKER_SI_QTY_NEW,OSE FP Equity_DX_SUPPLY_SI_MV_DEC,OSE FP Equity_DX_BROKER_SI_QTY_INC,OSE FP Equity_DX_SUPPLY_SI_QTY_DEC,OSE FP Equity_DX_BROKER_SI_MV_NEW_y,OSE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,OSE FP Equity_DX_BROKER_SI_MV_INC_y,OSE FP Equity_DX_SUPPLY_SI_QTY_INC_y,OSE FP Equity_DX_BROKER_SI_MV_ADD,OSE FP Equity_DX_SUPPLY_SI_QTY_ADD,OSE FP Equity_DX_BROKER_SI_QTY_DEC,OSE FP Equity_DX_SUPPLY_SI_MV,OSE FP Equity_DX_BROKER_SI_MV_DEC,OSE FP Equity_DX_SUPPLY_SI_MV_RMV,OSE FP Equity_DX_BROKER_SI_MV_RMV,OSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,OSE FP Equity_DX_UTILIZATION_QUANTITY,OSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,OSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,OSE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,OSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,OSE FP Equity_DX_ACTIVE_UTILIZATION_MV,OSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,OSE FP Equity_DX_BROKER_SI_CON_RATIO,OSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,OSE FP Equity_DX_DEMAND_SUPPLY_RATIO,OSE FP Equity_PX_LAST
2015-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55
2015-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5
2015-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.12
2015-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
2015-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3
2015-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49
2015-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76
2015-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36
