DATE,CM9 FP Equity_DX_SI_QTY,CM9 FP Equity_DX_SHORT_INTEREST_VALUE,CM9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CM9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CM9 FP Equity_DX_SI_MV,CM9 FP Equity_DX_DSS,CM9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CM9 FP Equity_DX_SUPPLY_SI_QTY,CM9 FP Equity_DX_BROKER_SI_QTY,CM9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CM9 FP Equity_DX_BROKER_SI_MV_NEW_x,CM9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CM9 FP Equity_DX_BROKER_SI_MV_INC_x,CM9 FP Equity_DX_BROKER_SI_QTY_ADD,CM9 FP Equity_DX_BROKER_SI_QTY_NEW,CM9 FP Equity_DX_SUPPLY_SI_MV_DEC,CM9 FP Equity_DX_BROKER_SI_QTY_INC,CM9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CM9 FP Equity_DX_BROKER_SI_MV_NEW_y,CM9 FP Equity_DX_BROKER_SI_MV_INC_y,CM9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CM9 FP Equity_DX_BROKER_SI_MV_ADD,CM9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CM9 FP Equity_DX_BROKER_SI_QTY_DEC,CM9 FP Equity_DX_SUPPLY_SI_MV,CM9 FP Equity_DX_BROKER_SI_MV_DEC,CM9 FP Equity_DX_SUPPLY_SI_MV_RMV,CM9 FP Equity_DX_BROKER_SI_MV_RMV,CM9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CM9 FP Equity_DX_UTILIZATION_QUANTITY,CM9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CM9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CM9 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CM9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CM9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CM9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CM9 FP Equity_DX_BROKER_SI_CON_RATIO,CM9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CM9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CM9 FP Equity_PX_LAST
2009-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87
2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.96
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81
2009-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.21
2009-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.04
2009-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.68
2009-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.15
2009-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.42
2009-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49
2009-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
