DATE,AYV FP Equity_DX_SI_QTY,AYV FP Equity_DX_SHORT_INTEREST_VALUE,AYV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AYV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AYV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AYV FP Equity_DX_SI_MV,AYV FP Equity_DX_DSS,AYV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AYV FP Equity_DX_SUPPLY_SI_QTY,AYV FP Equity_DX_BROKER_SI_QTY,AYV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AYV FP Equity_DX_BROKER_SI_MV_NEW_x,AYV FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AYV FP Equity_DX_SUPPLY_SI_QTY_INC_x,AYV FP Equity_DX_BROKER_SI_MV_INC_x,AYV FP Equity_DX_SUPPLY_SI_MV_NEW,AYV FP Equity_DX_BROKER_SI_QTY_ADD,AYV FP Equity_DX_BROKER_SI_QTY_NEW,AYV FP Equity_DX_SUPPLY_SI_MV_DEC,AYV FP Equity_DX_BROKER_SI_QTY_INC,AYV FP Equity_DX_SUPPLY_SI_QTY_DEC,AYV FP Equity_DX_BROKER_SI_MV_NEW_y,AYV FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AYV FP Equity_DX_BROKER_SI_MV_INC_y,AYV FP Equity_DX_SUPPLY_SI_QTY_INC_y,AYV FP Equity_DX_BROKER_SI_MV_ADD,AYV FP Equity_DX_SUPPLY_SI_QTY_ADD,AYV FP Equity_DX_BROKER_SI_QTY_DEC,AYV FP Equity_DX_SUPPLY_SI_MV,AYV FP Equity_DX_BROKER_SI_MV_DEC,AYV FP Equity_DX_SUPPLY_SI_MV_RMV,AYV FP Equity_DX_BROKER_SI_MV_RMV,AYV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AYV FP Equity_DX_UTILIZATION_QUANTITY,AYV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AYV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AYV FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AYV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AYV FP Equity_DX_ACTIVE_UTILIZATION_MV,AYV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AYV FP Equity_DX_BROKER_SI_CON_RATIO,AYV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AYV FP Equity_DX_DEMAND_SUPPLY_RATIO,AYV FP Equity_PX_LAST
2017-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.0,45431.1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,14.3
2017-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654783.0,9363396.9,0.0,9.36,0.0,0.0,0.0,0.0,0.0,14.3
2017-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826374.0,11825411.94,0.0,11.82,0.0,0.0,0.0,0.0,0.0,14.31
2017-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5657493.0,79770651.3,0.0,80.94,0.0,0.0,0.0,0.0,0.0,14.1
2017-06-21,12137107.0,166278365.9,0.0,25.67,3.0,166.28,1.0,166086593.3,13998.0,12123109.0,191772.6,0.0,0.0,0.0,0.0,0.0,12123109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.09,13998.0,0.0,0.19,0.0,0.0,0.0,0.13,0.13,10854040.0,148700348.0,0.0,154.77,0.12,0.12,0.9977,99.88,1.1168,13.7
2017-06-22,13531411.0,187680670.57,0.0,22.93,3.35,187.75,1.0,186899761.83,103302.0,13475109.0,1432798.74,0.0,0.0,47000.0,0.0,0.0,1352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,18.83,42304.0,0.0,1.43,0.0,0.0,0.0,60.17,0.94,68376.0,948375.12,0.0,0.94,60.36,6.22,0.8107,89.75,1.2262,13.87
2017-06-23,13380519.0,183446915.49,0.0,21.7,3.31,183.84,1.0,181879835.07,191302.0,13266217.0,2622750.42,0.0,0.0,20000.0,0.39,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.39,20000.0,0.0,68000.0,238892.0,2.64,3.14,0.0,0.0,35.47,1.6,348047.0,4771724.37,0.0,4.81,35.45,4.64,0.8246,90.61,1.1165,13.71
2017-06-26,14625133.0,200364322.1,0.0,23.06,3.62,200.42,1.0,199158722.1,689916.0,14537133.0,9451849.2,0.0,0.0,25500.0,13.68,0.0,310000.0,0.0,0.37,1024916.0,26886.0,0.0,0.0,13.68,25500.0,4.25,500000.0,64000.0,9.47,0.97,0.0,0.0,33.88,5.76,1346547.0,18447693.9,0.0,18.49,33.88,6.66,0.754,86.47,1.2205,13.7
2017-06-27,14725133.0,199525552.15,0.0,22.68,3.64,199.68,1.0,198333152.15,689916.0,14637133.0,9348361.8,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,9.35,0.0,0.0,0.0,33.86,4.83,1347436.0,18257757.8,0.0,18.24,33.89,7.28,0.744,85.83,1.0316,13.55
2017-06-28,14882133.0,200908795.5,0.0,22.48,3.68,201.12,1.0,200503795.5,796916.0,14852133.0,10758366.0,0.0,0.0,0.0,0.34,0.0,190000.0,0.0,0.79,25000.0,58000.0,0.0,0.0,0.34,0.0,2.71,165000.0,0.0,10.75,0.0,0.0,0.0,26.34,5.49,2228651.0,30086788.5,0.0,30.03,26.37,7.21,0.7282,84.9,1.0247,13.5
