DATE,VU FP Equity_DX_SI_QTY,VU FP Equity_DX_SHORT_INTEREST_VALUE,VU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VU FP Equity_DX_SI_MV,VU FP Equity_DX_DSS,VU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VU FP Equity_DX_SUPPLY_SI_QTY,VU FP Equity_DX_BROKER_SI_QTY,VU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VU FP Equity_DX_BROKER_SI_MV_NEW_x,VU FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VU FP Equity_DX_SUPPLY_SI_QTY_INC_x,VU FP Equity_DX_BROKER_SI_MV_INC_x,VU FP Equity_DX_SUPPLY_SI_MV_NEW,VU FP Equity_DX_BROKER_SI_QTY_ADD,VU FP Equity_DX_BROKER_SI_QTY_NEW,VU FP Equity_DX_SUPPLY_SI_MV_DEC,VU FP Equity_DX_BROKER_SI_QTY_INC,VU FP Equity_DX_SUPPLY_SI_QTY_DEC,VU FP Equity_DX_BROKER_SI_MV_NEW_y,VU FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VU FP Equity_DX_BROKER_SI_MV_INC_y,VU FP Equity_DX_SUPPLY_SI_QTY_INC_y,VU FP Equity_DX_BROKER_SI_MV_ADD,VU FP Equity_DX_SUPPLY_SI_QTY_ADD,VU FP Equity_DX_BROKER_SI_QTY_DEC,VU FP Equity_DX_SUPPLY_SI_MV,VU FP Equity_DX_BROKER_SI_MV_DEC,VU FP Equity_DX_SUPPLY_SI_MV_RMV,VU FP Equity_DX_BROKER_SI_MV_RMV,VU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VU FP Equity_DX_UTILIZATION_QUANTITY,VU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VU FP Equity_DX_ACTIVE_UTILIZATION_MV,VU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VU FP Equity_DX_BROKER_SI_CON_RATIO,VU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VU FP Equity_DX_DEMAND_SUPPLY_RATIO,VU FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252175.0,2635801.72,0.0,2.77,0.0,0.0,0.0,0.0,0.0,10.95
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253120.0,2633598.39,0.0,2.77,0.0,0.0,0.0,0.0,0.0,10.9
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318512.0,3313972.39,0.0,3.49,0.0,0.0,0.0,0.0,0.0,10.9
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253377.0,2708830.32,0.0,2.75,0.0,0.0,0.0,0.0,0.0,11.2
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246200.0,2592150.12,0.0,2.74,0.0,0.0,0.0,0.0,0.0,11.03
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246633.0,2594354.8,0.0,2.74,0.0,0.0,0.0,0.0,0.0,11.02
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248510.0,2609354.85,0.0,2.73,0.0,0.0,0.0,0.0,0.0,11.0
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247367.0,2592630.89,0.0,2.73,0.0,0.0,0.0,0.0,0.0,10.98
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245607.0,2496818.29,0.0,2.68,0.0,0.0,0.0,0.0,0.0,10.65
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253229.0,2634732.49,0.0,2.71,0.0,0.0,0.0,0.0,0.0,10.9
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241835.0,2382294.46,0.0,2.64,0.0,0.0,0.0,0.0,0.0,10.32
2006-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251987.0,2429383.62,0.0,2.59,0.0,0.0,0.0,0.0,0.0,10.1
2006-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249087.0,2389536.74,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.05
