DATE,MC FP Equity_DX_SI_QTY,MC FP Equity_DX_SHORT_INTEREST_VALUE,MC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MC FP Equity_DX_SI_MV,MC FP Equity_DX_DSS,MC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MC FP Equity_DX_SUPPLY_SI_QTY,MC FP Equity_DX_BROKER_SI_QTY,MC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MC FP Equity_DX_BROKER_SI_MV_NEW_x,MC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MC FP Equity_DX_SUPPLY_SI_QTY_INC_x,MC FP Equity_DX_BROKER_SI_MV_INC_x,MC FP Equity_DX_SUPPLY_SI_MV_NEW,MC FP Equity_DX_BROKER_SI_QTY_ADD,MC FP Equity_DX_BROKER_SI_QTY_NEW,MC FP Equity_DX_SUPPLY_SI_MV_DEC,MC FP Equity_DX_BROKER_SI_QTY_INC,MC FP Equity_DX_SUPPLY_SI_QTY_DEC,MC FP Equity_DX_BROKER_SI_MV_NEW_y,MC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MC FP Equity_DX_BROKER_SI_MV_INC_y,MC FP Equity_DX_SUPPLY_SI_QTY_INC_y,MC FP Equity_DX_BROKER_SI_MV_ADD,MC FP Equity_DX_SUPPLY_SI_QTY_ADD,MC FP Equity_DX_BROKER_SI_QTY_DEC,MC FP Equity_DX_SUPPLY_SI_MV,MC FP Equity_DX_BROKER_SI_MV_DEC,MC FP Equity_DX_SUPPLY_SI_MV_RMV,MC FP Equity_DX_BROKER_SI_MV_RMV,MC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MC FP Equity_DX_UTILIZATION_QUANTITY,MC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MC FP Equity_DX_ACTIVE_UTILIZATION_MV,MC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MC FP Equity_DX_BROKER_SI_CON_RATIO,MC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MC FP Equity_DX_DEMAND_SUPPLY_RATIO,MC FP Equity_PX_LAST
2006-07-03,27404858.0,1674422547.35,11.56,16.88,5.59,2139.46,2.0,1029128342.25,14607457.0,16843488.0,892508013.0,0.0,0.0,91691.0,105.66,0.0,0.0,0.0,9.52,1069579.0,204448.0,0.0,0.0,105.66,91691.0,0.0,2200.0,305160.0,1134.49,16.94,0.28,0.0,33.53,33.53,28954036.0,1769076516.11,3858.0,2242.44,33.6,18.25,0.1632,32.62,0.6291,77.85
2006-07-04,27384166.0,1666710653.51,11.55,17.57,5.59,2138.85,2.0,1016450148.43,14699569.0,16700343.0,894674983.14,0.0,0.0,139147.0,4.95,0.0,0.0,0.0,3.55,58902.0,46534.0,0.0,0.0,4.95,139147.0,0.0,0.0,202047.0,1142.73,15.82,0.04,0.0,33.67,33.67,28962476.0,1762772957.96,500.0,2248.0,33.7,17.87,0.163,32.76,0.6272,77.55
2006-07-05,27141692.0,1621065134.29,11.45,18.04,5.54,2119.98,2.0,991219593.34,14240291.0,16596111.0,850515850.01,0.0,4358.0,75397.0,0.24,0.33,0.0,0.0,39.96,2770.0,539034.0,0.0,4358.0,0.24,75397.0,0.0,0.0,107002.0,1109.3,9.51,0.0,0.0,32.63,32.63,29395024.0,1755647677.67,0.0,2282.89,32.7,17.77,0.1648,33.06,0.622,76.1
2006-07-06,27141744.0,1635979511.63,11.45,18.83,5.54,2093.86,2.0,1005705498.36,14005894.0,16685173.0,844210881.44,0.0,0.0,8717.0,0.0,0.0,0.0,0.0,35.83,111362.0,328497.0,0.0,0.0,0.0,8717.0,0.0,89241.0,22300.0,1075.67,3.22,0.29,0.0,31.88,31.88,29920446.0,1803466889.78,3858.0,2301.91,31.85,17.82,0.1662,33.34,0.6179,76.8
2006-07-07,21793612.0,1305066503.98,9.19,15.37,4.45,1688.03,1.0,667574420.21,14080283.0,11147982.0,843169352.09,0.0,0.0,139018.0,0.0,0.0,0.0,0.0,9.16,0.0,120530.0,0.0,0.0,0.0,139018.0,0.0,55901.0,5537191.0,1086.23,424.88,0.0,0.0,32.09,32.09,29796916.0,1784328223.95,0.0,2298.88,32.09,18.05,0.1148,21.4,0.4967,76.3
2006-07-10,20035026.0,1217053757.49,8.45,14.37,4.09,1558.87,1.0,675874664.59,14063517.0,11126186.0,854306663.16,0.0,0.0,2071.0,5.86,0.0,0.0,0.0,0.0,33204.0,18837.0,0.0,0.0,5.86,2071.0,0.0,0.0,55000.0,1089.23,4.41,0.0,0.0,31.97,31.97,29927588.0,1817990324.95,0.0,2318.54,31.96,14.92,0.1036,19.81,0.4554,77.4
2006-07-11,21684808.0,1291743389.07,9.15,15.2,4.43,1683.88,1.0,663976634.72,13976011.0,11146336.0,832537683.28,0.0,0.0,62961.0,8.28,0.0,0.0,0.0,11.62,96501.0,154303.0,0.0,0.0,8.28,62961.0,0.0,3837.0,76351.0,1082.13,5.73,0.0,0.0,31.84,31.84,29914652.0,1781987369.09,0.0,2312.81,31.87,18.16,0.1136,21.03,0.4941,75.9
2006-07-12,28319732.0,1694758721.92,11.95,20.29,5.78,2184.87,2.0,1068609225.89,13886172.0,17856658.0,831000487.97,0.0,2311.0,112022.0,522.06,0.18,0.0,0.0,22.11,6792455.0,224470.0,0.0,2311.0,522.06,112022.0,0.0,20298.0,82134.0,1066.47,7.64,0.0,0.0,31.79,31.79,29798284.0,1783240805.64,0.0,2290.47,31.77,15.93,0.1938,38.46,0.6483,76.25
2006-07-13,27252102.0,1598785103.93,11.5,19.8,5.56,2095.54,2.0,982511369.02,13937982.0,16747404.0,817692448.1,0.0,0.0,85398.0,0.0,0.0,0.0,0.0,2.25,0.0,31277.0,0.0,0.0,0.0,85398.0,0.0,0.0,1109254.0,1067.01,88.12,0.18,0.0,31.91,31.91,29738990.0,1744682087.93,2311.0,2274.69,31.93,12.93,0.1961,39.64,0.6239,74.75
2006-07-14,24630532.0,1393759843.25,10.39,17.84,5.03,1853.51,2.0,801979536.44,13914722.0,14172587.0,787387814.18,0.0,0.0,75943.0,8.68,0.0,0.0,0.0,9.22,140034.0,115264.0,0.0,0.0,8.68,75943.0,0.0,16062.0,2714850.0,1040.87,220.88,0.0,0.0,31.8,31.8,29841190.0,1688613640.05,0.0,2232.25,31.8,14.33,0.1547,32.58,0.5629,72.1
