DATE,BIM FP Equity_DX_SI_QTY,BIM FP Equity_DX_SHORT_INTEREST_VALUE,BIM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BIM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BIM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BIM FP Equity_DX_SI_MV,BIM FP Equity_DX_DSS,BIM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BIM FP Equity_DX_SUPPLY_SI_QTY,BIM FP Equity_DX_BROKER_SI_QTY,BIM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BIM FP Equity_DX_BROKER_SI_MV_NEW_x,BIM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BIM FP Equity_DX_SUPPLY_SI_QTY_INC_x,BIM FP Equity_DX_BROKER_SI_MV_INC_x,BIM FP Equity_DX_SUPPLY_SI_MV_NEW,BIM FP Equity_DX_BROKER_SI_QTY_ADD,BIM FP Equity_DX_BROKER_SI_QTY_NEW,BIM FP Equity_DX_SUPPLY_SI_MV_DEC,BIM FP Equity_DX_BROKER_SI_QTY_INC,BIM FP Equity_DX_SUPPLY_SI_QTY_DEC,BIM FP Equity_DX_BROKER_SI_MV_NEW_y,BIM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BIM FP Equity_DX_BROKER_SI_MV_INC_y,BIM FP Equity_DX_SUPPLY_SI_QTY_INC_y,BIM FP Equity_DX_BROKER_SI_MV_ADD,BIM FP Equity_DX_SUPPLY_SI_QTY_ADD,BIM FP Equity_DX_BROKER_SI_QTY_DEC,BIM FP Equity_DX_SUPPLY_SI_MV,BIM FP Equity_DX_BROKER_SI_MV_DEC,BIM FP Equity_DX_SUPPLY_SI_MV_RMV,BIM FP Equity_DX_BROKER_SI_MV_RMV,BIM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BIM FP Equity_DX_UTILIZATION_QUANTITY,BIM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BIM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BIM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BIM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BIM FP Equity_DX_ACTIVE_UTILIZATION_MV,BIM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BIM FP Equity_DX_BROKER_SI_CON_RATIO,BIM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BIM FP Equity_DX_DEMAND_SUPPLY_RATIO,BIM FP Equity_PX_LAST
2006-07-03,953844.0,38889660.33,6.79,32.09,2.42,43.56,1.0,10670801.18,827334.0,261722.0,33731656.58,0.0,136003.0,7368.0,0.62,6.21,0.0,0.0,0.02,13886.0,401.0,0.0,136003.0,0.62,7368.0,0.0,0.0,127249.0,37.39,5.88,0.0,0.0,37.76,37.76,1363917.0,55608955.81,0.0,62.98,37.26,12.71,0.1645,32.83,0.4353,46.2
2006-07-04,953269.0,39202720.75,6.79,32.75,2.42,43.67,1.0,10759940.23,826614.0,261643.0,33994095.9,0.0,0.0,1376.0,0.0,0.0,0.0,0.0,0.04,0.0,2096.0,0.0,0.0,0.0,1376.0,0.0,0.0,79.0,37.46,0.0,0.0,0.0,37.66,37.66,1368346.0,56272559.08,0.0,63.19,37.22,12.7,0.1645,32.8,0.4343,46.6
2006-07-05,800318.0,32637236.27,5.7,29.18,2.03,37.88,1.0,9820434.85,692977.0,240813.0,28259834.31,0.0,0.0,148.0,0.0,0.0,0.0,0.0,4.94,0.0,133785.0,0.0,0.0,0.0,148.0,0.0,0.0,20829.0,32.57,0.86,0.0,0.0,31.38,31.38,1515550.0,61804636.94,0.0,71.55,31.28,15.05,0.1845,35.72,0.3624,46.21
2006-07-06,666982.0,27135002.21,4.75,24.86,1.69,31.46,1.0,9810239.3,559041.0,241137.0,22743610.42,0.0,0.0,14.0,0.01,0.0,0.0,0.0,0.17,324.0,2459.0,0.0,0.0,0.01,14.0,0.0,0.0,0.0,26.12,0.0,6.22,0.0,26.85,26.85,1523407.0,61977163.26,131492.0,71.2,26.84,18.02,0.1343,22.93,0.3203,46.1
2006-07-07,666275.0,27194437.32,4.75,25.22,1.69,31.52,1.0,9830364.1,558795.0,240848.0,22807572.85,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.01,0.0,532.0,0.0,0.0,0.0,286.0,0.0,0.0,289.0,26.19,0.01,0.0,0.0,26.75,26.75,1530384.0,62463595.0,0.0,71.75,26.74,18.04,0.1342,22.87,0.3189,46.25
2006-07-10,655416.0,26791708.67,4.67,24.92,1.66,31.08,1.0,9840214.56,547923.0,240725.0,22397673.22,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.55,0.0,12227.0,0.0,0.0,0.0,1355.0,0.0,0.0,123.0,25.75,0.0,0.0,0.0,26.22,26.22,1541458.0,63010810.93,0.0,72.52,26.21,18.33,0.1357,23.39,0.3137,46.32
2006-07-11,653864.0,27109110.11,4.66,24.72,1.66,31.06,1.0,9982332.03,545961.0,240771.0,22635466.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,46.0,1963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.67,0.0,0.0,0.0,26.13,26.13,1543805.0,64005939.66,0.0,72.63,26.11,18.33,0.1355,23.27,0.3129,46.98
2006-07-12,658873.0,26746956.09,4.69,25.68,1.67,31.1,1.0,9781205.3,550472.0,240946.0,22346416.4,0.0,0.0,6322.0,0.0,0.0,0.0,0.0,0.18,175.0,1811.0,0.0,0.0,0.0,6322.0,0.0,0.0,0.0,25.76,0.0,0.0,0.0,26.27,26.27,1545052.0,62721401.55,0.0,72.89,26.11,18.34,0.136,23.58,0.3144,46.0
2006-07-13,642785.0,25259994.45,4.58,26.18,1.63,30.24,1.0,8988138.6,545541.0,228719.0,21438525.53,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.28,0.0,5050.0,0.0,0.0,0.0,120.0,0.0,0.0,12227.0,25.47,0.67,0.0,0.0,26.13,26.13,1542617.0,60621353.74,0.0,72.12,26.1,18.72,0.1365,23.85,0.3078,44.53
2006-07-14,638373.0,25740115.45,4.55,25.7,1.62,30.01,1.0,9191432.4,542033.0,227954.0,21855548.4,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.19,0.0,3739.0,0.0,0.0,0.0,231.0,0.0,0.0,765.0,25.2,0.04,0.0,0.0,25.95,25.95,1546751.0,62367219.96,0.0,71.51,26.06,18.69,0.1359,23.58,0.3056,45.69
