DATE,CASHE FP Equity_DX_SI_QTY,CASHE FP Equity_DX_SHORT_INTEREST_VALUE,CASHE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CASHE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CASHE FP Equity_DX_SI_MV,CASHE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CASHE FP Equity_DX_SUPPLY_SI_QTY,CASHE FP Equity_DX_BROKER_SI_QTY,CASHE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CASHE FP Equity_DX_SUPPLY_SI_MV,CASHE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CASHE FP Equity_DX_UTILIZATION_QUANTITY,CASHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CASHE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CASHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CASHE FP Equity_DX_ACTIVE_UTILIZATION_MV,CASHE FP Equity_DX_BROKER_SI_CON_RATIO,CASHE FP Equity_DX_DEMAND_SUPPLY_RATIO,CASHE FP Equity_PX_LAST
2025-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.022
2025-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0156
2025-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0166
2025-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0166
2025-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0181
2025-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0187
2025-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0194
2025-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0211
2025-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0217
2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0228
