DATE,GFC FP Equity_DX_SI_QTY,GFC FP Equity_DX_SHORT_INTEREST_VALUE,GFC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GFC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GFC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GFC FP Equity_DX_SI_MV,GFC FP Equity_DX_DSS,GFC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GFC FP Equity_DX_SUPPLY_SI_QTY,GFC FP Equity_DX_BROKER_SI_QTY,GFC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GFC FP Equity_DX_BROKER_SI_MV_NEW_x,GFC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GFC FP Equity_DX_SUPPLY_SI_QTY_INC_x,GFC FP Equity_DX_BROKER_SI_MV_INC_x,GFC FP Equity_DX_SUPPLY_SI_MV_NEW,GFC FP Equity_DX_BROKER_SI_QTY_ADD,GFC FP Equity_DX_BROKER_SI_QTY_NEW,GFC FP Equity_DX_SUPPLY_SI_MV_DEC,GFC FP Equity_DX_BROKER_SI_QTY_INC,GFC FP Equity_DX_SUPPLY_SI_QTY_DEC,GFC FP Equity_DX_BROKER_SI_MV_NEW_y,GFC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GFC FP Equity_DX_BROKER_SI_MV_INC_y,GFC FP Equity_DX_SUPPLY_SI_QTY_INC_y,GFC FP Equity_DX_BROKER_SI_MV_ADD,GFC FP Equity_DX_SUPPLY_SI_QTY_ADD,GFC FP Equity_DX_BROKER_SI_QTY_DEC,GFC FP Equity_DX_SUPPLY_SI_MV,GFC FP Equity_DX_BROKER_SI_MV_DEC,GFC FP Equity_DX_SUPPLY_SI_MV_RMV,GFC FP Equity_DX_BROKER_SI_MV_RMV,GFC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GFC FP Equity_DX_UTILIZATION_QUANTITY,GFC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GFC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GFC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GFC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GFC FP Equity_DX_ACTIVE_UTILIZATION_MV,GFC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GFC FP Equity_DX_BROKER_SI_CON_RATIO,GFC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GFC FP Equity_DX_DEMAND_SUPPLY_RATIO,GFC FP Equity_PX_LAST
2006-07-03,1095302.0,62171620.1,6.34,22.68,1.76,112.16,1.0,50003135.6,254081.0,880925.0,14422166.13,0.0,0.0,457.0,4.99,0.0,0.0,0.0,0.0,13387.0,911.0,0.0,0.0,4.99,457.0,0.0,0.0,15466.0,25.92,1.44,2.02,0.0,17.89,17.89,1165957.0,66182144.88,20858.0,119.17,17.87,6.61,0.5758,75.21,0.7713,100.9
2006-07-04,1080490.0,62242617.25,6.25,22.56,1.74,111.25,1.0,49860513.42,269964.0,865545.0,15551523.77,0.0,0.0,16759.0,0.05,0.0,0.0,0.0,0.06,407.0,876.0,0.0,0.0,0.05,16759.0,0.0,0.0,15787.0,27.71,1.19,0.0,0.0,19.05,19.05,1147495.0,66102501.72,0.0,117.74,19.05,6.61,0.5701,74.82,0.7623,102.4
2006-07-05,1123823.0,63221537.55,6.5,24.93,1.81,115.21,1.0,50349877.94,298094.0,895017.0,16769509.98,0.0,20858.0,7272.0,2.65,2.08,0.0,0.0,0.0,29472.0,0.0,0.0,20858.0,2.65,7272.0,0.0,0.0,0.0,30.46,0.0,0.0,0.0,18.85,18.85,1283585.0,72209073.21,0.0,131.22,18.84,7.66,0.534,72.21,0.7105,100.0
2006-07-06,1133817.0,64038892.83,6.56,25.11,1.82,114.43,1.0,52116755.82,270091.0,922734.0,15254956.14,0.0,0.0,148.0,1.44,0.0,0.0,0.0,0.96,27717.0,7293.0,0.0,0.0,1.44,148.0,0.0,0.0,0.0,27.16,0.0,2.08,0.0,18.01,18.01,1229773.0,69458564.61,20858.0,123.88,17.98,7.55,0.5553,73.7,0.7559,100.4
2006-07-07,1114892.0,62593678.96,6.45,24.61,1.79,112.56,1.0,50712472.42,271320.0,903269.0,15232791.14,0.0,0.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0,19465.0,27.28,1.94,0.0,0.0,17.91,17.91,1243355.0,69806011.44,0.0,125.32,17.88,7.71,0.549,73.23,0.7361,99.8
2006-07-10,1123587.0,62323345.53,6.5,24.9,1.81,112.78,1.0,50533136.42,272252.0,911029.0,15101327.68,0.0,0.0,932.0,0.35,0.0,0.0,0.0,0.0,8236.0,0.0,0.0,0.0,0.35,932.0,0.0,0.0,476.0,27.18,0.05,0.0,0.0,17.91,17.91,1247486.0,69195799.72,0.0,125.07,17.85,7.71,0.5511,73.38,0.7393,98.6
2006-07-11,1111620.0,61597022.56,6.43,24.93,1.79,110.68,1.0,49885542.46,268476.0,900267.0,14876776.44,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.5,1725.0,3871.0,0.0,0.0,0.0,94.0,0.0,0.0,12487.0,26.6,1.28,0.0,0.0,17.58,17.58,1258723.0,69748285.41,0.0,125.13,17.53,6.55,0.5634,74.32,0.7279,98.5
2006-07-12,1111965.0,62054020.88,6.43,25.21,1.79,110.83,1.0,49521950.85,291531.0,887399.0,16269100.88,0.0,20858.0,901.0,0.0,2.07,0.0,0.0,0.03,0.0,263.0,0.0,20858.0,0.0,901.0,0.0,1559.0,12869.0,28.95,1.21,0.0,0.0,18.34,18.34,1297777.0,72423395.57,0.0,129.09,18.32,6.58,0.5492,73.34,0.6997,99.2
2006-07-13,1092708.0,60579807.49,6.32,26.62,1.76,109.15,1.0,48731488.47,270956.0,878994.0,15021819.48,0.0,0.0,283.0,0.54,0.0,0.0,0.0,0.0,3601.0,0.0,0.0,0.0,0.54,283.0,0.0,0.0,12006.0,26.94,1.19,2.07,0.0,18.07,18.07,1228767.0,68122927.91,20858.0,122.56,18.02,6.7,0.5742,75.04,0.7286,98.55
2006-07-14,1094984.0,60675189.5,6.34,27.31,1.76,108.96,1.0,48575271.69,275497.0,876621.0,15265823.69,0.0,0.0,5548.0,0.01,0.0,0.0,0.0,0.14,96.0,1007.0,0.0,0.0,0.01,5548.0,0.0,0.0,2468.0,27.29,0.55,0.0,0.0,18.26,18.26,1233231.0,68335724.2,0.0,122.53,18.21,6.65,0.5686,74.68,0.7258,98.5
