DATE,ERO FP Equity_DX_SI_QTY,ERO FP Equity_DX_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ERO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ERO FP Equity_DX_SI_MV,ERO FP Equity_DX_DSS,ERO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY,ERO FP Equity_DX_BROKER_SI_QTY,ERO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ERO FP Equity_DX_BROKER_SI_MV_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ERO FP Equity_DX_BROKER_SI_MV_INC_x,ERO FP Equity_DX_SUPPLY_SI_MV_NEW,ERO FP Equity_DX_BROKER_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_NEW,ERO FP Equity_DX_SUPPLY_SI_MV_DEC,ERO FP Equity_DX_BROKER_SI_QTY_INC,ERO FP Equity_DX_SUPPLY_SI_QTY_DEC,ERO FP Equity_DX_BROKER_SI_MV_NEW_y,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ERO FP Equity_DX_BROKER_SI_MV_INC_y,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ERO FP Equity_DX_BROKER_SI_MV_ADD,ERO FP Equity_DX_SUPPLY_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_DEC,ERO FP Equity_DX_SUPPLY_SI_MV,ERO FP Equity_DX_BROKER_SI_MV_DEC,ERO FP Equity_DX_SUPPLY_SI_MV_RMV,ERO FP Equity_DX_BROKER_SI_MV_RMV,ERO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ERO FP Equity_DX_UTILIZATION_QUANTITY,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ERO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ERO FP Equity_DX_ACTIVE_UTILIZATION_MV,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ERO FP Equity_DX_BROKER_SI_CON_RATIO,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ERO FP Equity_DX_DEMAND_SUPPLY_RATIO,ERO FP Equity_PX_LAST
2006-07-03,490.0,59422.3,0.01,0.0,0.06,0.0,29711.15,245.0,245.0,29711.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.42,0.05,57884.0,7019592.68,0.0,0.0,100.0,49.83,0.5,50.17,0.001,121.27
2006-07-04,490.0,59613.4,0.01,0.0,0.06,0.0,29806.7,245.0,245.0,29806.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.42,0.05,58251.0,7086816.66,0.0,0.0,100.0,49.92,0.5,50.08,0.0009,121.66
2006-07-05,490.0,58937.2,0.01,0.0,0.06,0.0,29468.6,245.0,245.0,29468.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.38,0.05,64302.0,7734244.56,0.0,0.0,100.0,49.72,0.5,50.28,0.0009,120.28
2006-07-06,490.0,59486.0,0.01,0.0,0.06,0.0,29743.0,245.0,245.0,29743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.38,0.05,63966.0,7765472.4,0.0,0.0,100.0,49.77,0.5,50.23,0.0009,121.4
2006-07-07,490.0,59407.6,0.01,0.0,0.06,0.0,29703.8,245.0,245.0,29703.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.38,0.05,64061.0,7766755.64,0.0,0.0,100.0,50.0,0.5,50.0,0.0009,121.24
2006-07-10,490.0,59564.4,0.01,0.0,0.06,0.0,29782.2,245.0,245.0,29782.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.38,0.05,63993.0,7778989.08,0.0,0.0,100.0,49.93,0.5,50.07,0.0009,121.56
2006-07-11,490.0,59069.5,0.01,0.0,0.06,0.0,29534.75,245.0,245.0,29534.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.36,0.05,67082.0,8086735.1,0.0,0.0,100.0,49.79,0.5,50.21,0.0009,120.55
2006-07-12,5533.0,666781.83,0.15,0.0,0.67,0.0,637256.88,245.0,5288.0,29524.95,0.0,0.0,0.0,0.0,0.0,5043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.03,0.0,0.0,0.0,0.37,0.05,66681.0,8035727.31,0.0,0.0,100.0,4.43,0.8346,91.14,0.0105,120.51
2006-07-13,5527.0,656386.52,0.16,0.0,0.66,0.0,627290.32,245.0,5282.0,29096.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.03,0.01,0.0,0.0,0.36,0.05,67582.0,8026038.32,0.0,0.0,100.0,4.47,0.8345,91.13,0.0105,118.76
2006-07-14,5510.0,651777.9,0.16,0.0,0.65,0.0,622796.85,245.0,5265.0,28981.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.03,0.01,0.0,0.0,0.36,0.04,67879.0,8029406.91,0.0,0.0,100.0,4.45,0.834,91.11,0.01,118.29
