DATE,ESD FP Equity_DX_SI_QTY,ESD FP Equity_DX_SHORT_INTEREST_VALUE,ESD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ESD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ESD FP Equity_DX_SI_MV,ESD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ESD FP Equity_DX_SUPPLY_SI_QTY,ESD FP Equity_DX_BROKER_SI_QTY,ESD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ESD FP Equity_DX_BROKER_SI_MV_NEW_x,ESD FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ESD FP Equity_DX_SUPPLY_SI_QTY_INC_x,ESD FP Equity_DX_BROKER_SI_MV_INC_x,ESD FP Equity_DX_SUPPLY_SI_MV_NEW,ESD FP Equity_DX_BROKER_SI_QTY_ADD,ESD FP Equity_DX_BROKER_SI_QTY_NEW,ESD FP Equity_DX_SUPPLY_SI_MV_DEC,ESD FP Equity_DX_BROKER_SI_QTY_INC,ESD FP Equity_DX_SUPPLY_SI_QTY_DEC,ESD FP Equity_DX_BROKER_SI_MV_NEW_y,ESD FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ESD FP Equity_DX_BROKER_SI_MV_INC_y,ESD FP Equity_DX_SUPPLY_SI_QTY_INC_y,ESD FP Equity_DX_BROKER_SI_MV_ADD,ESD FP Equity_DX_SUPPLY_SI_QTY_ADD,ESD FP Equity_DX_BROKER_SI_QTY_DEC,ESD FP Equity_DX_SUPPLY_SI_MV,ESD FP Equity_DX_BROKER_SI_MV_DEC,ESD FP Equity_DX_SUPPLY_SI_MV_RMV,ESD FP Equity_DX_BROKER_SI_MV_RMV,ESD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ESD FP Equity_DX_UTILIZATION_QUANTITY,ESD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ESD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ESD FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ESD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ESD FP Equity_DX_ACTIVE_UTILIZATION_MV,ESD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ESD FP Equity_DX_BROKER_SI_CON_RATIO,ESD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ESD FP Equity_DX_DEMAND_SUPPLY_RATIO,ESD FP Equity_PX_LAST
2013-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.66
2013-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.65
2013-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.65
2013-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.68
2013-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.44
2013-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.52
2013-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73
2013-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.56
2013-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.09
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.29
2013-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.95
