DATE,EQS FP Equity_DX_SI_QTY,EQS FP Equity_DX_SHORT_INTEREST_VALUE,EQS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EQS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EQS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EQS FP Equity_DX_SI_MV,EQS FP Equity_DX_DSS,EQS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EQS FP Equity_DX_SUPPLY_SI_QTY,EQS FP Equity_DX_BROKER_SI_QTY,EQS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EQS FP Equity_DX_BROKER_SI_MV_NEW_x,EQS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EQS FP Equity_DX_SUPPLY_SI_QTY_INC_x,EQS FP Equity_DX_BROKER_SI_MV_INC_x,EQS FP Equity_DX_SUPPLY_SI_MV_NEW,EQS FP Equity_DX_BROKER_SI_QTY_ADD,EQS FP Equity_DX_BROKER_SI_QTY_NEW,EQS FP Equity_DX_SUPPLY_SI_MV_DEC,EQS FP Equity_DX_BROKER_SI_QTY_INC,EQS FP Equity_DX_SUPPLY_SI_QTY_DEC,EQS FP Equity_DX_BROKER_SI_MV_NEW_y,EQS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EQS FP Equity_DX_BROKER_SI_MV_INC_y,EQS FP Equity_DX_SUPPLY_SI_QTY_INC_y,EQS FP Equity_DX_BROKER_SI_MV_ADD,EQS FP Equity_DX_SUPPLY_SI_QTY_ADD,EQS FP Equity_DX_BROKER_SI_QTY_DEC,EQS FP Equity_DX_SUPPLY_SI_MV,EQS FP Equity_DX_BROKER_SI_MV_DEC,EQS FP Equity_DX_SUPPLY_SI_MV_RMV,EQS FP Equity_DX_BROKER_SI_MV_RMV,EQS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EQS FP Equity_DX_UTILIZATION_QUANTITY,EQS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EQS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EQS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EQS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EQS FP Equity_DX_ACTIVE_UTILIZATION_MV,EQS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EQS FP Equity_DX_BROKER_SI_CON_RATIO,EQS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EQS FP Equity_DX_DEMAND_SUPPLY_RATIO,EQS FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.04
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.22
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.75
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.58
