DATE,ALMCE FP Equity_DX_SI_QTY,ALMCE FP Equity_DX_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMCE FP Equity_DX_SI_MV,ALMCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SUPPLY_SI_QTY,ALMCE FP Equity_DX_BROKER_SI_QTY,ALMCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMCE FP Equity_DX_SUPPLY_SI_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMCE FP Equity_DX_BROKER_SI_CON_RATIO,ALMCE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMCE FP Equity_PX_LAST
2023-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65
2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6
2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6
2023-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68
2023-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69
2023-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65
2023-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66
2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64
2023-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66
