DATE,PRC FP Equity_DX_SI_QTY,PRC FP Equity_DX_SHORT_INTEREST_VALUE,PRC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PRC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PRC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PRC FP Equity_DX_SI_MV,PRC FP Equity_DX_DSS,PRC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PRC FP Equity_DX_SUPPLY_SI_QTY,PRC FP Equity_DX_BROKER_SI_QTY,PRC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PRC FP Equity_DX_BROKER_SI_MV_NEW_x,PRC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PRC FP Equity_DX_SUPPLY_SI_QTY_INC_x,PRC FP Equity_DX_BROKER_SI_MV_INC_x,PRC FP Equity_DX_SUPPLY_SI_MV_NEW,PRC FP Equity_DX_BROKER_SI_QTY_ADD,PRC FP Equity_DX_BROKER_SI_QTY_NEW,PRC FP Equity_DX_SUPPLY_SI_MV_DEC,PRC FP Equity_DX_BROKER_SI_QTY_INC,PRC FP Equity_DX_SUPPLY_SI_QTY_DEC,PRC FP Equity_DX_BROKER_SI_MV_NEW_y,PRC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PRC FP Equity_DX_BROKER_SI_MV_INC_y,PRC FP Equity_DX_SUPPLY_SI_QTY_INC_y,PRC FP Equity_DX_BROKER_SI_MV_ADD,PRC FP Equity_DX_SUPPLY_SI_QTY_ADD,PRC FP Equity_DX_BROKER_SI_QTY_DEC,PRC FP Equity_DX_SUPPLY_SI_MV,PRC FP Equity_DX_BROKER_SI_MV_DEC,PRC FP Equity_DX_SUPPLY_SI_MV_RMV,PRC FP Equity_DX_BROKER_SI_MV_RMV,PRC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PRC FP Equity_DX_UTILIZATION_QUANTITY,PRC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PRC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PRC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PRC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PRC FP Equity_DX_ACTIVE_UTILIZATION_MV,PRC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PRC FP Equity_DX_BROKER_SI_CON_RATIO,PRC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PRC FP Equity_DX_DEMAND_SUPPLY_RATIO,PRC FP Equity_PX_LAST
2006-07-03,6272.0,135475.2,0.29,0.21,0.1,0.13,0.0,73137.6,3355.0,3386.0,72468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.39,3.39,95480.0,2062368.0,0.0,1.54,4.21,31.55,0.3572,45.04,0.0635,21.6
2006-07-04,6272.0,135726.08,0.29,0.23,0.1,0.14,0.0,73273.04,3386.0,3386.0,73273.04,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.45,3.45,94664.0,2048528.96,0.0,1.65,4.23,30.11,0.3593,45.99,0.064,21.64
2006-07-05,6272.0,132401.92,0.29,0.26,0.1,0.13,0.0,71478.46,3390.0,3386.0,71562.9,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.36,3.36,97395.0,2056008.45,0.0,1.66,4.23,29.55,0.3603,46.36,0.0622,21.11
2006-07-06,6272.0,132276.48,0.29,0.27,0.1,0.13,0.0,71410.74,3386.0,3386.0,71410.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.35,3.35,97691.0,2060303.19,0.0,1.62,4.23,30.05,0.3594,46.03,0.0621,21.09
2006-07-07,6272.0,126380.8,0.29,0.27,0.1,0.13,0.0,68227.9,3404.0,3386.0,68590.6,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.34,3.34,98537.0,1985520.55,0.0,1.54,4.26,29.74,0.3568,45.51,0.0615,20.15
2006-07-10,6272.0,122931.2,0.29,0.29,0.1,0.13,0.0,66365.6,3390.0,3386.0,66444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.31,3.31,98966.0,1939733.6,0.0,1.54,4.23,29.49,0.3604,46.39,0.0613,19.6
2006-07-11,6272.0,117349.12,0.29,0.31,0.1,0.12,0.0,63352.06,3390.0,3386.0,63426.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.29,3.29,99540.0,1862393.4,0.0,1.5,4.23,28.91,0.3596,46.34,0.0609,18.71
2006-07-12,5272.0,100589.76,0.25,0.3,0.08,0.1,0.0,64604.88,1886.0,3386.0,35984.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.9,1.9,97412.0,1858620.96,0.0,1.46,2.36,35.52,0.3372,36.23,0.0531,19.08
2006-07-13,3772.0,70196.92,0.18,0.23,0.06,0.07,0.0,35098.46,1886.0,1886.0,35098.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.04,0.03,0.0,0.0,1.9,1.9,97534.0,1815107.74,0.0,1.49,2.36,49.38,0.5001,50.62,0.0379,18.61
2006-07-14,3772.0,70536.4,0.18,0.23,0.06,0.07,0.0,35268.2,1886.0,1886.0,35268.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.89,1.89,97669.0,1826410.3,0.0,1.46,2.36,50.0,0.5,50.0,0.0379,18.7
