DATE,MMT FP Equity_DX_SI_QTY,MMT FP Equity_DX_SHORT_INTEREST_VALUE,MMT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MMT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MMT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MMT FP Equity_DX_SI_MV,MMT FP Equity_DX_DSS,MMT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MMT FP Equity_DX_SUPPLY_SI_QTY,MMT FP Equity_DX_BROKER_SI_QTY,MMT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MMT FP Equity_DX_BROKER_SI_MV_NEW_x,MMT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MMT FP Equity_DX_SUPPLY_SI_QTY_INC_x,MMT FP Equity_DX_BROKER_SI_MV_INC_x,MMT FP Equity_DX_SUPPLY_SI_MV_NEW,MMT FP Equity_DX_BROKER_SI_QTY_ADD,MMT FP Equity_DX_BROKER_SI_QTY_NEW,MMT FP Equity_DX_SUPPLY_SI_MV_DEC,MMT FP Equity_DX_BROKER_SI_QTY_INC,MMT FP Equity_DX_SUPPLY_SI_QTY_DEC,MMT FP Equity_DX_BROKER_SI_MV_NEW_y,MMT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MMT FP Equity_DX_BROKER_SI_MV_INC_y,MMT FP Equity_DX_SUPPLY_SI_QTY_INC_y,MMT FP Equity_DX_BROKER_SI_MV_ADD,MMT FP Equity_DX_SUPPLY_SI_QTY_ADD,MMT FP Equity_DX_BROKER_SI_QTY_DEC,MMT FP Equity_DX_SUPPLY_SI_MV,MMT FP Equity_DX_BROKER_SI_MV_DEC,MMT FP Equity_DX_SUPPLY_SI_MV_RMV,MMT FP Equity_DX_BROKER_SI_MV_RMV,MMT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MMT FP Equity_DX_UTILIZATION_QUANTITY,MMT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MMT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MMT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MMT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MMT FP Equity_DX_ACTIVE_UTILIZATION_MV,MMT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MMT FP Equity_DX_BROKER_SI_CON_RATIO,MMT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MMT FP Equity_DX_DEMAND_SUPPLY_RATIO,MMT FP Equity_PX_LAST
2006-07-03,3175946.0,36166778.15,5.34,6.05,2.41,84.76,1.0,30436011.44,673020.0,2672705.0,7664162.12,0.0,0.0,8141.0,0.0,0.0,0.0,0.0,3.87,13344.0,164402.0,0.0,0.0,0.0,8141.0,0.0,0.0,209911.0,17.4,5.13,0.1,0.0,19.42,19.42,2793126.0,31807331.86,4063.0,70.79,19.73,26.26,0.2177,35.7,0.9163,24.6
2006-07-04,3314280.0,37128394.29,5.57,6.51,2.51,88.06,1.0,30891810.33,721428.0,2757569.0,8081834.74,0.0,0.0,36951.0,2.78,0.0,0.0,0.0,0.15,116233.0,6540.0,0.0,0.0,2.78,36951.0,0.0,17997.0,31370.0,18.61,0.82,0.0,0.0,20.77,20.77,2751875.0,30828022.99,0.0,69.63,21.09,25.52,0.2273,37.65,0.9542,24.2
2006-07-05,3537005.0,40491269.72,5.94,7.2,2.68,94.51,1.0,30945440.62,1001946.0,2703155.0,11470174.83,0.0,4063.0,280646.0,0.0,0.1,0.0,0.0,0.07,0.0,4192.0,0.0,4063.0,0.0,280646.0,0.0,0.0,54414.0,26.18,1.12,0.0,0.0,28.49,28.49,2515297.0,28794861.55,0.0,63.6,29.16,23.73,0.1984,33.8,1.0056,24.73
2006-07-06,3632221.0,41698991.47,6.1,7.32,2.75,97.22,1.0,31715354.09,1034665.0,2762589.0,11878265.95,0.0,0.0,39050.0,1.96,0.0,0.0,0.0,0.04,74000.0,2268.0,0.0,0.0,1.96,39050.0,0.0,0.0,14566.0,27.08,0.35,0.1,0.0,29.4,29.4,2484073.0,28517906.49,4063.0,63.43,29.92,22.7,0.1965,34.06,1.0323,24.8
2006-07-07,3573610.0,41141919.06,6.0,7.28,2.71,95.85,1.0,31110990.97,1036660.0,2702318.0,11934761.16,0.0,0.0,1995.0,0.01,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.01,1995.0,0.0,0.0,60634.0,27.21,1.58,0.0,0.0,29.34,29.34,2496471.0,28741135.11,0.0,63.94,29.86,21.33,0.1951,34.57,1.0115,24.87
2006-07-10,3712908.0,43140931.2,6.24,7.72,2.82,99.38,1.0,32977847.18,1041849.0,2838226.0,12105426.81,0.0,0.0,5189.0,3.37,0.0,0.0,0.0,0.0,135907.0,0.0,0.0,0.0,3.37,5189.0,0.0,0.0,0.0,27.38,0.0,0.0,0.0,29.4,29.4,2501285.0,29062870.42,0.0,64.17,29.91,20.62,0.1989,35.58,1.0479,25.1
2006-07-11,3793422.0,43725230.86,6.37,8.03,2.88,101.39,1.0,33632845.86,1055231.0,2917848.0,12163218.09,0.0,0.0,1021.0,1.91,0.0,0.0,0.0,0.0,79640.0,0.0,0.0,0.0,1.91,1021.0,0.0,12361.0,17.0,27.66,0.0,0.0,0.0,29.77,29.77,2489869.0,28699706.18,0.0,64.05,30.16,20.25,0.1935,34.85,1.07,24.9
2006-07-12,4118089.0,47848800.52,6.92,9.12,3.12,109.86,1.0,37736132.1,1095223.0,3247746.0,12725588.7,0.0,6990.0,27680.0,8.6,0.18,0.0,0.0,0.48,329898.0,18211.0,0.0,6990.0,8.6,27680.0,0.0,23532.0,0.0,28.71,0.0,0.0,0.0,29.94,29.94,2562412.0,29773115.79,0.0,65.76,30.39,25.38,0.1994,32.86,1.1259,25.1
2006-07-13,3993984.0,45463875.63,6.71,10.49,3.03,106.93,1.0,35543445.2,1089581.0,3122478.0,12402797.57,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.0,0.0,0.0,125269.0,28.6,2.94,0.18,0.0,29.7,29.7,2579038.0,29357419.27,6990.0,66.44,30.09,26.11,0.1928,31.0,1.0887,24.59
2006-07-14,4010313.0,44925740.22,6.74,10.64,3.04,106.6,1.0,34696734.73,1130388.0,3097217.0,12663230.44,0.0,0.0,31935.0,0.0,0.0,0.0,0.0,0.1,472.0,2273.0,0.0,0.0,0.0,31935.0,0.0,11146.0,25733.0,29.4,0.85,0.0,0.0,30.77,30.77,2543033.0,28488459.61,0.0,64.62,31.27,25.66,0.1902,30.79,1.0917,24.2
