DATE,ALHF FP Equity_DX_SI_QTY,ALHF FP Equity_DX_SHORT_INTEREST_VALUE,ALHF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHF FP Equity_DX_SI_MV,ALHF FP Equity_DX_DSS,ALHF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHF FP Equity_DX_SUPPLY_SI_QTY,ALHF FP Equity_DX_BROKER_SI_QTY,ALHF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHF FP Equity_DX_BROKER_SI_MV_NEW_x,ALHF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHF FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHF FP Equity_DX_BROKER_SI_MV_INC_x,ALHF FP Equity_DX_SUPPLY_SI_MV_NEW,ALHF FP Equity_DX_BROKER_SI_QTY_ADD,ALHF FP Equity_DX_BROKER_SI_QTY_NEW,ALHF FP Equity_DX_SUPPLY_SI_MV_DEC,ALHF FP Equity_DX_BROKER_SI_QTY_INC,ALHF FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHF FP Equity_DX_BROKER_SI_MV_NEW_y,ALHF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHF FP Equity_DX_BROKER_SI_MV_INC_y,ALHF FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHF FP Equity_DX_BROKER_SI_MV_ADD,ALHF FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHF FP Equity_DX_BROKER_SI_QTY_DEC,ALHF FP Equity_DX_SUPPLY_SI_MV,ALHF FP Equity_DX_BROKER_SI_MV_DEC,ALHF FP Equity_DX_SUPPLY_SI_MV_RMV,ALHF FP Equity_DX_BROKER_SI_MV_RMV,ALHF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHF FP Equity_DX_UTILIZATION_QUANTITY,ALHF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHF FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHF FP Equity_DX_BROKER_SI_CON_RATIO,ALHF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHF FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHF FP Equity_PX_LAST
2006-07-03,100980.0,1635589.71,4.76,21.89,2.44,3.8,1.0,1357144.25,18126.0,83789.0,293589.81,0.0,0.0,12.0,0.0,0.0,3021.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,0.11,0.0,0.0,0.59,0.0,0.0,0.0,8.46,8.46,196209.0,3178029.53,0.0,6.44,8.41,13.64,0.5498,72.3,0.4711,32.34
2006-07-04,101826.0,1045469.9,4.8,14.14,2.46,3.5,1.0,863083.01,18799.0,84062.0,193013.46,0.0,0.0,673.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,673.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,8.76,8.76,195810.0,2010424.26,0.0,4.09,9.09,9.44,0.6376,78.98,0.4745,20.5
2006-07-05,85242.0,823967.21,4.02,6.21,2.06,2.24,1.0,653261.91,18519.0,67582.0,179008.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1020.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,0.39,1.22,0.0,0.0,8.78,8.78,192351.0,1859305.46,0.0,3.9,9.05,14.78,0.5035,68.63,0.4042,19.3
2006-07-06,85693.0,819742.97,4.04,3.98,2.07,2.2,1.0,631932.84,20459.0,66060.0,195711.69,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2000.0,0.0,0.0,1522.0,0.4,0.04,0.0,0.0,9.71,9.71,190335.0,1820752.91,0.0,3.69,9.77,13.98,0.5146,69.67,0.4065,19.1
2006-07-07,92115.0,871949.13,4.34,3.9,2.23,2.29,1.0,591333.25,30493.0,62470.0,288642.94,0.0,0.0,10034.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10034.0,0.0,0.0,3592.0,0.58,0.1,0.0,0.0,15.33,15.33,168368.0,1593750.54,0.0,3.2,15.43,13.32,0.4709,65.89,0.4632,18.9
2006-07-10,91299.0,951562.0,4.3,3.74,2.21,2.34,1.0,642754.34,30443.0,61670.0,317291.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.64,0.03,0.0,0.0,15.31,15.31,168362.0,1754749.57,0.0,3.53,15.36,14.36,0.4444,63.38,0.4592,20.81
2006-07-11,91350.0,925557.54,4.31,3.32,2.21,2.32,1.0,624839.99,30584.0,61670.0,309876.87,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,15.41,15.41,167893.0,1701090.66,0.0,3.42,15.49,14.08,0.4498,63.93,0.4603,20.23
2006-07-12,92705.0,951822.59,4.37,3.28,2.24,2.37,1.0,662441.01,29057.0,64520.0,298334.6,0.0,0.0,0.0,0.0,0.0,2850.0,0.0,0.02,0.0,1528.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.6,0.0,0.0,0.0,14.83,14.83,166812.0,1712695.43,0.0,3.42,14.97,13.94,0.4291,62.5,0.4733,20.5
2006-07-13,92697.0,926670.22,4.37,3.26,2.24,2.35,1.0,644821.4,29086.0,64503.0,290765.94,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,18.0,0.59,0.0,0.0,0.0,14.85,14.85,166822.0,1667680.49,0.0,3.34,15.0,13.7,0.4349,63.06,0.4732,19.96
2006-07-14,95557.0,956696.73,4.5,3.31,2.31,2.4,1.0,645219.89,31985.0,64446.0,320227.14,0.0,0.0,2926.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2926.0,0.0,0.0,56.0,0.65,0.0,0.0,0.0,16.33,16.33,163884.0,1640772.38,0.0,3.28,16.47,15.84,0.4216,61.56,0.4879,19.99
