DATE,PROAC FP Equity_DX_SI_QTY,PROAC FP Equity_DX_SHORT_INTEREST_VALUE,PROAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PROAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PROAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PROAC FP Equity_DX_SI_MV,PROAC FP Equity_DX_DSS,PROAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PROAC FP Equity_DX_SUPPLY_SI_QTY,PROAC FP Equity_DX_BROKER_SI_QTY,PROAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PROAC FP Equity_DX_BROKER_SI_MV_NEW_x,PROAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PROAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,PROAC FP Equity_DX_BROKER_SI_MV_INC_x,PROAC FP Equity_DX_SUPPLY_SI_MV_NEW,PROAC FP Equity_DX_BROKER_SI_QTY_ADD,PROAC FP Equity_DX_BROKER_SI_QTY_NEW,PROAC FP Equity_DX_SUPPLY_SI_MV_DEC,PROAC FP Equity_DX_BROKER_SI_QTY_INC,PROAC FP Equity_DX_SUPPLY_SI_QTY_DEC,PROAC FP Equity_DX_BROKER_SI_MV_NEW_y,PROAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PROAC FP Equity_DX_BROKER_SI_MV_INC_y,PROAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,PROAC FP Equity_DX_BROKER_SI_MV_ADD,PROAC FP Equity_DX_SUPPLY_SI_QTY_ADD,PROAC FP Equity_DX_BROKER_SI_QTY_DEC,PROAC FP Equity_DX_SUPPLY_SI_MV,PROAC FP Equity_DX_BROKER_SI_MV_DEC,PROAC FP Equity_DX_SUPPLY_SI_MV_RMV,PROAC FP Equity_DX_BROKER_SI_MV_RMV,PROAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PROAC FP Equity_DX_UTILIZATION_QUANTITY,PROAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PROAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PROAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PROAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PROAC FP Equity_DX_ACTIVE_UTILIZATION_MV,PROAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PROAC FP Equity_DX_BROKER_SI_CON_RATIO,PROAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PROAC FP Equity_DX_DEMAND_SUPPLY_RATIO,PROAC FP Equity_PX_LAST
2006-07-03,17489.0,33753.77,0.08,0.53,0.04,0.03,0.0,32966.33,6260.0,17081.0,12081.8,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,70.7,15.12,2594.0,5006.42,0.0,0.0,0.0,33.06,0.5574,66.94,0.4224,1.93
2006-07-04,17469.0,34064.55,0.08,0.55,0.04,0.03,0.0,33255.3,6261.0,17054.0,12208.95,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,26.0,0.01,0.0,0.0,0.0,70.27,15.1,2649.0,5165.55,0.0,0.0,0.0,33.11,0.5571,66.89,0.4214,1.95
2006-07-05,16232.0,31003.12,0.08,0.53,0.04,0.03,0.0,30284.96,5697.0,15856.0,10881.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,0.01,0.0,0.0,0.0,70.88,14.04,2340.0,4469.4,0.0,0.0,0.0,35.61,0.5414,64.39,0.4,1.91
2006-07-06,16359.0,30754.92,0.08,0.53,0.04,0.03,0.0,30066.84,5541.0,15993.0,10417.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,70.64,13.72,2303.0,4329.64,0.0,0.0,0.0,35.3,0.5432,64.7,0.405,1.88
2006-07-07,16088.0,29280.16,0.08,0.53,0.04,0.03,0.0,28626.78,5433.0,15729.0,9888.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.01,0.0,0.0,0.0,70.68,13.5,2254.0,4102.28,0.0,0.0,0.0,35.9,0.5398,64.1,0.3999,1.82
2006-07-10,15913.0,29439.05,0.08,0.53,0.04,0.03,0.0,28789.7,5305.0,15562.0,9814.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.01,0.0,0.0,0.0,70.47,13.24,2223.0,4112.55,0.0,0.0,0.0,36.28,0.5376,63.72,0.3971,1.85
2006-07-11,15341.0,26386.52,0.07,0.51,0.04,0.03,0.0,25779.36,5341.0,14988.0,9186.52,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,575.0,0.01,0.0,0.0,0.0,70.66,13.32,2218.0,3814.96,0.0,0.0,0.0,37.67,0.5304,62.33,0.3825,1.72
2006-07-12,16438.0,27780.22,0.08,0.52,0.04,0.03,0.0,27146.47,5651.0,16063.0,9550.19,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,1076.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,70.86,14.62,2324.0,3927.56,0.0,0.0,0.0,35.15,0.5441,64.85,0.4253,1.69
2006-07-13,15107.0,24775.48,0.07,0.44,0.04,0.03,0.0,24176.88,5495.0,14742.0,9011.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,0.01,0.0,0.0,0.0,70.76,14.29,2270.0,3722.8,0.0,0.0,0.0,38.3,0.5274,61.7,0.393,1.64
2006-07-14,14738.0,24759.84,0.07,0.42,0.04,0.03,0.0,24166.8,5346.0,14385.0,8981.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.01,0.0,0.0,0.0,69.86,13.95,2306.0,3874.08,0.0,0.0,0.0,39.25,0.5231,60.75,0.3845,1.68
