DATE,TELE FP Equity_DX_DSS,TELE FP Equity_PX_LAST
2006-08-30,0.0,26.72
2006-08-31,0.0,26.7
2006-09-01,0.0,26.86
2006-09-04,0.0,26.9
2006-09-05,0.0,26.76
2006-09-06,0.0,26.7
2006-09-07,0.0,26.5
2006-09-08,0.0,26.63
2006-09-11,0.0,26.95
2006-09-12,0.0,27.31
2006-09-13,0.0,27.45
2006-09-14,0.0,27.3
2006-09-15,0.0,27.29
2006-09-18,0.0,27.15
2006-09-19,0.0,27.01
2006-09-20,0.0,27.4
2006-09-21,0.0,27.69
2006-09-22,0.0,27.34
2006-09-25,0.0,27.48
2006-09-26,0.0,27.84
2006-09-27,0.0,28.01
2006-09-28,0.0,28.13
2006-09-29,0.0,28.29
2006-10-02,0.0,28.05
2006-10-03,0.0,28.17
2006-10-04,0.0,28.76
2006-10-05,0.0,28.77
2006-10-06,0.0,28.67
2006-10-09,0.0,28.54
2006-10-10,0.0,28.79
2006-10-12,0.0,29.23
2006-10-13,0.0,29.43
2006-10-16,0.0,29.41
2006-10-17,0.0,29.18
2006-10-18,0.0,29.3
2006-10-19,0.0,29.24
2006-10-20,0.0,29.31
2006-10-23,0.0,29.53
2006-10-24,0.0,29.66
2006-10-25,0.0,29.97
2006-10-26,0.0,30.43
2006-10-27,0.0,30.88
2006-10-30,0.0,30.73
2006-10-31,0.0,30.89
2006-11-01,0.0,31.03
2006-11-02,0.0,31.0
2006-11-03,0.0,30.94
2006-11-06,0.0,31.16
2006-11-07,0.0,31.09
2006-11-08,0.0,30.95
2006-11-09,0.0,31.04
2006-11-10,0.0,30.79
2006-11-13,0.0,31.18
2006-11-14,0.0,31.11
2006-11-16,0.0,31.65
2006-11-17,0.0,31.55
2006-11-21,0.0,31.65
2006-11-22,0.0,31.25
2006-11-23,0.0,31.3
2006-11-24,0.0,31.25
2006-11-27,0.0,30.79
2006-11-28,0.0,30.61
2006-11-29,0.0,30.95
2006-12-01,0.0,30.95
2006-12-04,0.0,30.95
2006-12-05,0.0,31.38
2006-12-06,0.0,31.26
2006-12-07,0.0,31.5
2006-12-08,0.0,31.6
2006-12-11,0.0,31.81
2006-12-12,0.0,31.84
2006-12-13,0.0,32.67
2006-12-14,0.0,32.83
2006-12-15,0.0,33.05
2006-12-19,0.0,32.86
2006-12-20,0.0,33.1
2006-12-21,0.0,32.86
2006-12-22,0.0,32.54
2006-12-27,0.0,32.54
2006-12-28,0.0,32.73
2006-12-29,0.0,32.56
2007-01-02,0.0,32.98
2007-01-03,0.0,33.1
2007-01-04,0.0,33.5
2007-01-05,0.0,33.8
2007-01-08,0.0,33.88
2007-01-09,0.0,34.32
2007-01-10,0.0,33.69
2007-01-11,0.0,34.23
2007-01-12,0.0,34.35
2007-01-15,0.0,34.37
2007-01-16,0.0,34.31
2007-01-17,0.0,34.24
2007-01-18,0.0,34.15
2007-01-19,0.0,34.32
2007-01-22,0.0,34.3
2007-01-23,0.0,33.93
2007-01-24,0.0,34.27
2007-01-25,0.0,34.21
2007-01-26,0.0,33.88
2007-01-29,0.0,33.72
2007-01-30,0.0,33.64
2007-01-31,0.0,33.55
2007-02-01,0.0,33.86
2007-02-02,0.0,33.68
2007-02-05,0.0,33.92
2007-02-06,0.0,33.95
2007-02-07,0.0,34.23
2007-02-08,0.0,34.07
2007-02-09,0.0,34.06
2007-02-12,0.0,34.16
2007-02-13,0.0,33.95
2007-02-14,0.0,33.92
2007-02-15,0.0,33.88
2007-02-16,0.0,33.91
2007-02-19,0.0,34.21
2007-02-20,0.0,34.02
2007-02-21,0.0,33.58
2007-02-22,0.0,33.4
2007-02-26,0.0,33.79
2007-02-27,0.0,33.04
2007-02-28,0.0,32.61
2007-03-01,0.0,31.95
2007-03-02,0.0,31.58
2007-03-05,0.0,31.24
2007-03-06,0.0,31.1
2007-03-07,0.0,31.33
2007-03-09,0.0,31.96
2007-03-12,0.0,31.73
2007-03-13,0.0,31.62
2007-03-14,0.0,30.9
2007-03-15,0.0,31.13
2007-03-16,0.0,31.41
2007-03-19,0.0,31.92
2007-03-20,0.0,32.07
2007-03-21,0.0,32.16
2007-03-22,0.0,32.42
2007-03-23,0.0,32.25
2007-03-26,0.0,31.96
2007-03-27,0.0,32.04
2007-03-28,0.0,31.89
2007-03-29,0.0,32.09
2007-03-30,0.0,31.71
2007-04-02,0.0,32.27
2007-04-03,0.0,32.68
2007-04-04,0.0,32.78
2007-04-05,0.0,32.59
2007-04-10,0.0,32.84
2007-04-11,0.0,32.83
2007-04-12,0.0,32.62
2007-04-13,0.0,32.83
2007-04-16,0.0,33.08
2007-04-17,0.0,33.25
2007-04-18,0.0,33.12
2007-04-19,0.0,33.0
2007-04-20,0.0,33.35
2007-04-23,0.0,33.3
2007-04-24,0.0,33.0
2007-04-25,0.0,33.04
2007-04-26,0.0,33.5
2007-04-27,0.0,33.31
2007-04-30,0.0,33.32
2007-05-02,0.0,33.23
2007-05-03,0.0,33.13
2007-05-04,0.0,33.44
2007-05-07,0.0,33.52
2007-05-08,0.0,33.28
2007-05-09,0.0,33.15
2007-05-10,0.0,33.07
2007-05-11,0.0,33.02
2007-05-14,0.0,33.08
2007-05-15,0.0,33.17
2007-05-16,0.0,32.99
2007-05-17,0.0,32.89
2007-05-18,0.0,33.19
2007-05-21,0.0,33.29
2007-05-22,0.0,33.53
2007-05-23,0.0,34.44
2007-05-24,0.0,34.43
2007-05-25,0.0,34.33
2007-05-28,0.0,34.28
2007-05-29,0.0,35.01
2007-05-30,0.0,34.98
2007-05-31,0.0,34.97
2007-06-01,0.0,35.72
2007-06-04,0.0,35.49
2007-06-05,0.0,35.24
2007-06-06,0.0,34.83
2007-06-07,0.0,34.57
2007-06-08,0.0,34.81
2007-06-11,0.0,34.59
2007-06-12,0.0,34.55
2007-06-14,0.0,35.21
2007-06-15,0.0,35.5
2007-06-18,0.0,35.3
2007-06-19,0.0,35.01
2007-06-20,0.0,35.18
2007-06-21,0.0,34.83
2007-06-22,0.0,34.57
2007-06-25,0.0,34.54
2007-06-26,0.0,34.76
2007-06-27,0.0,35.03
2007-06-28,0.0,35.35
2007-06-29,0.0,35.36
2007-07-02,0.0,35.21
2007-07-03,0.0,35.26
2007-07-04,0.0,35.4
2007-07-05,0.0,35.03
2007-07-06,0.0,35.16
2007-07-09,0.0,35.54
2007-07-10,0.0,35.63
2007-07-11,0.0,34.89
2007-07-12,0.0,35.18
2007-07-13,0.0,35.39
2007-07-16,0.0,35.49
2007-07-17,0.0,35.57
2007-07-18,0.0,35.29
2007-07-19,0.0,35.48
2007-07-20,0.0,35.09
2007-07-23,0.0,35.22
2007-07-24,0.0,34.64
2007-07-25,0.0,34.61
2007-07-27,0.0,33.58
2007-07-30,0.0,33.3
2007-07-31,0.0,33.72
2007-08-01,0.0,33.56
2007-08-02,0.0,34.39
2007-08-03,0.0,34.15
2007-08-06,0.0,33.75
2007-08-07,0.0,34.23
2007-08-08,0.0,34.91
2007-08-09,0.0,34.67
2007-08-10,0.0,33.54
2007-08-13,0.0,34.35
2007-08-14,0.0,34.29
2007-08-15,0.0,34.56
2007-08-16,0.0,33.39
2007-08-17,0.0,33.91
2007-08-20,0.0,34.25
2007-08-21,0.0,34.27
2007-08-22,0.0,34.47
2007-08-23,0.0,34.74
2007-08-24,0.0,34.79
2007-08-27,0.0,34.93
2007-08-28,0.0,34.5
2007-08-29,0.0,34.81
2007-08-30,0.0,35.08
2007-08-31,0.0,35.4
2007-09-03,0.0,35.69
2007-09-04,0.0,35.75
2007-09-05,0.0,35.16
2007-09-06,0.0,35.16
2007-09-07,0.0,34.94
2007-09-10,0.0,33.46
2007-09-11,0.0,33.66
2007-09-12,0.0,34.3
2007-09-13,0.0,35.29
2007-09-14,0.0,35.23
2007-09-17,0.0,34.66
2007-09-18,0.0,34.57
2007-09-19,0.0,34.92
2007-09-20,0.0,34.89
2007-09-21,0.0,35.21
2007-09-24,0.0,35.38
2007-09-25,0.0,35.0
2007-09-26,0.0,35.55
2007-09-27,0.0,35.74
2007-09-28,0.0,35.78
2007-10-01,0.0,35.99
2007-10-02,0.0,35.68
2007-10-03,0.0,35.24
2007-10-04,0.0,35.14
2007-10-05,0.0,35.36
2007-10-08,0.0,35.14
2007-10-09,0.0,35.25
2007-10-10,0.0,35.29
2007-10-11,0.0,36.68
2007-10-12,0.0,37.03
2007-10-15,0.0,36.65
2007-10-16,0.0,36.71
2007-10-17,0.0,36.81
2007-10-18,0.0,36.86
2007-10-19,0.0,36.89
2007-10-22,0.0,36.8
2007-10-23,0.0,36.97
2007-10-24,0.0,36.94
2007-10-25,0.0,38.1
2007-10-26,0.0,38.98
2007-10-29,0.0,38.88
2007-10-30,0.0,38.25
2007-10-31,0.0,38.56
2007-11-01,0.0,37.98
2007-11-02,0.0,38.27
2007-11-05,0.0,38.3
2007-11-06,0.0,38.68
2007-11-07,0.0,38.1
2007-11-08,0.0,37.87
2007-11-09,0.0,36.96
2007-11-12,0.0,37.36
2007-11-13,0.0,38.53
2007-11-14,0.0,38.12
2007-11-15,0.0,38.23
2007-11-16,0.0,38.11
2007-11-19,0.0,38.36
2007-11-20,0.0,38.28
2007-11-21,0.0,37.44
2007-11-22,0.0,37.61
2007-11-23,0.0,37.55
2007-11-26,0.0,37.46
2007-11-27,0.0,37.27
2007-11-28,0.0,37.81
2007-11-29,0.0,37.66
2007-11-30,1.0,37.81
2007-12-03,1.0,38.06
2007-12-04,1.0,37.99
2007-12-05,1.0,38.28
2007-12-06,1.0,37.83
2007-12-07,0.0,38.0
2007-12-10,0.0,37.94
2007-12-11,0.0,37.85
2007-12-12,0.0,38.03
2007-12-13,0.0,0.0
2007-12-14,0.0,37.45
2007-12-17,0.0,37.23
