DATE,EUDIV FP Equity_DX_SI_QTY,EUDIV FP Equity_DX_SHORT_INTEREST_VALUE,EUDIV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EUDIV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EUDIV FP Equity_DX_SI_MV,EUDIV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EUDIV FP Equity_DX_SUPPLY_SI_QTY,EUDIV FP Equity_DX_BROKER_SI_QTY,EUDIV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EUDIV FP Equity_DX_BROKER_SI_QTY_ADD,EUDIV FP Equity_DX_SUPPLY_SI_MV_DEC,EUDIV FP Equity_DX_SUPPLY_SI_QTY_DEC,EUDIV FP Equity_DX_BROKER_SI_MV_ADD,EUDIV FP Equity_DX_SUPPLY_SI_QTY_ADD,EUDIV FP Equity_DX_BROKER_SI_QTY_DEC,EUDIV FP Equity_DX_SUPPLY_SI_MV,EUDIV FP Equity_DX_BROKER_SI_MV_DEC,EUDIV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EUDIV FP Equity_DX_UTILIZATION_QUANTITY,EUDIV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EUDIV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EUDIV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EUDIV FP Equity_DX_ACTIVE_UTILIZATION_MV,EUDIV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EUDIV FP Equity_DX_BROKER_SI_CON_RATIO,EUDIV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EUDIV FP Equity_DX_DEMAND_SUPPLY_RATIO,EUDIV FP Equity_PX_LAST
2013-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.62
2013-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.42
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.74
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.18
2013-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5
2013-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.26
2013-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.89
2013-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.37
2013-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.72
2013-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.09
2013-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.39
2013-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.9
2013-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.08
2013-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.66
2013-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.16
