DATE,ODET FP Equity_DX_SI_QTY,ODET FP Equity_DX_SHORT_INTEREST_VALUE,ODET FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ODET FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ODET FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ODET FP Equity_DX_SI_MV,ODET FP Equity_DX_DSS,ODET FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ODET FP Equity_DX_SUPPLY_SI_QTY,ODET FP Equity_DX_BROKER_SI_QTY,ODET FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ODET FP Equity_DX_BROKER_SI_MV_NEW_x,ODET FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ODET FP Equity_DX_SUPPLY_SI_QTY_INC_x,ODET FP Equity_DX_BROKER_SI_MV_INC_x,ODET FP Equity_DX_SUPPLY_SI_MV_NEW,ODET FP Equity_DX_BROKER_SI_QTY_ADD,ODET FP Equity_DX_BROKER_SI_QTY_NEW,ODET FP Equity_DX_SUPPLY_SI_MV_DEC,ODET FP Equity_DX_BROKER_SI_QTY_INC,ODET FP Equity_DX_SUPPLY_SI_QTY_DEC,ODET FP Equity_DX_BROKER_SI_MV_NEW_y,ODET FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ODET FP Equity_DX_BROKER_SI_MV_INC_y,ODET FP Equity_DX_SUPPLY_SI_QTY_INC_y,ODET FP Equity_DX_BROKER_SI_MV_ADD,ODET FP Equity_DX_SUPPLY_SI_QTY_ADD,ODET FP Equity_DX_BROKER_SI_QTY_DEC,ODET FP Equity_DX_SUPPLY_SI_MV,ODET FP Equity_DX_BROKER_SI_MV_DEC,ODET FP Equity_DX_SUPPLY_SI_MV_RMV,ODET FP Equity_DX_BROKER_SI_MV_RMV,ODET FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ODET FP Equity_DX_UTILIZATION_QUANTITY,ODET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ODET FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ODET FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ODET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ODET FP Equity_DX_ACTIVE_UTILIZATION_MV,ODET FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ODET FP Equity_DX_BROKER_SI_CON_RATIO,ODET FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ODET FP Equity_DX_DEMAND_SUPPLY_RATIO,ODET FP Equity_PX_LAST
2006-07-03,22916.0,6694723.07,1.76,12.58,0.35,6.37,0.0,6116574.31,1979.0,20937.0,578148.76,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.07,0.0,244.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.98,1.98,97897.0,28599812.53,0.0,27.24,1.98,6.31,0.7982,89.07,0.2294,296.0
2006-07-04,22922.0,6719099.15,1.76,13.14,0.35,6.38,0.0,6137238.41,1985.0,20937.0,581860.74,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.98,1.98,98031.0,28735712.78,0.0,27.32,2.0,6.38,0.7963,88.96,0.2292,297.0
2006-07-05,22939.0,6674274.32,1.76,13.67,0.35,6.38,0.0,6091777.38,2002.0,20937.0,582496.93,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.89,1.89,103807.0,30203426.23,0.0,28.96,1.91,6.43,0.7952,88.9,0.2168,294.8
2006-07-06,22910.0,6550518.48,1.76,14.08,0.35,6.37,0.0,5986390.46,1973.0,20937.0,564128.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.87,1.87,103420.0,29570258.47,0.0,28.83,1.88,6.32,0.7978,89.05,0.2174,289.7
2006-07-07,22884.0,6730545.98,1.75,13.89,0.35,6.37,0.0,6157902.51,1947.0,20937.0,572643.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.82,1.82,105071.0,30903041.26,0.0,29.32,1.84,6.27,0.7995,89.15,0.2138,298.0
2006-07-10,22945.0,6705459.77,1.76,13.62,0.35,6.39,0.0,6118640.72,2008.0,20937.0,586819.06,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.88,1.88,104954.0,30671816.3,0.0,29.3,1.89,6.45,0.7946,88.86,0.2145,296.1
2006-07-11,22918.0,6670426.14,1.76,13.66,0.35,6.38,0.0,6093843.79,1981.0,20937.0,576582.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.85,1.85,104931.0,30540818.8,0.0,29.28,1.87,6.36,0.7968,88.99,0.2144,294.9
2006-07-12,22925.0,6670200.91,1.76,13.74,0.35,6.38,0.0,6091777.38,1988.0,20937.0,578423.53,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.8,1.8,108193.0,31479565.87,0.0,30.18,1.82,6.38,0.7965,88.97,0.2081,294.8
2006-07-13,22917.0,6446213.97,1.76,13.51,0.35,6.37,0.0,5889269.18,1980.0,20937.0,556944.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.79,1.79,108439.0,30502290.72,0.0,30.21,1.8,6.34,0.7975,89.03,0.2075,285.0
2006-07-14,22868.0,6497883.8,1.75,13.33,0.35,6.35,0.0,5949195.08,1931.0,20937.0,548688.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,1.75,1.75,108687.0,30883133.47,0.0,30.27,1.75,6.19,0.802,89.3,0.2067,287.9
