DATE,ARAMI FP Equity_DX_SI_QTY,ARAMI FP Equity_DX_SHORT_INTEREST_VALUE,ARAMI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ARAMI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ARAMI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ARAMI FP Equity_DX_SI_MV,ARAMI FP Equity_DX_DSS,ARAMI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ARAMI FP Equity_DX_SUPPLY_SI_QTY,ARAMI FP Equity_DX_BROKER_SI_QTY,ARAMI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ARAMI FP Equity_DX_BROKER_SI_MV_NEW_x,ARAMI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ARAMI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ARAMI FP Equity_DX_BROKER_SI_MV_INC_x,ARAMI FP Equity_DX_SUPPLY_SI_MV_NEW,ARAMI FP Equity_DX_BROKER_SI_QTY_ADD,ARAMI FP Equity_DX_BROKER_SI_QTY_NEW,ARAMI FP Equity_DX_SUPPLY_SI_MV_DEC,ARAMI FP Equity_DX_BROKER_SI_QTY_INC,ARAMI FP Equity_DX_SUPPLY_SI_QTY_DEC,ARAMI FP Equity_DX_BROKER_SI_MV_NEW_y,ARAMI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ARAMI FP Equity_DX_BROKER_SI_MV_INC_y,ARAMI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ARAMI FP Equity_DX_BROKER_SI_MV_ADD,ARAMI FP Equity_DX_SUPPLY_SI_QTY_ADD,ARAMI FP Equity_DX_BROKER_SI_QTY_DEC,ARAMI FP Equity_DX_SUPPLY_SI_MV,ARAMI FP Equity_DX_BROKER_SI_MV_DEC,ARAMI FP Equity_DX_SUPPLY_SI_MV_RMV,ARAMI FP Equity_DX_BROKER_SI_MV_RMV,ARAMI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ARAMI FP Equity_DX_UTILIZATION_QUANTITY,ARAMI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ARAMI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ARAMI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ARAMI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ARAMI FP Equity_DX_ACTIVE_UTILIZATION_MV,ARAMI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ARAMI FP Equity_DX_BROKER_SI_CON_RATIO,ARAMI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ARAMI FP Equity_DX_DEMAND_SUPPLY_RATIO,ARAMI FP Equity_PX_LAST
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051453.0,46157692.5,0.0,46.31,0.0,0.0,0.0,0.0,0.0,22.5
2021-06-22,424051.0,9117096.5,0.51,4.49,0.51,9.52,0.0,5341847.0,248458.0,248458.0,5341847.0,0.0,0.0,0.0,0.0,0.0,248458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,248458.0,0.0,5.5,0.0,0.0,0.0,12.11,12.11,1802995.0,38764392.5,0.0,40.38,11.99,0.0,1.0,100.0,0.2067,21.5
2021-06-23,580395.0,12536532.0,0.7,5.63,0.7,12.57,0.0,8743723.2,404802.0,404802.0,8743723.2,0.0,0.0,12735.0,0.04,0.0,143609.0,0.0,0.0,12735.0,0.0,0.0,0.0,0.04,12735.0,3.19,143609.0,0.0,8.7,0.0,0.0,0.0,19.73,19.73,1646651.0,35567661.6,0.0,35.33,19.76,25.35,0.6215,74.65,0.2829,21.6
2021-06-24,892760.0,19328254.0,1.08,8.29,1.08,19.33,1.0,12404973.7,572978.0,572978.0,12404973.7,0.0,0.0,23987.0,0.46,0.0,144351.0,0.0,0.0,23987.0,162.0,0.0,0.0,0.46,23987.0,3.12,144351.0,162.0,12.39,0.0,0.0,0.0,27.93,27.93,1478475.0,32008983.75,0.0,31.97,27.93,32.27,0.3785,48.86,0.4352,21.65
2021-06-25,882691.0,19286798.35,1.07,8.02,1.07,19.1,1.0,9982412.85,456861.0,456861.0,9982412.85,0.0,0.0,250000.0,1.12,0.0,0.0,0.0,7.91,51479.0,366117.0,0.0,0.0,1.12,250000.0,0.0,0.0,167596.0,9.89,3.65,0.0,0.0,22.27,22.27,1594592.0,34841835.2,0.0,34.52,22.27,39.84,0.5206,60.16,0.4303,21.85
2021-06-28,914155.0,20111410.0,1.53,8.14,1.1,19.98,1.0,10743150.0,456861.0,488325.0,10050942.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,31464.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,22.52,22.52,1571976.0,34583472.0,0.0,34.42,22.52,41.92,0.5131,58.08,0.4506,22.0
2021-06-29,408863.0,8892770.25,0.68,3.6,0.49,9.01,0.0,5238400.5,168017.0,240846.0,3654369.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.39,9901.0,292657.0,0.0,0.0,0.25,0.0,0.0,3813.0,257380.0,3.7,5.61,0.0,0.0,8.33,8.33,1848981.0,40215336.75,0.0,40.72,8.34,11.58,0.7952,88.42,0.2027,21.75
2021-06-30,402195.0,8647192.5,0.67,3.5,0.49,8.77,0.0,5151593.5,162586.0,239609.0,3495599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,476.0,5431.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.0,3.55,0.04,0.0,0.0,8.08,8.08,1848492.0,39742578.0,0.0,40.32,8.09,10.93,0.8053,89.07,0.2,21.5
