DATE,EEE FP Equity_DX_SI_QTY,EEE FP Equity_DX_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEE FP Equity_DX_SI_MV,EEE FP Equity_DX_DSS,EEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY,EEE FP Equity_DX_BROKER_SI_QTY,EEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEE FP Equity_DX_BROKER_SI_MV_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_x,EEE FP Equity_DX_BROKER_SI_MV_INC_x,EEE FP Equity_DX_SUPPLY_SI_MV_NEW,EEE FP Equity_DX_BROKER_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_NEW,EEE FP Equity_DX_SUPPLY_SI_MV_DEC,EEE FP Equity_DX_BROKER_SI_QTY_INC,EEE FP Equity_DX_SUPPLY_SI_QTY_DEC,EEE FP Equity_DX_BROKER_SI_MV_NEW_y,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EEE FP Equity_DX_BROKER_SI_MV_INC_y,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_y,EEE FP Equity_DX_BROKER_SI_MV_ADD,EEE FP Equity_DX_SUPPLY_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_DEC,EEE FP Equity_DX_SUPPLY_SI_MV,EEE FP Equity_DX_BROKER_SI_MV_DEC,EEE FP Equity_DX_SUPPLY_SI_MV_RMV,EEE FP Equity_DX_BROKER_SI_MV_RMV,EEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEE FP Equity_DX_UTILIZATION_QUANTITY,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEE FP Equity_DX_ACTIVE_UTILIZATION_MV,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEE FP Equity_DX_BROKER_SI_CON_RATIO,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEE FP Equity_DX_DEMAND_SUPPLY_RATIO,EEE FP Equity_PX_LAST
2006-07-03,34041.0,5136018.33,4.72,2.23,7.85,0.0,609695.66,30000.0,4041.0,4526322.67,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,30000.0,0.0,6.91,0.0,0.0,0.0,99.87,99.87,39.0,5884.22,0.0,0.01,99.87,11.41,0.7874,88.0,1.1332,230.11
2006-07-04,34036.0,5210917.09,4.56,2.23,7.93,0.0,617912.25,30000.0,4036.0,4593004.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.01,0.0,0.0,0.0,99.87,99.87,39.0,5970.91,0.0,0.01,99.87,11.13,0.7919,88.29,1.1331,233.5
2006-07-05,34036.0,5080365.2,4.47,2.23,7.95,0.0,602431.37,30000.0,4036.0,4477933.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0,99.87,99.87,39.0,5821.31,0.0,0.01,99.87,11.28,0.7897,88.14,1.1331,227.65
2006-07-06,34043.0,5101945.51,4.13,2.21,7.81,0.0,605915.04,30000.0,4043.0,4496030.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87,0.0,0.0,0.0,99.87,99.87,40.0,5994.71,0.0,0.01,99.87,11.49,0.786,87.91,1.1333,228.57
2006-07-07,33839.0,5056506.95,4.09,2.17,7.72,0.0,573655.55,30000.0,3839.0,4482851.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,6.83,0.05,0.0,0.0,99.87,99.87,40.0,5977.14,0.0,0.01,99.87,11.59,0.795,88.41,1.1265,227.9
2006-07-10,33170.0,5005256.56,3.96,2.13,7.62,0.0,478343.78,30000.0,3170.0,4526912.78,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,1862.0,6.9,0.45,0.0,0.0,99.87,99.87,40.0,6035.88,0.0,0.01,99.87,5.91,0.8238,90.5,1.1042,230.14
2006-07-11,33164.0,5012179.31,4.25,2.13,7.66,0.0,478185.24,30000.0,3164.0,4533994.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.93,0.0,0.0,0.0,99.87,99.87,40.0,6045.33,0.0,0.01,99.87,5.9,0.8242,90.52,1.104,230.5
2006-07-12,41300.0,6286208.69,5.2,2.65,9.59,0.0,1719955.41,30000.0,11300.0,4566253.29,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,8136.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,99.87,99.87,39.0,5936.13,0.0,0.01,99.87,22.57,0.5813,72.67,1.3749,232.14
2006-07-13,40045.0,6040048.42,5.19,2.57,9.22,0.0,1515102.67,30000.0,10045.0,4524945.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.0,6.91,0.31,0.0,0.0,99.87,99.87,40.0,6033.26,0.0,0.01,99.87,20.15,0.6037,74.87,1.3331,230.04
2006-07-14,40034.0,5993240.47,5.23,2.57,9.15,0.0,1502127.56,30000.0,10034.0,4491112.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.86,0.02,0.0,0.0,99.87,99.87,40.0,5988.15,0.0,0.01,99.87,20.12,0.604,74.9,1.3327,228.32
