DATE,MLGEQ FP Equity_DX_SI_QTY,MLGEQ FP Equity_DX_SHORT_INTEREST_VALUE,MLGEQ FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLGEQ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLGEQ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLGEQ FP Equity_DX_SI_MV,MLGEQ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLGEQ FP Equity_DX_SUPPLY_SI_QTY,MLGEQ FP Equity_DX_BROKER_SI_QTY,MLGEQ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLGEQ FP Equity_DX_SUPPLY_SI_MV,MLGEQ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLGEQ FP Equity_DX_UTILIZATION_QUANTITY,MLGEQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLGEQ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLGEQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLGEQ FP Equity_DX_ACTIVE_UTILIZATION_MV,MLGEQ FP Equity_DX_BROKER_SI_CON_RATIO,MLGEQ FP Equity_DX_DEMAND_SUPPLY_RATIO,MLGEQ FP Equity_PX_LAST
2015-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2015-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
2015-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
2015-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2015-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
2015-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2015-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
2015-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
2015-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
2015-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
2015-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
2015-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
2015-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2015-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
2015-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
