DATE,CEN FP Equity_DX_SI_QTY,CEN FP Equity_DX_SHORT_INTEREST_VALUE,CEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEN FP Equity_DX_SI_MV,CEN FP Equity_DX_DSS,CEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEN FP Equity_DX_SUPPLY_SI_QTY,CEN FP Equity_DX_BROKER_SI_QTY,CEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEN FP Equity_DX_BROKER_SI_MV_NEW_x,CEN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEN FP Equity_DX_BROKER_SI_MV_INC_x,CEN FP Equity_DX_SUPPLY_SI_MV_NEW,CEN FP Equity_DX_BROKER_SI_QTY_ADD,CEN FP Equity_DX_BROKER_SI_QTY_NEW,CEN FP Equity_DX_SUPPLY_SI_MV_DEC,CEN FP Equity_DX_BROKER_SI_QTY_INC,CEN FP Equity_DX_SUPPLY_SI_QTY_DEC,CEN FP Equity_DX_BROKER_SI_MV_NEW_y,CEN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CEN FP Equity_DX_BROKER_SI_MV_INC_y,CEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEN FP Equity_DX_BROKER_SI_MV_ADD,CEN FP Equity_DX_SUPPLY_SI_QTY_ADD,CEN FP Equity_DX_BROKER_SI_QTY_DEC,CEN FP Equity_DX_SUPPLY_SI_MV,CEN FP Equity_DX_BROKER_SI_MV_DEC,CEN FP Equity_DX_SUPPLY_SI_MV_RMV,CEN FP Equity_DX_BROKER_SI_MV_RMV,CEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEN FP Equity_DX_UTILIZATION_QUANTITY,CEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEN FP Equity_DX_ACTIVE_UTILIZATION_MV,CEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEN FP Equity_DX_BROKER_SI_CON_RATIO,CEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEN FP Equity_DX_DEMAND_SUPPLY_RATIO,CEN FP Equity_PX_LAST
2006-07-03,9546.0,292725.69,0.29,1.13,0.08,0.33,0.0,283035.63,2177.0,9230.0,66757.16,0.0,0.0,627.0,0.03,0.0,0.0,0.0,0.0,739.0,0.0,0.0,0.0,0.03,627.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.86,0.86,250571.0,7683696.79,0.0,8.62,0.87,31.74,0.3547,44.36,0.0378,34.79
2006-07-04,10940.0,335375.92,0.34,1.55,0.1,0.38,0.0,282954.28,3688.0,9230.0,113059.09,0.0,0.0,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.43,1.43,254363.0,7797735.5,0.0,8.84,1.43,31.79,0.3546,44.34,0.0424,34.78
2006-07-05,10939.0,334573.92,0.34,1.61,0.1,0.38,0.0,282303.43,3674.0,9230.0,112370.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.42,1.42,255054.0,7800933.89,0.0,8.87,1.43,32.05,0.3546,44.22,0.0423,34.7
2006-07-06,10893.0,348049.09,0.34,1.6,0.1,0.39,0.0,294913.53,3595.0,9230.0,114866.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.44,1.44,246525.0,7876875.15,0.0,8.71,1.45,31.5,0.3574,45.11,0.0436,36.25
2006-07-07,10949.0,348197.76,0.34,1.57,0.1,0.39,0.0,293530.49,3713.0,9230.0,118080.03,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.48,1.48,247026.0,7855868.02,0.0,8.89,1.48,32.51,0.3561,44.4,0.0437,36.08
2006-07-10,10948.0,352218.88,0.34,1.58,0.1,0.4,0.0,296947.42,3691.0,9230.0,118746.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.48,1.48,246414.0,7927627.34,0.0,8.91,1.48,32.17,0.3575,44.86,0.0438,36.5
2006-07-11,10933.0,358674.66,0.34,1.55,0.1,0.4,0.0,302805.01,3679.0,9230.0,120695.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.47,1.47,245924.0,8067932.69,0.0,9.02,1.47,32.21,0.3584,45.06,0.0438,37.22
2006-07-12,10951.0,366794.12,0.34,1.45,0.1,0.41,0.0,309150.73,3700.0,9230.0,123928.25,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.48,1.48,246955.0,8271540.56,0.0,9.22,1.47,32.27,0.3601,45.4,0.0437,38.0
2006-07-13,10974.0,365146.29,0.34,1.05,0.1,0.41,0.0,307116.85,3758.0,9230.0,125042.81,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.5,1.5,246285.0,8194829.11,0.0,9.28,1.49,32.84,0.359,44.9,0.0439,37.75
2006-07-14,13022.0,435242.21,0.4,1.21,0.12,0.49,0.0,341923.5,4790.0,10230.0,160099.08,0.0,0.0,1032.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.04,0.0,0.0,0.18,0.0,0.0,0.0,1.93,1.93,243861.0,8150714.15,0.0,9.16,1.92,29.39,0.3822,50.56,0.0524,37.92
