DATE,ALHIT FP Equity_DX_SI_QTY,ALHIT FP Equity_DX_SHORT_INTEREST_VALUE,ALHIT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHIT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHIT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHIT FP Equity_DX_SI_MV,ALHIT FP Equity_DX_DSS,ALHIT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHIT FP Equity_DX_SUPPLY_SI_QTY,ALHIT FP Equity_DX_BROKER_SI_QTY,ALHIT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHIT FP Equity_DX_BROKER_SI_MV_INC_x,ALHIT FP Equity_DX_BROKER_SI_QTY_ADD,ALHIT FP Equity_DX_BROKER_SI_QTY_INC,ALHIT FP Equity_DX_BROKER_SI_MV_INC_y,ALHIT FP Equity_DX_BROKER_SI_MV_ADD,ALHIT FP Equity_DX_SUPPLY_SI_MV,ALHIT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHIT FP Equity_DX_UTILIZATION_QUANTITY,ALHIT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHIT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHIT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHIT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHIT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHIT FP Equity_DX_BROKER_SI_CON_RATIO,ALHIT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHIT FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHIT FP Equity_PX_LAST
2006-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1
2006-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85
2006-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59
2006-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29
2006-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69
2006-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53
2006-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2006-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9
2006-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8
2006-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89
