DATE,ALMRB FP Equity_DX_SI_QTY,ALMRB FP Equity_DX_SHORT_INTEREST_VALUE,ALMRB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMRB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMRB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMRB FP Equity_DX_SI_MV,ALMRB FP Equity_DX_DSS,ALMRB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMRB FP Equity_DX_SUPPLY_SI_QTY,ALMRB FP Equity_DX_BROKER_SI_QTY,ALMRB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMRB FP Equity_DX_BROKER_SI_MV_NEW_x,ALMRB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALMRB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMRB FP Equity_DX_BROKER_SI_MV_INC_x,ALMRB FP Equity_DX_SUPPLY_SI_MV_NEW,ALMRB FP Equity_DX_BROKER_SI_QTY_ADD,ALMRB FP Equity_DX_BROKER_SI_QTY_NEW,ALMRB FP Equity_DX_SUPPLY_SI_MV_DEC,ALMRB FP Equity_DX_BROKER_SI_QTY_INC,ALMRB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMRB FP Equity_DX_BROKER_SI_MV_NEW_y,ALMRB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALMRB FP Equity_DX_BROKER_SI_MV_INC_y,ALMRB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMRB FP Equity_DX_BROKER_SI_MV_ADD,ALMRB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMRB FP Equity_DX_BROKER_SI_QTY_DEC,ALMRB FP Equity_DX_SUPPLY_SI_MV,ALMRB FP Equity_DX_BROKER_SI_MV_DEC,ALMRB FP Equity_DX_SUPPLY_SI_MV_RMV,ALMRB FP Equity_DX_BROKER_SI_MV_RMV,ALMRB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMRB FP Equity_DX_UTILIZATION_QUANTITY,ALMRB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMRB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMRB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMRB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMRB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMRB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMRB FP Equity_DX_BROKER_SI_CON_RATIO,ALMRB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMRB FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMRB FP Equity_PX_LAST
2006-07-03,162224.0,1644997.52,3.45,30.36,1.52,2.51,1.0,1556391.71,9179.0,153486.0,93077.67,0.0,0.0,781.0,0.1,0.0,100.0,0.0,0.0,18139.0,0.0,0.0,0.0,0.1,781.0,0.0,0.0,156964.0,0.14,2.65,0.0,0.0,11.06,9.98,73808.0,748434.12,0.0,0.0,0.0,2.21,0.9556,97.73,1.7641,15.0
2006-07-04,157387.0,1574669.64,3.34,28.84,1.47,2.44,1.0,1487165.21,9182.0,148641.0,91866.65,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,4845.0,0.14,0.07,0.0,0.0,11.06,9.98,73857.0,738945.25,0.0,0.0,0.0,2.28,0.9542,97.65,1.7106,14.8
2006-07-05,153745.0,1517444.23,3.27,28.44,1.44,2.3,1.0,1517444.23,445.0,153745.0,4392.1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.14,5104.0,8746.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.52,0.47,85819.0,847022.97,0.0,0.0,0.0,2.2,0.9557,97.73,1.6144,14.6
2006-07-06,155541.0,1566715.13,3.3,28.9,1.46,2.27,1.0,1566715.13,449.0,155541.0,4522.63,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1796.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.51,0.46,87757.0,883948.41,0.0,0.0,0.0,2.18,0.9562,97.76,1.6006,14.9
2006-07-07,3486.0,34524.22,0.07,0.64,0.03,0.05,0.0,34524.22,450.0,3486.0,4456.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152055.0,0.01,2.22,0.0,0.0,0.47,0.47,95407.0,944880.2,0.0,1.42,0.47,2.87,0.9443,97.13,0.0364,14.65
2006-07-10,3486.0,34429.96,0.07,0.65,0.03,0.05,0.0,34429.96,444.0,3486.0,4385.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.46,0.46,95643.0,944631.2,0.0,1.42,0.46,2.83,0.9451,97.17,0.0363,14.61
2006-07-11,3486.0,34100.03,0.07,0.66,0.03,0.05,0.0,34100.03,442.0,3486.0,4323.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.46,0.46,95635.0,935501.04,0.0,1.42,0.46,2.82,0.9452,97.18,0.0363,14.47
2006-07-12,3486.0,34642.05,0.07,0.66,0.03,0.05,0.0,34642.05,439.0,3486.0,4362.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.44,0.44,98552.0,979358.41,0.0,1.46,0.44,2.8,0.9456,97.2,0.0352,14.7
2006-07-13,3486.0,35938.18,0.07,0.67,0.03,0.05,0.0,35938.18,450.0,3486.0,4639.18,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.45,0.45,100006.0,1030990.78,0.0,1.47,0.45,2.87,0.9443,97.13,0.0347,15.25
2006-07-14,3486.0,35584.69,0.07,0.74,0.03,0.05,0.0,35584.69,465.0,3486.0,4746.67,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.46,0.46,99614.0,1016848.4,0.0,1.47,0.46,2.96,0.9425,97.04,0.0348,15.1
