DATE,MF FP Equity_DX_SI_QTY,MF FP Equity_DX_SHORT_INTEREST_VALUE,MF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MF FP Equity_DX_SI_MV,MF FP Equity_DX_DSS,MF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MF FP Equity_DX_SUPPLY_SI_QTY,MF FP Equity_DX_BROKER_SI_QTY,MF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MF FP Equity_DX_BROKER_SI_MV_NEW_x,MF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MF FP Equity_DX_SUPPLY_SI_QTY_INC_x,MF FP Equity_DX_BROKER_SI_MV_INC_x,MF FP Equity_DX_SUPPLY_SI_MV_NEW,MF FP Equity_DX_BROKER_SI_QTY_ADD,MF FP Equity_DX_BROKER_SI_QTY_NEW,MF FP Equity_DX_SUPPLY_SI_MV_DEC,MF FP Equity_DX_BROKER_SI_QTY_INC,MF FP Equity_DX_SUPPLY_SI_QTY_DEC,MF FP Equity_DX_BROKER_SI_MV_NEW_y,MF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MF FP Equity_DX_BROKER_SI_MV_INC_y,MF FP Equity_DX_SUPPLY_SI_QTY_INC_y,MF FP Equity_DX_BROKER_SI_MV_ADD,MF FP Equity_DX_SUPPLY_SI_QTY_ADD,MF FP Equity_DX_BROKER_SI_QTY_DEC,MF FP Equity_DX_SUPPLY_SI_MV,MF FP Equity_DX_BROKER_SI_MV_DEC,MF FP Equity_DX_SUPPLY_SI_MV_RMV,MF FP Equity_DX_BROKER_SI_MV_RMV,MF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MF FP Equity_DX_UTILIZATION_QUANTITY,MF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MF FP Equity_DX_ACTIVE_UTILIZATION_MV,MF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MF FP Equity_DX_BROKER_SI_CON_RATIO,MF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MF FP Equity_DX_DEMAND_SUPPLY_RATIO,MF FP Equity_PX_LAST
2006-07-03,498546.0,37089442.42,1.6,6.94,0.91,46.55,0.0,18441311.84,371725.0,247883.0,27654565.44,0.0,11221.0,0.0,0.22,1.05,0.0,0.0,0.06,450.0,5844.0,0.0,11221.0,0.22,0.0,0.0,0.0,18153.0,34.59,1.33,0.31,0.0,23.4,23.4,1217023.0,90540701.32,3454.0,112.58,23.5,15.38,0.132,20.47,0.3138,94.05
2006-07-04,495485.0,37332043.59,1.59,7.32,0.91,46.95,0.0,18459841.71,360643.0,245006.0,27172447.59,0.0,0.0,100.0,0.27,0.0,0.0,0.0,0.78,1720.0,11183.0,0.0,0.0,0.27,100.0,0.0,0.0,4597.0,34.18,0.44,0.0,0.0,22.76,22.76,1223685.0,92197870.29,0.0,114.76,22.95,15.79,0.1346,20.96,0.3127,95.25
2006-07-05,454969.0,33811532.79,1.46,7.38,0.83,43.0,0.0,17532734.38,335476.0,235921.0,24931276.14,0.0,2947.0,8588.0,0.0,0.28,0.0,0.0,3.42,234.0,36702.0,0.0,2947.0,0.0,8588.0,0.0,0.0,9319.0,31.69,0.8,0.0,0.0,20.74,20.74,1281978.0,95271636.49,0.0,120.98,20.76,17.38,0.1535,23.5,0.2813,93.95
2006-07-06,418577.0,31256016.23,1.35,6.97,0.77,39.46,0.0,17647477.25,286666.0,236333.0,21405947.17,0.0,0.0,8.0,0.09,0.0,0.0,0.0,3.29,1165.0,34767.0,0.0,0.0,0.09,8.0,0.0,0.0,752.0,27.0,0.07,1.33,0.0,18.04,18.04,1302830.0,97285029.1,14051.0,122.5,18.06,19.28,0.1673,25.58,0.2633,94.4
2006-07-07,415404.0,30756208.14,1.34,7.01,0.76,39.09,0.0,17163857.18,287075.0,231821.0,21254822.9,0.0,0.0,1880.0,0.0,0.0,0.0,0.0,0.12,0.0,1471.0,0.0,0.0,0.0,1880.0,0.0,0.0,4513.0,26.99,0.41,0.0,0.0,18.03,18.03,1305334.0,96645974.03,0.0,122.63,18.04,19.23,0.1681,25.86,0.2609,93.6
2006-07-10,416260.0,30934829.93,1.34,7.24,0.76,39.12,0.0,17267723.08,288620.0,232355.0,21449119.82,0.0,0.0,306.0,0.04,0.0,0.0,0.0,0.05,534.0,371.0,0.0,0.0,0.04,306.0,0.0,1610.0,0.0,27.11,0.0,0.0,0.0,18.1,18.1,1306225.0,97073579.56,0.0,122.85,18.08,19.3,0.1683,25.89,0.261,93.95
2006-07-11,411289.0,30402736.01,1.32,7.24,0.75,38.57,0.0,17137090.2,280267.0,231831.0,20717509.13,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.81,0.0,8451.0,0.0,0.0,0.0,98.0,0.0,0.0,524.0,26.26,0.06,0.0,0.0,17.56,17.56,1315961.0,97276647.04,0.0,123.42,17.54,19.37,0.1702,26.1,0.2577,93.45
2006-07-12,412172.0,30353895.53,1.33,7.35,0.75,38.47,0.0,16921273.84,283265.0,229772.0,20860699.46,0.0,2947.0,511.0,0.18,0.27,0.0,0.0,0.07,2285.0,459.0,0.0,2947.0,0.18,511.0,0.0,0.0,4344.0,26.42,0.43,0.0,0.0,17.52,17.52,1333495.0,98203584.7,0.0,124.37,17.52,19.5,0.1672,26.15,0.2549,93.1
2006-07-13,413208.0,29678424.21,1.33,7.36,0.76,38.04,0.0,16695586.02,287987.0,232450.0,20684498.73,0.0,0.0,7669.0,0.14,0.0,0.0,0.0,0.0,2678.0,0.0,0.0,0.0,0.14,7669.0,0.0,0.0,0.0,26.49,0.0,0.27,0.0,17.88,17.88,1322608.0,94995550.15,2947.0,122.0,17.84,19.55,0.1668,26.05,0.2566,90.8
2006-07-14,413165.0,29446561.14,1.33,7.57,0.76,37.44,0.0,16546135.78,288446.0,232159.0,20557749.99,0.0,0.0,1246.0,0.0,0.0,300.0,0.0,0.22,57.0,787.0,0.0,0.0,0.0,1246.0,0.03,0.0,647.0,26.11,0.17,0.0,0.0,17.82,17.82,1330626.0,94834654.12,0.0,121.32,17.71,19.36,0.1674,26.33,0.2552,90.1
2006-07-17,416740.0,28679442.74,1.34,7.98,0.76,36.98,0.0,16112624.87,292441.0,234132.0,20125365.73,0.0,0.0,3995.0,0.03,0.0,0.0,0.0,0.0,1973.0,0.0,0.0,0.0,0.03,3995.0,0.0,0.0,0.0,25.93,0.0,0.0,0.0,17.98,17.98,1334346.0,91827757.6,0.0,119.58,17.82,19.47,0.1665,26.24,0.2562,87.0
2006-07-18,412112.0,28572842.65,1.33,7.97,0.75,36.09,0.0,15913452.08,293704.0,229523.0,20363294.87,0.0,0.0,3591.0,0.01,0.0,0.0,0.0,0.33,197.0,2328.0,0.0,0.0,0.01,3591.0,0.0,0.0,4805.0,25.71,0.61,0.0,0.0,17.93,17.93,1344084.0,93188989.0,0.0,119.46,17.71,19.23,0.1701,27.0,0.2516,87.65
2006-07-19,357359.0,25681236.14,1.15,7.27,0.65,31.73,0.0,12564840.09,271975.0,174842.0,19545203.0,0.0,2947.0,0.0,0.21,0.27,0.0,0.0,1.99,1319.0,24676.0,0.0,2947.0,0.21,0.0,0.0,0.0,56000.0,24.16,4.87,0.0,0.0,16.63,16.63,1363549.0,97990043.23,0.0,121.37,16.6,22.61,0.1898,31.25,0.2185,90.85
2006-07-20,361011.0,25729508.76,1.16,7.76,0.66,32.59,0.0,12700796.12,273871.0,178205.0,19518979.46,0.0,0.0,5646.0,0.43,0.0,0.0,0.0,0.0,3363.0,803.0,0.0,0.0,0.43,5646.0,0.0,0.0,0.0,24.75,0.0,0.27,0.0,17.0,17.0,1337453.0,95321219.23,2947.0,120.93,16.99,22.85,0.1862,30.19,0.224,90.1
2006-07-21,361607.0,25543156.03,1.16,8.15,0.66,32.4,0.0,12614726.58,278819.0,178583.0,19695186.27,0.0,0.0,4948.0,0.03,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.03,4948.0,0.0,0.0,65.0,24.98,0.06,0.0,0.0,17.23,17.23,1338990.0,94583430.34,0.0,120.28,17.2,22.78,0.1859,30.18,0.2235,89.3
2006-07-24,384654.0,27673190.0,1.24,8.78,0.7,34.59,0.0,14553219.93,259571.0,202288.0,18674334.86,0.0,0.0,0.0,2.16,0.0,0.0,0.0,1.66,24583.0,19249.0,0.0,0.0,2.16,0.0,0.0,0.0,877.0,23.38,0.06,0.0,0.0,16.07,16.07,1355659.0,97530271.56,0.0,122.43,16.03,21.02,0.1722,28.37,0.2381,90.95
2006-07-25,361993.0,26329230.98,1.16,8.47,0.66,33.04,0.0,14369128.37,241501.0,197557.0,17565355.16,0.0,0.0,0.0,0.21,0.0,0.0,0.0,1.39,1022.0,18070.0,0.0,0.0,0.21,0.0,0.0,0.0,5753.0,22.11,0.49,0.0,0.0,15.0,15.0,1368536.0,99539218.85,0.0,125.0,15.03,22.5,0.1897,30.02,0.2248,91.95
2006-07-26,365770.0,26198884.81,1.18,8.91,0.67,33.22,0.0,14220041.56,244738.0,198530.0,17529766.44,0.0,2716.0,857.0,0.08,0.24,0.0,0.0,0.03,1274.0,336.0,0.0,2716.0,0.08,857.0,0.0,0.0,300.0,22.2,0.03,0.0,0.0,14.6,14.6,1431735.0,102550401.46,0.0,129.96,14.59,22.61,0.1881,29.61,0.2182,90.55
2006-07-27,357966.0,25965541.43,1.15,9.09,0.65,32.58,0.0,14035055.32,253391.0,193490.0,18380054.28,0.0,0.0,11369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11369.0,0.0,0.0,5041.0,23.11,0.47,0.24,0.0,15.24,15.24,1409662.0,102251714.04,2716.0,128.32,15.26,22.74,0.1928,30.44,0.2152,91.7
2006-07-28,358508.0,25678731.98,1.15,9.32,0.65,32.58,0.0,13963259.97,250923.0,194945.0,17972777.35,0.0,0.0,1135.0,0.18,0.0,0.0,0.0,0.34,1550.0,3602.0,0.0,0.0,0.18,1135.0,0.0,0.0,94.0,22.81,0.01,0.0,0.0,15.12,15.12,1408932.0,100917098.65,0.0,128.03,15.12,22.93,0.1924,30.07,0.216,90.55
