DATE,ALDVI FP Equity_DX_SI_QTY,ALDVI FP Equity_DX_SHORT_INTEREST_VALUE,ALDVI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDVI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDVI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDVI FP Equity_DX_SI_MV,ALDVI FP Equity_DX_DSS,ALDVI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDVI FP Equity_DX_SUPPLY_SI_QTY,ALDVI FP Equity_DX_BROKER_SI_QTY,ALDVI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDVI FP Equity_DX_BROKER_SI_MV_NEW_x,ALDVI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDVI FP Equity_DX_BROKER_SI_MV_INC_x,ALDVI FP Equity_DX_BROKER_SI_QTY_ADD,ALDVI FP Equity_DX_BROKER_SI_QTY_NEW,ALDVI FP Equity_DX_SUPPLY_SI_MV_DEC,ALDVI FP Equity_DX_BROKER_SI_QTY_INC,ALDVI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDVI FP Equity_DX_BROKER_SI_MV_NEW_y,ALDVI FP Equity_DX_BROKER_SI_MV_INC_y,ALDVI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDVI FP Equity_DX_BROKER_SI_MV_ADD,ALDVI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDVI FP Equity_DX_BROKER_SI_QTY_DEC,ALDVI FP Equity_DX_SUPPLY_SI_MV,ALDVI FP Equity_DX_BROKER_SI_MV_DEC,ALDVI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDVI FP Equity_DX_UTILIZATION_QUANTITY,ALDVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDVI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDVI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDVI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDVI FP Equity_DX_BROKER_SI_CON_RATIO,ALDVI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDVI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALDVI FP Equity_PX_LAST
2017-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03
2017-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2017-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04
2017-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04
2017-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04
2017-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03
2017-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95
2017-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02
2017-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2017-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93
