DATE,GNRO FP Equity_DX_SI_QTY,GNRO FP Equity_DX_SHORT_INTEREST_VALUE,GNRO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GNRO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GNRO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GNRO FP Equity_DX_SI_MV,GNRO FP Equity_DX_DSS,GNRO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GNRO FP Equity_DX_SUPPLY_SI_QTY,GNRO FP Equity_DX_BROKER_SI_QTY,GNRO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GNRO FP Equity_DX_BROKER_SI_MV_NEW_x,GNRO FP Equity_DX_SUPPLY_SI_QTY_INC_x,GNRO FP Equity_DX_BROKER_SI_MV_INC_x,GNRO FP Equity_DX_BROKER_SI_QTY_ADD,GNRO FP Equity_DX_BROKER_SI_QTY_NEW,GNRO FP Equity_DX_SUPPLY_SI_MV_DEC,GNRO FP Equity_DX_BROKER_SI_QTY_INC,GNRO FP Equity_DX_SUPPLY_SI_QTY_DEC,GNRO FP Equity_DX_BROKER_SI_MV_NEW_y,GNRO FP Equity_DX_BROKER_SI_MV_INC_y,GNRO FP Equity_DX_SUPPLY_SI_QTY_INC_y,GNRO FP Equity_DX_BROKER_SI_MV_ADD,GNRO FP Equity_DX_SUPPLY_SI_QTY_ADD,GNRO FP Equity_DX_BROKER_SI_QTY_DEC,GNRO FP Equity_DX_SUPPLY_SI_MV,GNRO FP Equity_DX_BROKER_SI_MV_DEC,GNRO FP Equity_DX_SUPPLY_SI_MV_RMV,GNRO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GNRO FP Equity_DX_UTILIZATION_QUANTITY,GNRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GNRO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GNRO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GNRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GNRO FP Equity_DX_ACTIVE_UTILIZATION_MV,GNRO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GNRO FP Equity_DX_BROKER_SI_CON_RATIO,GNRO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GNRO FP Equity_DX_DEMAND_SUPPLY_RATIO,GNRO FP Equity_PX_LAST
2016-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.23
2016-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11
2016-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6883823.1,0.0,6.97,0.0,0.0,0.0,0.0,0.0,12.1
2016-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6855377.55,0.0,6.97,0.0,0.0,0.0,0.0,0.0,12.05
2016-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6821242.89,0.0,6.97,0.0,0.0,0.0,0.0,0.0,11.99
2016-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6542476.5,0.0,6.97,0.0,0.0,0.0,0.0,0.0,11.5
2016-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6144238.8,0.0,6.97,0.0,0.0,0.0,0.0,0.0,10.8
2016-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6201129.9,0.0,6.97,0.0,0.0,0.0,0.0,0.0,10.9
2016-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6144238.8,0.0,6.97,0.0,0.0,0.0,0.0,0.0,10.8
2016-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568911.0,6024767.49,0.0,6.97,0.0,0.0,0.0,0.0,0.0,10.59
