DATE,ADP FP Equity_DX_SI_QTY,ADP FP Equity_DX_SHORT_INTEREST_VALUE,ADP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ADP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ADP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ADP FP Equity_DX_SI_MV,ADP FP Equity_DX_DSS,ADP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ADP FP Equity_DX_SUPPLY_SI_QTY,ADP FP Equity_DX_BROKER_SI_QTY,ADP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ADP FP Equity_DX_BROKER_SI_MV_NEW_x,ADP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ADP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ADP FP Equity_DX_BROKER_SI_MV_INC_x,ADP FP Equity_DX_SUPPLY_SI_MV_NEW,ADP FP Equity_DX_BROKER_SI_QTY_ADD,ADP FP Equity_DX_BROKER_SI_QTY_NEW,ADP FP Equity_DX_SUPPLY_SI_MV_DEC,ADP FP Equity_DX_BROKER_SI_QTY_INC,ADP FP Equity_DX_SUPPLY_SI_QTY_DEC,ADP FP Equity_DX_BROKER_SI_MV_NEW_y,ADP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ADP FP Equity_DX_BROKER_SI_MV_INC_y,ADP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ADP FP Equity_DX_BROKER_SI_MV_ADD,ADP FP Equity_DX_SUPPLY_SI_QTY_ADD,ADP FP Equity_DX_BROKER_SI_QTY_DEC,ADP FP Equity_DX_SUPPLY_SI_MV,ADP FP Equity_DX_BROKER_SI_MV_DEC,ADP FP Equity_DX_SUPPLY_SI_MV_RMV,ADP FP Equity_DX_BROKER_SI_MV_RMV,ADP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ADP FP Equity_DX_UTILIZATION_QUANTITY,ADP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ADP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ADP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ADP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ADP FP Equity_DX_ACTIVE_UTILIZATION_MV,ADP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ADP FP Equity_DX_BROKER_SI_CON_RATIO,ADP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ADP FP Equity_DX_DEMAND_SUPPLY_RATIO,ADP FP Equity_PX_LAST
2006-07-03,450592.0,16975773.97,0.46,2.37,0.46,21.94,0.0,16950155.4,2849.0,449912.0,107334.31,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.12,75000.0,2537.0,0.0,0.0,3.78,0.0,0.0,0.0,55342.0,0.14,2.71,0.0,0.0,0.39,0.39,721283.0,27173889.41,0.0,35.11,0.39,19.63,0.4804,64.72,0.6223,48.8
2006-07-04,460611.0,17246553.87,0.47,2.39,0.47,22.51,0.0,17220381.37,2894.0,459912.0,108359.39,0.0,0.0,45.0,0.48,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.48,45.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.4,0.4,720200.0,26966286.29,0.0,35.19,0.4,19.37,0.466,63.23,0.637,48.5
2006-07-05,460614.0,17271558.29,0.47,2.35,0.47,22.56,0.0,17271520.79,2191.0,460613.0,82155.52,0.0,0.0,0.0,0.0,0.0,701.0,0.0,0.03,0.0,703.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.11,0.0,0.0,0.0,0.3,0.3,733933.0,27520150.47,0.0,35.94,0.3,19.29,0.4653,63.22,0.6257,48.57
2006-07-06,462221.0,17342520.93,0.47,2.32,0.47,22.62,0.0,17266918.18,4189.0,460206.0,157171.18,0.0,0.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,0.0,0.0,408.0,0.21,0.02,0.0,0.0,0.57,0.57,730185.0,27396523.84,0.0,35.74,0.57,19.16,0.4669,63.4,0.6294,48.6
2006-07-07,461506.0,17247999.05,0.47,2.26,0.47,22.6,0.0,17173289.84,4175.0,459507.0,156033.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,0.2,0.03,0.0,0.0,0.57,0.57,733264.0,27404490.46,0.0,35.91,0.57,19.21,0.4683,63.49,0.6258,48.41
2006-07-10,459507.0,17010106.33,0.46,2.23,0.46,22.47,0.0,17010106.33,2191.0,459507.0,81106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.3,0.3,736676.0,27270394.34,0.0,36.03,0.3,19.34,0.4669,63.33,0.6219,47.95
2006-07-11,461527.0,16885351.55,0.47,2.21,0.47,22.36,0.0,16885351.55,2170.0,461527.0,79391.27,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.29,0.29,743128.0,27187959.81,0.0,36.01,0.29,19.11,0.4627,63.04,0.6193,47.39
2006-07-12,459507.0,16758236.15,0.46,2.18,0.46,22.09,0.0,16758236.15,2180.0,459507.0,79504.68,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2020.0,0.1,0.1,0.0,0.0,0.3,0.3,730226.0,26631367.42,0.0,35.1,0.3,19.3,0.4646,63.08,0.6274,47.24
2006-07-13,457307.0,16282587.97,0.46,2.15,0.46,21.9,0.0,16282587.97,2172.0,457307.0,77334.88,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.12,0.0,4800.0,0.1,0.24,0.0,0.0,0.29,0.29,736998.0,26241091.36,0.0,35.29,0.29,19.33,0.466,63.43,0.6187,46.12
2006-07-14,417307.0,14932471.46,0.42,1.9,0.42,19.54,0.0,14932471.46,2172.0,417307.0,77720.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.1,1.94,0.0,0.0,0.29,0.29,753497.0,26962338.16,0.0,35.28,0.29,21.26,0.5336,69.39,0.5522,46.35
