DATE,CAC FP Equity_DX_SI_QTY,CAC FP Equity_DX_SHORT_INTEREST_VALUE,CAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CAC FP Equity_DX_SI_MV,CAC FP Equity_DX_DSS,CAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CAC FP Equity_DX_SUPPLY_SI_QTY,CAC FP Equity_DX_BROKER_SI_QTY,CAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CAC FP Equity_DX_BROKER_SI_MV_NEW_x,CAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,CAC FP Equity_DX_BROKER_SI_MV_INC_x,CAC FP Equity_DX_SUPPLY_SI_MV_NEW,CAC FP Equity_DX_BROKER_SI_QTY_ADD,CAC FP Equity_DX_BROKER_SI_QTY_NEW,CAC FP Equity_DX_SUPPLY_SI_MV_DEC,CAC FP Equity_DX_BROKER_SI_QTY_INC,CAC FP Equity_DX_SUPPLY_SI_QTY_DEC,CAC FP Equity_DX_BROKER_SI_MV_NEW_y,CAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CAC FP Equity_DX_BROKER_SI_MV_INC_y,CAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,CAC FP Equity_DX_BROKER_SI_MV_ADD,CAC FP Equity_DX_SUPPLY_SI_QTY_ADD,CAC FP Equity_DX_BROKER_SI_QTY_DEC,CAC FP Equity_DX_SUPPLY_SI_MV,CAC FP Equity_DX_BROKER_SI_MV_DEC,CAC FP Equity_DX_SUPPLY_SI_MV_RMV,CAC FP Equity_DX_BROKER_SI_MV_RMV,CAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CAC FP Equity_DX_UTILIZATION_QUANTITY,CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CAC FP Equity_DX_ACTIVE_UTILIZATION_MV,CAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CAC FP Equity_DX_BROKER_SI_CON_RATIO,CAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CAC FP Equity_DX_DEMAND_SUPPLY_RATIO,CAC FP Equity_PX_LAST
2006-07-03,333547.0,11205546.09,0.36,0.49,15.28,0.0,5527335.24,207180.0,164528.0,6960233.61,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,10079.0,5173.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,70.1,60.06,88386.0,2969336.84,0.0,0.0,583.31,24.57,0.1987,26.51,0.9669,51.08
2006-07-04,365402.0,12273314.89,0.42,0.54,17.15,0.0,5610224.46,236397.0,167028.0,7940226.98,0.0,0.0,29218.0,0.97,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.97,29218.0,0.0,0.0,16500.0,10.64,0.63,0.0,0.0,79.63,68.27,60489.0,2031736.4,0.0,0.0,681.98,20.92,0.2052,30.91,1.0552,51.07
2006-07-05,345052.0,11460432.98,0.4,0.51,16.14,0.0,4837633.12,237535.0,145652.0,7889402.03,0.0,0.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,0.0,0.0,21376.0,10.71,1.11,0.0,0.0,80.25,69.11,58463.0,1941769.05,0.0,0.0,666.74,17.13,0.1974,29.52,1.0039,50.5
2006-07-06,342146.0,11451675.07,0.4,0.5,16.05,0.0,4874993.06,227169.0,145652.0,7603378.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,10366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,77.57,66.7,65696.0,2198854.42,0.0,0.0,638.83,17.18,0.1982,29.82,1.0046,50.89
2006-07-07,337364.0,11271651.39,0.4,0.5,15.75,0.0,4649801.77,222096.0,139170.0,7420438.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,5073.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.0,9.97,0.32,0.0,0.0,75.2,64.74,73260.0,2447686.12,0.0,0.0,620.16,17.69,0.2007,30.65,0.9834,50.8
2006-07-10,321602.0,10800022.25,0.39,0.47,14.95,0.0,4098542.66,231716.0,122046.0,7781475.1,0.0,0.0,9620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9620.0,0.0,0.0,17124.0,10.39,0.89,0.0,0.0,77.83,67.08,65994.0,2216207.2,0.0,0.0,645.1,19.49,0.1951,27.75,0.9311,51.06
2006-07-11,384124.0,12732892.66,0.47,0.57,18.34,0.0,6245224.57,259432.0,188405.0,8599618.37,0.0,0.0,27716.0,3.39,0.0,0.0,0.0,0.0,66359.0,0.0,0.0,0.0,3.39,27716.0,0.0,0.0,0.0,11.95,0.0,0.0,0.0,88.55,76.15,33542.0,1111845.88,0.0,0.0,740.45,20.25,0.2509,40.77,1.1275,50.4
2006-07-12,333419.0,11102566.18,0.41,0.49,16.62,0.0,6273724.6,205159.0,188405.0,6831618.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,54274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22,0.0,0.0,0.0,86.91,62.8,30908.0,1029209.84,0.0,0.0,0.0,23.34,0.3078,46.61,1.0207,50.63
2006-07-13,334149.0,10940071.41,0.42,0.49,16.61,0.0,6168398.39,206347.0,188405.0,6755821.25,0.0,0.0,1189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0,86.75,62.82,31521.0,1032000.67,0.0,0.0,0.0,23.0,0.3084,46.81,1.0173,49.78
2006-07-14,333430.0,10747673.72,0.42,0.49,16.4,0.0,6072985.24,205244.0,188405.0,6615768.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09,0.0,0.0,0.0,86.84,62.77,31114.0,1002918.51,0.0,0.0,0.0,22.9,0.3094,46.99,1.0198,49.01
