DATE,SFPI FP Equity_DX_SI_QTY,SFPI FP Equity_DX_SHORT_INTEREST_VALUE,SFPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SFPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SFPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SFPI FP Equity_DX_SI_MV,SFPI FP Equity_DX_DSS,SFPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SFPI FP Equity_DX_SUPPLY_SI_QTY,SFPI FP Equity_DX_BROKER_SI_QTY,SFPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SFPI FP Equity_DX_BROKER_SI_MV_NEW_x,SFPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,SFPI FP Equity_DX_BROKER_SI_MV_INC_x,SFPI FP Equity_DX_BROKER_SI_QTY_ADD,SFPI FP Equity_DX_BROKER_SI_QTY_NEW,SFPI FP Equity_DX_SUPPLY_SI_MV_DEC,SFPI FP Equity_DX_BROKER_SI_QTY_INC,SFPI FP Equity_DX_SUPPLY_SI_QTY_DEC,SFPI FP Equity_DX_BROKER_SI_MV_NEW_y,SFPI FP Equity_DX_BROKER_SI_MV_INC_y,SFPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,SFPI FP Equity_DX_BROKER_SI_MV_ADD,SFPI FP Equity_DX_SUPPLY_SI_QTY_ADD,SFPI FP Equity_DX_BROKER_SI_QTY_DEC,SFPI FP Equity_DX_SUPPLY_SI_MV,SFPI FP Equity_DX_BROKER_SI_MV_DEC,SFPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SFPI FP Equity_DX_UTILIZATION_QUANTITY,SFPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SFPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SFPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SFPI FP Equity_DX_ACTIVE_UTILIZATION_MV,SFPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SFPI FP Equity_DX_BROKER_SI_CON_RATIO,SFPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SFPI FP Equity_DX_DEMAND_SUPPLY_RATIO,SFPI FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.45
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05
