DATE,BNP FP Equity_DX_SI_QTY,BNP FP Equity_DX_SHORT_INTEREST_VALUE,BNP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BNP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BNP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BNP FP Equity_DX_SI_MV,BNP FP Equity_DX_DSS,BNP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BNP FP Equity_DX_SUPPLY_SI_QTY,BNP FP Equity_DX_BROKER_SI_QTY,BNP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BNP FP Equity_DX_BROKER_SI_MV_NEW_x,BNP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BNP FP Equity_DX_SUPPLY_SI_QTY_INC_x,BNP FP Equity_DX_BROKER_SI_MV_INC_x,BNP FP Equity_DX_SUPPLY_SI_MV_NEW,BNP FP Equity_DX_BROKER_SI_QTY_ADD,BNP FP Equity_DX_BROKER_SI_QTY_NEW,BNP FP Equity_DX_SUPPLY_SI_MV_DEC,BNP FP Equity_DX_BROKER_SI_QTY_INC,BNP FP Equity_DX_SUPPLY_SI_QTY_DEC,BNP FP Equity_DX_BROKER_SI_MV_NEW_y,BNP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BNP FP Equity_DX_BROKER_SI_MV_INC_y,BNP FP Equity_DX_SUPPLY_SI_QTY_INC_y,BNP FP Equity_DX_BROKER_SI_MV_ADD,BNP FP Equity_DX_SUPPLY_SI_QTY_ADD,BNP FP Equity_DX_BROKER_SI_QTY_DEC,BNP FP Equity_DX_SUPPLY_SI_MV,BNP FP Equity_DX_BROKER_SI_MV_DEC,BNP FP Equity_DX_SUPPLY_SI_MV_RMV,BNP FP Equity_DX_BROKER_SI_MV_RMV,BNP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BNP FP Equity_DX_UTILIZATION_QUANTITY,BNP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BNP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BNP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BNP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BNP FP Equity_DX_ACTIVE_UTILIZATION_MV,BNP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BNP FP Equity_DX_BROKER_SI_CON_RATIO,BNP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BNP FP Equity_DX_DEMAND_SUPPLY_RATIO,BNP FP Equity_PX_LAST
2006-07-03,103273624.0,5195749894.66,11.87,20.55,11.17,7755.08,3.0,2909892350.35,67527608.0,57838644.0,3397349183.3,0.0,420366.0,277477.0,102.11,31.57,0.0,0.0,198.71,569825.0,3416327.0,0.0,420366.0,102.11,277477.0,0.0,3000.0,6024837.0,5061.97,404.41,27.3,0.0,35.92,35.92,120453944.0,6060100755.73,381426.0,8967.52,36.08,11.08,0.1293,28.95,0.5494,75.1
2006-07-04,101244144.0,5134340602.91,11.64,19.73,10.95,7650.8,3.0,2911987103.34,65549700.0,57421520.0,3324187186.76,0.0,0.0,64595.0,8.42,0.0,0.0,0.0,137.27,50000.0,2052670.0,0.0,0.0,8.42,64595.0,0.0,27170.0,467127.0,4948.38,17.53,1.27,0.0,35.0,35.0,121737056.0,6173586785.42,17000.0,9130.02,35.15,11.25,0.1333,29.51,0.5406,75.7
2006-07-05,98470560.0,4957403578.41,11.32,19.79,10.65,7482.13,3.0,2800611504.77,61516976.0,55629480.0,3097011705.38,0.0,338285.0,402406.0,0.0,25.41,0.0,0.0,379.78,0.0,5036287.0,0.0,338285.0,0.0,402406.0,0.0,262871.0,1792039.0,4663.96,122.4,0.0,0.0,32.37,32.37,128506416.0,6469529233.17,0.0,9737.51,32.39,11.75,0.1403,30.08,0.5182,75.15
2006-07-06,98256256.0,5015729030.53,11.29,20.0,10.63,7430.88,3.0,2834286264.64,60382972.0,55522608.0,3082395339.89,0.0,0.0,71112.0,42.73,0.0,0.0,0.0,45.44,696426.0,467468.0,0.0,0.0,42.73,71112.0,0.0,0.0,803300.0,4551.54,57.42,55.76,0.0,31.75,31.75,129773888.0,6624623041.26,737650.0,9819.6,31.67,11.54,0.1424,30.5,0.5167,76.2
2006-07-07,87386768.0,4466723797.71,10.04,17.76,9.45,6671.67,2.0,2321742816.94,59978264.0,45422464.0,3065754064.21,0.0,0.0,522211.0,0.0,0.0,0.0,0.0,62.1,0.0,942439.0,0.0,0.0,0.0,522211.0,0.0,15522.0,10100142.0,4568.71,737.31,0.0,0.0,31.63,31.63,129627096.0,6625813584.62,0.0,9885.22,31.61,13.08,0.1159,23.04,0.4609,76.3
2006-07-10,86932744.0,4469723472.86,9.99,18.28,9.4,6675.22,2.0,2421723494.89,57886676.0,47100692.0,2976294346.39,0.0,0.0,425875.0,246.57,0.0,0.0,0.0,186.77,3098100.0,2517464.0,0.0,0.0,246.57,425875.0,0.0,0.0,1419872.0,4434.08,101.95,0.0,0.0,30.52,30.52,131781248.0,6775648741.38,0.0,10099.9,30.51,12.44,0.1256,25.84,0.4583,76.75
2006-07-11,84751928.0,4286624299.64,9.74,17.64,9.17,6503.32,2.0,2286561754.95,57365204.0,45208188.0,2901445232.25,0.0,0.0,471658.0,1.95,0.0,0.0,0.0,111.58,38427.0,1440833.0,0.0,0.0,1.95,471658.0,0.0,447702.0,1930931.0,4391.03,140.38,0.0,0.0,30.34,30.34,131702256.0,6661300860.16,0.0,10061.33,30.38,12.76,0.1297,26.6,0.4483,75.5
2006-07-12,87387344.0,4428700951.2,10.04,18.94,9.45,6654.78,2.0,2427576178.03,57212828.0,47901052.0,2899487433.61,0.0,344277.0,89514.0,226.34,26.01,0.0,0.0,73.4,3126561.0,782720.0,0.0,344277.0,226.34,89514.0,0.0,196554.0,433696.0,4339.95,35.68,0.0,0.0,30.14,30.14,132603520.0,6720210367.72,0.0,10073.12,30.11,12.5,0.1433,29.57,0.4604,75.65
2006-07-13,84595472.0,4185202738.39,9.72,18.66,9.15,6418.6,2.0,2320961617.0,56146620.0,46913580.0,2777749000.27,0.0,0.0,163458.0,11.75,0.0,0.0,0.0,55.71,156918.0,730387.0,0.0,0.0,11.75,163458.0,0.0,0.0,1144392.0,4244.59,98.5,37.11,0.0,30.05,30.05,130724352.0,6467342790.69,499277.0,9870.14,30.07,12.81,0.1477,30.56,0.4527,73.85
2006-07-14,83687800.0,4036579691.4,9.62,17.93,9.05,6217.59,2.0,2231641593.07,56139964.0,46267184.0,2707843180.94,0.0,0.0,212053.0,0.74,0.0,0.0,0.0,56.57,10000.0,218710.0,0.0,0.0,0.74,212053.0,0.0,0.0,656394.0,4150.55,85.43,0.0,0.0,29.89,29.89,131652336.0,6350091002.78,0.0,9743.27,29.87,13.0,0.1466,30.24,0.4456,72.0
