DATE,CBSM FP Equity_DX_SI_QTY,CBSM FP Equity_DX_SHORT_INTEREST_VALUE,CBSM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CBSM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CBSM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CBSM FP Equity_DX_SI_MV,CBSM FP Equity_DX_DSS,CBSM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CBSM FP Equity_DX_SUPPLY_SI_QTY,CBSM FP Equity_DX_BROKER_SI_QTY,CBSM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CBSM FP Equity_DX_BROKER_SI_MV_NEW_x,CBSM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CBSM FP Equity_DX_SUPPLY_SI_QTY_INC_x,CBSM FP Equity_DX_BROKER_SI_MV_INC_x,CBSM FP Equity_DX_SUPPLY_SI_MV_NEW,CBSM FP Equity_DX_BROKER_SI_QTY_ADD,CBSM FP Equity_DX_BROKER_SI_QTY_NEW,CBSM FP Equity_DX_SUPPLY_SI_MV_DEC,CBSM FP Equity_DX_BROKER_SI_QTY_INC,CBSM FP Equity_DX_SUPPLY_SI_QTY_DEC,CBSM FP Equity_DX_BROKER_SI_MV_NEW_y,CBSM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CBSM FP Equity_DX_BROKER_SI_MV_INC_y,CBSM FP Equity_DX_SUPPLY_SI_QTY_INC_y,CBSM FP Equity_DX_BROKER_SI_MV_ADD,CBSM FP Equity_DX_SUPPLY_SI_QTY_ADD,CBSM FP Equity_DX_BROKER_SI_QTY_DEC,CBSM FP Equity_DX_SUPPLY_SI_MV,CBSM FP Equity_DX_BROKER_SI_MV_DEC,CBSM FP Equity_DX_BROKER_SI_MV_RMV,CBSM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CBSM FP Equity_DX_UTILIZATION_QUANTITY,CBSM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CBSM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CBSM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CBSM FP Equity_DX_ACTIVE_UTILIZATION_MV,CBSM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CBSM FP Equity_DX_BROKER_SI_CON_RATIO,CBSM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CBSM FP Equity_DX_DEMAND_SUPPLY_RATIO,CBSM FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,26.3
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,24.1
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,26.6
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,26.6
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,26.6
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0
