DATE,ALBPS FP Equity_DX_SI_QTY,ALBPS FP Equity_DX_SHORT_INTEREST_VALUE,ALBPS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBPS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBPS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBPS FP Equity_DX_SI_MV,ALBPS FP Equity_DX_DSS,ALBPS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBPS FP Equity_DX_SUPPLY_SI_QTY,ALBPS FP Equity_DX_BROKER_SI_QTY,ALBPS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBPS FP Equity_DX_BROKER_SI_MV_NEW_x,ALBPS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALBPS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBPS FP Equity_DX_BROKER_SI_MV_INC_x,ALBPS FP Equity_DX_SUPPLY_SI_MV_NEW,ALBPS FP Equity_DX_BROKER_SI_QTY_ADD,ALBPS FP Equity_DX_BROKER_SI_QTY_NEW,ALBPS FP Equity_DX_SUPPLY_SI_MV_DEC,ALBPS FP Equity_DX_BROKER_SI_QTY_INC,ALBPS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBPS FP Equity_DX_BROKER_SI_MV_NEW_y,ALBPS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALBPS FP Equity_DX_BROKER_SI_MV_INC_y,ALBPS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBPS FP Equity_DX_BROKER_SI_MV_ADD,ALBPS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBPS FP Equity_DX_BROKER_SI_QTY_DEC,ALBPS FP Equity_DX_SUPPLY_SI_MV,ALBPS FP Equity_DX_BROKER_SI_MV_DEC,ALBPS FP Equity_DX_SUPPLY_SI_MV_RMV,ALBPS FP Equity_DX_BROKER_SI_MV_RMV,ALBPS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBPS FP Equity_DX_UTILIZATION_QUANTITY,ALBPS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBPS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBPS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALBPS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBPS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBPS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBPS FP Equity_DX_BROKER_SI_CON_RATIO,ALBPS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBPS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBPS FP Equity_PX_LAST
2015-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2015-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
2015-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
2015-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11
2015-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9
2015-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78
2015-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28
2015-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05
2015-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95
2015-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99
