DATE,ALHG FP Equity_DX_SI_QTY,ALHG FP Equity_DX_SHORT_INTEREST_VALUE,ALHG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHG FP Equity_DX_SI_MV,ALHG FP Equity_DX_DSS,ALHG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHG FP Equity_DX_SUPPLY_SI_QTY,ALHG FP Equity_DX_BROKER_SI_QTY,ALHG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHG FP Equity_DX_BROKER_SI_MV_INC_x,ALHG FP Equity_DX_BROKER_SI_QTY_ADD,ALHG FP Equity_DX_SUPPLY_SI_MV_DEC,ALHG FP Equity_DX_BROKER_SI_QTY_INC,ALHG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHG FP Equity_DX_BROKER_SI_MV_INC_y,ALHG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHG FP Equity_DX_BROKER_SI_MV_ADD,ALHG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHG FP Equity_DX_BROKER_SI_QTY_DEC,ALHG FP Equity_DX_SUPPLY_SI_MV,ALHG FP Equity_DX_BROKER_SI_MV_DEC,ALHG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHG FP Equity_DX_UTILIZATION_QUANTITY,ALHG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHG FP Equity_DX_BROKER_SI_CON_RATIO,ALHG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHG FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHG FP Equity_PX_LAST
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817302.0,4005076.52,11.69,0.0,0.0,0.0,0.0,0.0,1.4216
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9063779.0,12540644.62,12.78,0.0,0.0,0.0,0.0,0.0,1.3836
2024-12-18,28946888.0,39338820.79,2.92,9.78,2.92,31.92,1.0,12599592.06,21585732.0,9271223.0,29335009.79,0.0,0.0,9271223.0,0.0,0.0,0.0,0.0,0.0,12.88,21585732.0,0.0,20.59,0.0,17.59,17.59,101130256.0,137436017.9,111.68,15.57,15.15,0.1075,15.29,0.2359,1.359
2024-12-19,46964068.0,59747687.31,4.73,12.89,4.73,64.47,1.0,32358847.18,30053966.0,25435346.0,38234655.55,2284908.0,4.79,12459722.0,2.49,3704401.0,7747966.0,4.79,2284908.0,17.4,13931293.0,0.0,40.94,0.0,28.27,28.27,76272288.0,97033604.79,103.44,28.36,14.37,0.1752,34.84,0.4417,1.2722
2024-12-20,49089068.0,65494634.53,4.95,11.01,4.95,63.99,1.0,37196452.66,33865212.0,27879218.0,45182965.85,3394019.0,3.71,0.0,3.05,3215254.0,2125377.0,3.71,3394019.0,0.0,2542603.0,771382.0,43.16,2.0,33.03,33.03,68678176.0,91630422.42,87.83,32.95,14.95,0.1383,25.8,0.4787,1.3342
2024-12-23,48789768.0,68178821.8,4.92,7.88,4.92,66.43,1.0,41790686.32,35091176.0,29906030.0,49036409.34,1121581.0,4.1,0.0,8.0,3106415.0,6482299.0,4.1,1121581.0,0.0,6586681.0,1079603.0,46.98,0.51,51.07,51.07,33619352.0,46979682.48,45.42,50.84,14.84,0.1417,25.33,0.7101,1.3974
2024-12-24,41581440.0,57083000.83,4.19,6.42,4.19,58.73,1.0,39381329.64,27058196.0,28686866.0,37145491.47,637818.0,1.92,0.0,11.33,816655.0,8903193.0,1.92,637818.0,0.0,232397.0,2035819.0,37.63,2.36,41.28,41.28,38484876.0,52832037.77,53.35,41.36,15.98,0.1687,31.38,0.6344,1.3728
2024-12-25,41590076.0,57094856.33,4.19,6.35,4.19,58.46,1.0,39381329.64,27066832.0,28686866.0,37157346.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8635.0,0.0,37.39,0.0,41.7,41.7,37840032.0,51946795.93,51.92,41.86,15.77,0.1691,31.52,0.6408,0.0
2024-12-26,46516516.0,63857873.16,4.69,7.1,4.69,65.04,1.0,46191205.63,26976990.0,33647440.0,37034011.87,0.0,8.19,0.0,0.11,5960576.0,81206.0,8.19,0.0,0.0,0.0,1000000.0,37.07,1.31,41.39,41.39,38206944.0,52450492.72,52.64,41.33,14.12,0.2192,41.01,0.7136,0.0
2024-12-27,44254164.0,62115144.59,4.46,6.76,4.46,62.35,1.0,42403702.03,27361518.0,30210674.0,38404626.66,2861091.0,0.08,0.0,4.51,43600.0,3272100.0,0.08,2861091.0,0.0,830537.0,3480368.0,37.64,4.45,41.84,41.84,38038040.0,53390192.94,52.61,41.7,11.47,0.222,41.77,0.6767,1.4036
2024-12-30,41527208.0,61883845.36,4.19,6.24,4.19,59.83,1.0,44728472.22,26090904.0,30015080.0,38880665.14,1554694.0,1.16,885119.0,5.25,560000.0,3909520.0,1.16,1554694.0,1.22,1084213.0,1150000.0,36.77,1.5,42.02,42.02,35998408.0,53644827.6,51.31,41.74,12.36,0.2559,46.02,0.6688,1.4902
2024-12-31,43486016.0,65663884.16,4.38,6.43,4.38,66.14,1.0,46439319.16,27210032.0,30754516.0,41087148.32,1900710.0,3.08,7500.0,0.97,1422663.0,846229.0,3.08,1900710.0,0.01,64645.0,690725.0,40.42,0.0,43.19,43.19,35796232.0,54052310.32,53.27,43.14,11.82,0.272,47.65,0.6902,1.51
