DATE,CMO FP Equity_DX_SI_QTY,CMO FP Equity_DX_SHORT_INTEREST_VALUE,CMO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CMO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CMO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CMO FP Equity_DX_SI_MV,CMO FP Equity_DX_DSS,CMO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CMO FP Equity_DX_SUPPLY_SI_QTY,CMO FP Equity_DX_BROKER_SI_QTY,CMO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CMO FP Equity_DX_BROKER_SI_MV_NEW_x,CMO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CMO FP Equity_DX_SUPPLY_SI_QTY_INC_x,CMO FP Equity_DX_BROKER_SI_MV_INC_x,CMO FP Equity_DX_SUPPLY_SI_MV_NEW,CMO FP Equity_DX_BROKER_SI_QTY_ADD,CMO FP Equity_DX_BROKER_SI_QTY_NEW,CMO FP Equity_DX_SUPPLY_SI_MV_DEC,CMO FP Equity_DX_BROKER_SI_QTY_INC,CMO FP Equity_DX_SUPPLY_SI_QTY_DEC,CMO FP Equity_DX_BROKER_SI_MV_NEW_y,CMO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CMO FP Equity_DX_BROKER_SI_MV_INC_y,CMO FP Equity_DX_SUPPLY_SI_QTY_INC_y,CMO FP Equity_DX_BROKER_SI_MV_ADD,CMO FP Equity_DX_SUPPLY_SI_QTY_ADD,CMO FP Equity_DX_BROKER_SI_QTY_DEC,CMO FP Equity_DX_SUPPLY_SI_MV,CMO FP Equity_DX_BROKER_SI_MV_DEC,CMO FP Equity_DX_SUPPLY_SI_MV_RMV,CMO FP Equity_DX_BROKER_SI_MV_RMV,CMO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CMO FP Equity_DX_UTILIZATION_QUANTITY,CMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CMO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CMO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CMO FP Equity_DX_ACTIVE_UTILIZATION_MV,CMO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CMO FP Equity_DX_BROKER_SI_CON_RATIO,CMO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CMO FP Equity_DX_DEMAND_SUPPLY_RATIO,CMO FP Equity_PX_LAST
2006-07-03,200.0,9836.85,0.01,0.13,0.01,0.02,0.0,9836.85,190.0,200.0,9345.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.87,2.87,6437.0,316598.97,0.0,0.0,0.0,0.0,1.0,100.0,0.0302,87.7
2006-07-04,200.0,9791.98,0.01,0.14,0.01,0.02,0.0,9791.98,190.0,200.0,9302.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.77,2.77,6686.0,327345.98,0.0,0.0,0.0,0.0,1.0,100.0,0.0291,87.3
2006-07-05,200.0,9702.25,0.01,0.14,0.01,0.02,0.0,9702.25,190.0,200.0,9217.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.77,2.77,6687.0,324394.75,0.0,0.0,0.0,0.0,1.0,100.0,0.0291,86.5
2006-07-06,200.0,9691.03,0.01,0.14,0.01,0.02,0.0,9691.03,190.0,200.0,9206.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.7,2.7,6853.0,332063.29,0.0,0.0,0.0,0.0,1.0,100.0,0.0284,86.4
2006-07-07,200.0,9904.15,0.01,0.14,0.01,0.02,0.0,9904.15,190.0,200.0,9408.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.55,2.55,7290.0,361006.17,0.0,0.0,0.0,0.0,1.0,100.0,0.0267,88.3
2006-07-10,200.0,9898.54,0.01,0.14,0.01,0.02,0.0,9898.54,190.0,200.0,9403.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.54,2.54,7293.0,360950.23,0.0,0.0,0.0,0.0,1.0,100.0,0.0267,88.25
2006-07-11,200.0,9702.25,0.01,0.14,0.01,0.02,0.0,9702.25,190.0,200.0,9217.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.57,2.57,7226.0,350542.32,0.0,0.0,0.0,0.0,1.0,100.0,0.027,86.5
2006-07-12,200.0,9713.47,0.01,0.14,0.01,0.02,0.0,9713.47,190.0,200.0,9227.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.49,2.49,7444.0,361535.25,0.0,0.0,0.0,0.0,1.0,100.0,0.0262,86.6
2006-07-13,200.0,9590.09,0.01,0.14,0.01,0.02,0.0,9590.09,190.0,200.0,9110.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.47,2.47,7517.0,360443.38,0.0,0.0,0.0,0.0,1.0,100.0,0.0259,85.5
2006-07-14,200.0,9595.69,0.01,0.14,0.01,0.02,0.0,9595.69,190.0,200.0,9115.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.43,2.43,7641.0,366603.5,0.0,0.0,0.0,0.0,1.0,100.0,0.0255,85.55
