DATE,ALBPK FP Equity_DX_SI_QTY,ALBPK FP Equity_DX_SHORT_INTEREST_VALUE,ALBPK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBPK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBPK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBPK FP Equity_DX_SI_MV,ALBPK FP Equity_DX_DSS,ALBPK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBPK FP Equity_DX_SUPPLY_SI_QTY,ALBPK FP Equity_DX_BROKER_SI_QTY,ALBPK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBPK FP Equity_DX_BROKER_SI_MV_NEW_x,ALBPK FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBPK FP Equity_DX_BROKER_SI_MV_INC_x,ALBPK FP Equity_DX_BROKER_SI_QTY_ADD,ALBPK FP Equity_DX_BROKER_SI_QTY_NEW,ALBPK FP Equity_DX_SUPPLY_SI_MV_DEC,ALBPK FP Equity_DX_BROKER_SI_QTY_INC,ALBPK FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBPK FP Equity_DX_BROKER_SI_MV_NEW_y,ALBPK FP Equity_DX_BROKER_SI_MV_INC_y,ALBPK FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBPK FP Equity_DX_BROKER_SI_MV_ADD,ALBPK FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBPK FP Equity_DX_BROKER_SI_QTY_DEC,ALBPK FP Equity_DX_SUPPLY_SI_MV,ALBPK FP Equity_DX_BROKER_SI_MV_DEC,ALBPK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBPK FP Equity_DX_UTILIZATION_QUANTITY,ALBPK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBPK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBPK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBPK FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBPK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBPK FP Equity_DX_BROKER_SI_CON_RATIO,ALBPK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBPK FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBPK FP Equity_PX_LAST
2022-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41
2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
2022-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
2022-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
2022-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.295
2022-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390015.0,2507796.45,2.46,0.0,0.0,0.0,0.0,0.0,6.43
2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390015.0,2499996.15,2.51,0.0,0.0,0.0,0.0,0.0,6.41
2022-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390015.0,2496096.0,2.5,0.0,0.0,0.0,0.0,0.0,6.4
2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390015.0,2496096.0,2.5,0.0,0.0,0.0,0.0,0.0,6.4
2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390015.0,2496096.0,2.5,0.0,0.0,0.0,0.0,0.0,6.4
