DATE,EC FP Equity_DX_SI_QTY,EC FP Equity_DX_SHORT_INTEREST_VALUE,EC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EC FP Equity_DX_SI_MV,EC FP Equity_DX_DSS,EC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY,EC FP Equity_DX_BROKER_SI_QTY,EC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EC FP Equity_DX_BROKER_SI_MV_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_INC_x,EC FP Equity_DX_BROKER_SI_MV_INC_x,EC FP Equity_DX_SUPPLY_SI_MV_NEW,EC FP Equity_DX_BROKER_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_NEW,EC FP Equity_DX_SUPPLY_SI_MV_DEC,EC FP Equity_DX_BROKER_SI_QTY_INC,EC FP Equity_DX_SUPPLY_SI_QTY_DEC,EC FP Equity_DX_BROKER_SI_MV_NEW_y,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EC FP Equity_DX_BROKER_SI_MV_INC_y,EC FP Equity_DX_SUPPLY_SI_QTY_INC_y,EC FP Equity_DX_BROKER_SI_MV_ADD,EC FP Equity_DX_SUPPLY_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_DEC,EC FP Equity_DX_SUPPLY_SI_MV,EC FP Equity_DX_BROKER_SI_MV_DEC,EC FP Equity_DX_SUPPLY_SI_MV_RMV,EC FP Equity_DX_BROKER_SI_MV_RMV,EC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EC FP Equity_DX_UTILIZATION_QUANTITY,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EC FP Equity_DX_ACTIVE_UTILIZATION_MV,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EC FP Equity_DX_BROKER_SI_CON_RATIO,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EC FP Equity_DX_DEMAND_SUPPLY_RATIO,EC FP Equity_PX_LAST
2006-07-03,6340.0,2299205.83,0.84,6.8,0.14,4.06,0.0,287944.71,5546.0,794.0,2011261.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,47.33,47.33,6171.0,2237917.85,0.0,4.13,46.24,11.39,0.7591,86.35,0.5411,639.0
2006-07-04,6798.0,2430577.35,0.9,7.84,0.15,4.34,0.0,283889.15,6135.0,794.0,2193526.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,586.0,0.0,3.92,0.0,0.0,0.0,27.04,27.04,16555.0,5919124.44,0.0,10.74,26.74,10.55,0.668,80.75,0.2996,630.0
2006-07-05,6351.0,2294184.05,0.84,7.52,0.14,4.03,0.0,286818.16,5557.0,794.0,2007365.89,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.37,0.0,586.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,24.52,24.52,17108.0,6179956.04,0.0,11.05,24.17,11.5,0.7578,86.26,0.2802,636.5
2006-07-06,6350.0,2270398.08,0.84,7.77,0.14,4.02,0.0,283889.15,5556.0,794.0,1986508.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,47.32,47.32,6185.0,2211403.48,0.0,4.11,46.11,11.37,0.7593,86.36,0.5409,630.0
2006-07-07,6357.0,2272900.88,0.84,7.81,0.14,3.99,0.0,283889.15,5563.0,794.0,1989011.74,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,24.41,24.41,17226.0,6159035.8,0.0,11.03,24.03,11.51,0.7571,86.22,0.2789,630.0
2006-07-10,6805.0,2444666.24,0.9,8.2,0.15,4.32,0.0,285241.0,6142.0,794.0,2206486.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,3.9,0.0,0.0,0.0,27.12,27.12,16506.0,5929707.72,0.0,10.67,26.75,10.68,0.6668,80.67,0.3005,633.0
2006-07-11,6813.0,2354742.48,0.91,8.14,0.15,4.28,0.0,274426.17,6154.0,794.0,2126975.66,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.88,0.0,0.0,0.0,27.05,27.05,16594.0,5735299.67,0.0,10.62,26.77,10.36,0.6705,80.93,0.2995,609.0
2006-07-12,6355.0,2250545.93,0.84,7.47,0.14,3.89,0.0,282601.99,5557.0,798.0,1967943.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,4.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,24.48,24.48,17142.0,6070630.74,0.0,10.72,24.06,11.64,0.7545,86.05,0.28,624.0
2006-07-13,6348.0,2224649.6,0.84,7.22,0.14,3.96,0.0,279658.22,5550.0,798.0,1944991.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,24.44,24.44,17159.0,6013352.63,0.0,10.88,24.14,11.35,0.7585,86.32,0.2795,617.5
2006-07-14,6350.0,2301030.44,0.84,7.13,0.14,3.95,0.0,289168.86,5552.0,798.0,2011861.57,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,47.06,47.06,6244.0,2262619.53,0.0,4.1,45.6,11.74,0.753,85.95,0.5383,638.5
2006-07-17,6417.0,2305278.95,0.85,7.09,0.14,4.13,0.0,317573.1,5533.0,884.0,1987705.85,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,86.0,18.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,47.47,47.47,6123.0,2199660.75,0.0,4.08,46.65,11.1,0.7392,85.17,0.5505,633.0
2006-07-18,6884.0,2430071.11,0.91,7.47,0.15,4.35,0.0,312054.45,6222.0,884.0,2196383.27,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,676.0,0.0,3.94,0.0,0.0,0.0,27.3,27.3,16567.0,5848196.99,0.0,10.64,27.03,10.37,0.6503,79.63,0.3021,622.0
2006-07-19,6901.0,2463487.76,0.92,7.51,0.15,4.27,0.0,315566.32,6255.0,884.0,2232881.6,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,27.25,27.25,16697.0,5960419.53,0.0,10.55,26.81,10.71,0.6457,79.3,0.3007,629.0
2006-07-20,6456.0,2322953.5,0.86,7.35,0.14,4.05,0.0,323831.81,5556.0,900.0,1999121.69,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.43,16.0,699.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,47.19,47.19,6217.0,2236958.16,0.0,4.1,45.91,11.36,0.7304,84.61,0.5484,634.0
2006-07-21,6907.0,2446030.01,0.92,8.17,0.15,4.36,0.0,318724.05,6245.0,900.0,2211590.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,3.94,0.0,0.0,0.0,27.31,27.31,16619.0,5885416.65,0.0,10.66,27.0,10.4,0.6465,79.38,0.3021,624.0
2006-07-24,6913.0,2420691.57,0.92,8.4,0.15,4.32,0.0,315148.62,6250.0,900.0,2188532.08,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,31.74,27.42,13441.0,4706569.56,0.0,0.0,124.94,10.36,0.6471,79.42,0.3033,617.0
2006-07-25,6916.0,2437442.17,0.92,8.56,0.15,4.28,0.0,317191.72,6252.0,900.0,2203425.17,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.01,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,31.55,27.28,13563.0,4780079.26,0.0,0.0,125.04,10.54,0.645,79.27,0.3018,621.0
2006-07-26,6464.0,2274472.94,0.86,8.41,0.14,3.99,0.0,316680.95,5564.0,900.0,1957791.99,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.43,0.0,690.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,64.12,47.22,3114.0,1095716.08,0.0,0.0,111.28,11.26,0.7317,84.7,0.5486,620.0
2006-07-27,6466.0,2271507.03,0.86,8.51,0.14,3.99,0.0,316170.17,5566.0,900.0,1955336.86,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,47.23,47.23,6220.0,2185087.18,0.0,4.04,45.93,11.29,0.7312,84.67,0.5487,619.0
