DATE,FGA FP Equity_DX_SI_QTY,FGA FP Equity_DX_SHORT_INTEREST_VALUE,FGA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FGA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FGA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FGA FP Equity_DX_SI_MV,FGA FP Equity_DX_DSS,FGA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FGA FP Equity_DX_SUPPLY_SI_QTY,FGA FP Equity_DX_BROKER_SI_QTY,FGA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FGA FP Equity_DX_BROKER_SI_MV_NEW_x,FGA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FGA FP Equity_DX_SUPPLY_SI_QTY_INC_x,FGA FP Equity_DX_BROKER_SI_MV_INC_x,FGA FP Equity_DX_SUPPLY_SI_MV_NEW,FGA FP Equity_DX_BROKER_SI_QTY_ADD,FGA FP Equity_DX_BROKER_SI_QTY_NEW,FGA FP Equity_DX_SUPPLY_SI_MV_DEC,FGA FP Equity_DX_BROKER_SI_QTY_INC,FGA FP Equity_DX_SUPPLY_SI_QTY_DEC,FGA FP Equity_DX_BROKER_SI_MV_NEW_y,FGA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FGA FP Equity_DX_BROKER_SI_MV_INC_y,FGA FP Equity_DX_SUPPLY_SI_QTY_INC_y,FGA FP Equity_DX_BROKER_SI_MV_ADD,FGA FP Equity_DX_SUPPLY_SI_QTY_ADD,FGA FP Equity_DX_BROKER_SI_QTY_DEC,FGA FP Equity_DX_SUPPLY_SI_MV,FGA FP Equity_DX_BROKER_SI_MV_DEC,FGA FP Equity_DX_SUPPLY_SI_MV_RMV,FGA FP Equity_DX_BROKER_SI_MV_RMV,FGA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FGA FP Equity_DX_UTILIZATION_QUANTITY,FGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FGA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FGA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FGA FP Equity_DX_ACTIVE_UTILIZATION_MV,FGA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FGA FP Equity_DX_BROKER_SI_CON_RATIO,FGA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FGA FP Equity_DX_DEMAND_SUPPLY_RATIO,FGA FP Equity_PX_LAST
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2046975.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,10.5
2013-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2000187.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,10.26
2013-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2000187.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2000187.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2124955.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.9
2013-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2115207.5,0.0,2.13,0.0,0.0,0.0,0.0,0.0,10.85
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2134702.5,0.0,2.12,0.0,0.0,0.0,0.0,0.0,10.95
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194950.0,2134702.5,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0
