DATE,AURE FP Equity_DX_SI_QTY,AURE FP Equity_DX_SHORT_INTEREST_VALUE,AURE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AURE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AURE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AURE FP Equity_DX_SI_MV,AURE FP Equity_DX_DSS,AURE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AURE FP Equity_DX_SUPPLY_SI_QTY,AURE FP Equity_DX_BROKER_SI_QTY,AURE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AURE FP Equity_DX_BROKER_SI_MV_NEW_x,AURE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AURE FP Equity_DX_SUPPLY_SI_QTY_INC_x,AURE FP Equity_DX_BROKER_SI_MV_INC_x,AURE FP Equity_DX_SUPPLY_SI_MV_NEW,AURE FP Equity_DX_BROKER_SI_QTY_ADD,AURE FP Equity_DX_BROKER_SI_QTY_NEW,AURE FP Equity_DX_SUPPLY_SI_MV_DEC,AURE FP Equity_DX_BROKER_SI_QTY_INC,AURE FP Equity_DX_SUPPLY_SI_QTY_DEC,AURE FP Equity_DX_BROKER_SI_MV_NEW_y,AURE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AURE FP Equity_DX_BROKER_SI_MV_INC_y,AURE FP Equity_DX_SUPPLY_SI_QTY_INC_y,AURE FP Equity_DX_BROKER_SI_MV_ADD,AURE FP Equity_DX_SUPPLY_SI_QTY_ADD,AURE FP Equity_DX_BROKER_SI_QTY_DEC,AURE FP Equity_DX_SUPPLY_SI_MV,AURE FP Equity_DX_BROKER_SI_MV_DEC,AURE FP Equity_DX_SUPPLY_SI_MV_RMV,AURE FP Equity_DX_BROKER_SI_MV_RMV,AURE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AURE FP Equity_DX_UTILIZATION_QUANTITY,AURE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AURE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AURE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AURE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AURE FP Equity_DX_ACTIVE_UTILIZATION_MV,AURE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AURE FP Equity_DX_BROKER_SI_CON_RATIO,AURE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AURE FP Equity_DX_DEMAND_SUPPLY_RATIO,AURE FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16
